vehicle_id,initial_node_id,available_hour,risk_factor,risk_percentile,vehicle_type,hazard_class,admission_indicator
D00_V0001,L0000,0.0,1.0,0.008264462809917356,public_mdvsp_revised_derived,all,1
D00_V0002,L0000,0.0,1.0,0.01652892561983471,public_mdvsp_revised_derived,all,1
D00_V0003,L0000,0.0,1.0,0.024793388429752067,public_mdvsp_revised_derived,all,1
D00_V0004,L0000,0.0,1.0,0.03305785123966942,public_mdvsp_revised_derived,all,1
D00_V0005,L0000,0.0,1.0,0.04132231404958678,public_mdvsp_revised_derived,all,1
D00_V0006,L0000,0.0,1.0,0.049586776859504134,public_mdvsp_revised_derived,all,1
D00_V0007,L0000,0.0,1.0,0.05785123966942149,public_mdvsp_revised_derived,all,1
D00_V0008,L0000,0.0,1.0,0.06611570247933884,public_mdvsp_revised_derived,all,1
D00_V0009,L0000,0.0,1.0,0.0743801652892562,public_mdvsp_revised_derived,all,1
D00_V0010,L0000,0.0,1.0,0.08264462809917356,public_mdvsp_revised_derived,all,1
D00_V0011,L0000,0.0,1.0,0.09090909090909091,public_mdvsp_revised_derived,all,1
D00_V0012,L0000,0.0,1.0,0.09917355371900827,public_mdvsp_revised_derived,all,1
D00_V0013,L0000,0.0,1.0,0.10743801652892562,public_mdvsp_revised_derived,all,1
D00_V0014,L0000,0.0,1.0,0.11570247933884298,public_mdvsp_revised_derived,all,1
D00_V0015,L0000,0.0,1.0,0.12396694214876033,public_mdvsp_revised_derived,all,1
D00_V0016,L0000,0.0,1.0,0.1322314049586777,public_mdvsp_revised_derived,all,1
D00_V0017,L0000,0.0,1.0,0.14049586776859505,public_mdvsp_revised_derived,all,1
D00_V0018,L0000,0.0,1.0,0.1487603305785124,public_mdvsp_revised_derived,all,1
D00_V0019,L0000,0.0,1.0,0.15702479338842976,public_mdvsp_revised_derived,all,1
D00_V0020,L0000,0.0,1.0,0.1652892561983471,public_mdvsp_revised_derived,all,1
D00_V0021,L0000,0.0,1.0,0.17355371900826447,public_mdvsp_revised_derived,all,1
