scenario_id,probability,empty_risk_per_km
S001,0.01,0.0040163994
S002,0.01,0.0062277188
S003,0.01,0.00125
S004,0.01,0.00125
S005,0.01,0.00125
S006,0.01,0.0016872599
S007,0.01,0.0085120899
S008,0.01,0.0062277188
S009,0.01,0.0035467202
S010,0.01,0.005860421
S011,0.01,0.0045153486
S012,0.01,0.0053964347
S013,0.01,0.0076370654
S014,0.01,0.0033199546
S015,0.01,0.0038082421
S016,0.01,0.00125
S017,0.01,0.0042317626
S018,0.01,0.0030073282
S019,0.01,0.0061372342
S020,0.01,0.00125
S021,0.01,0.0106083858
S022,0.01,0.00125
S023,0.01,0.0037614506
S024,0.01,0.0084888989
S025,0.01,0.00125
S026,0.01,0.0084357526
S027,0.01,0.0063202715
S028,0.01,0.0028285692
S029,0.01,0.0031673649
S030,0.01,0.0038979983
S031,0.01,0.0052671472
S032,0.01,0.0092045998
S033,0.01,0.0026899884
S034,0.01,0.0092449092
S035,0.01,0.005626118
S036,0.01,0.0030853784
S037,0.01,0.0052927379
S038,0.01,0.0028936576
S039,0.01,0.0031052233
S040,0.01,0.00125
S041,0.01,0.0043416926
S042,0.01,0.00125
S043,0.01,0.0045693173
S044,0.01,0.0130307971
S045,0.01,0.0039285635
S046,0.01,0.0028907155
S047,0.01,0.0077087696
S048,0.01,0.0029373752
S049,0.01,0.0036794144
S050,0.01,0.00125
S051,0.01,0.0029470519
S052,0.01,0.00125
S053,0.01,0.0026324505
S054,0.01,0.0052189382
S055,0.01,0.0056160558
S056,0.01,0.0078847997
S057,0.01,0.0020478845
S058,0.01,0.0068190915
S059,0.01,0.005860421
S060,0.01,0.0034551671
S061,0.01,0.0029919433
S062,0.01,0.0077428963
S063,0.01,0.00125
S064,0.01,0.00125
S065,0.01,0.001326843
S066,0.01,0.0028907155
S067,0.01,0.00125
S068,0.01,0.00125
S069,0.01,0.0064394281
S070,0.01,0.0028500885
S071,0.01,0.0091042844
S072,0.01,0.0019865581
S073,0.01,0.0041106678
S074,0.01,0.00125
S075,0.01,0.0051299405
S076,0.01,0.0041106678
S077,0.01,0.00125
S078,0.01,0.00125
S079,0.01,0.0030838469
S080,0.01,0.007514411
S081,0.01,0.0025566039
S082,0.01,0.00125
S083,0.01,0.0024075552
S084,0.01,0.0035612108
S085,0.01,0.00125
S086,0.01,0.004230708
S087,0.01,0.00125
S088,0.01,0.0041106678
S089,0.01,0.0056160558
S090,0.01,0.0017562323
S091,0.01,0.0037540378
S092,0.01,0.004230708
S093,0.01,0.00125
S094,0.01,0.0046973728
S095,0.01,0.0081336256
S096,0.01,0.0038082421
S097,0.01,0.0046973728
S098,0.01,0.0041577262
S099,0.01,0.0056622163
S100,0.01,0.0039285635
