task_id,scenario_id,self_base_loss,outsourced_loss
T00001,S001,3.06196857,3.06196857
T00001,S002,0.02799696,0.02799696
T00001,S003,0.30885158,0.30885158
T00001,S004,0.92011689,0.92011689
T00001,S005,0.4350283,0.4350283
T00001,S006,1.67691357,1.67691357
T00001,S007,0.53497047,0.53497047
T00001,S008,0.71152423,0.71152423
T00001,S009,0.43011816,0.43011816
T00001,S010,1.07142081,1.07142081
T00001,S011,0.69204074,0.69204074
T00001,S012,0.92779211,0.92779211
T00001,S013,2.14003982,2.14003982
T00001,S014,2.4233168,2.4233168
T00001,S015,4.24896274,4.24896274
T00001,S016,0.44093467,0.44093467
T00001,S017,0.09809462,0.09809462
T00001,S018,0.45743623,0.45743623
T00001,S019,0.27812233,0.27812233
T00001,S020,0.26342071,0.26342071
T00001,S021,0.45741343,0.45741343
T00001,S022,0.51752462,0.51752462
T00001,S023,0.84008857,0.84008857
T00001,S024,0.83193877,0.83193877
T00001,S025,0.11785577,0.11785577
T00001,S026,0.47296649,0.47296649
T00001,S027,0.43509111,0.43509111
T00001,S028,1.52818982,1.52818982
T00001,S029,0.32483774,0.32483774
T00001,S030,0.71074091,0.71074091
T00001,S031,0.271194,0.271194
T00001,S032,0.62993055,0.62993055
T00001,S033,1.1494772,1.1494772
T00001,S034,0.85387625,0.85387625
T00001,S035,0.38301231,0.38301231
T00001,S036,0.93507391,0.93507391
T00001,S037,0.04291212,0.04291212
T00001,S038,2.60278938,2.60278938
T00001,S039,0.20515463,0.20515463
T00001,S040,1.65405116,1.65405116
T00001,S041,0.21907253,0.21907253
T00001,S042,0.47671635,0.47671635
T00001,S043,1.36545933,1.36545933
T00001,S044,1.07664974,1.07664974
T00001,S045,0.001,0.001
T00001,S046,0.82681859,0.82681859
T00001,S047,1.07597055,1.07597055
T00001,S048,1.41616477,1.41616477
T00001,S049,0.21430755,0.21430755
T00001,S050,2.02649433,2.02649433
T00001,S051,0.65168746,0.65168746
T00001,S052,0.40627456,0.40627456
T00001,S053,0.80295296,0.80295296
T00001,S054,0.38470814,0.38470814
T00001,S055,3.67276587,3.67276587
T00001,S056,0.0829197,0.0829197
T00001,S057,0.79005963,0.79005963
T00001,S058,0.54622701,0.54622701
T00001,S059,0.24087356,0.24087356
T00001,S060,0.55941192,0.55941192
T00001,S061,0.85232816,0.85232816
T00001,S062,0.39589216,0.39589216
T00001,S063,0.18210575,0.18210575
T00001,S064,0.38132172,0.38132172
T00001,S065,0.48227744,0.48227744
T00001,S066,0.18041506,0.18041506
T00001,S067,0.04263129,0.04263129
T00001,S068,0.19586329,0.19586329
T00001,S069,1.17111621,1.17111621
