task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class
T00001,8.466666666666667,9.033333333333333,L0050,L0026,34.0,57.0,0.0,official_public_fixed_time_revised_derived,public,all
T00002,9.3,10.166666666666666,L0059,L0078,52.0,65.55,0.0,official_public_fixed_time_revised_derived,public,all
T00003,7.4,8.416666666666666,L0025,L0018,61.0,80.75,0.0,official_public_fixed_time_revised_derived,public,all
T00004,8.266666666666667,9.116666666666667,L0020,L0037,51.0,80.75,0.0,official_public_fixed_time_revised_derived,public,all
T00005,10.75,12.133333333333333,L0077,L0056,83.0,95.94999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00006,16.45,17.183333333333334,L0040,L0024,44.0,67.45,0.0,official_public_fixed_time_revised_derived,public,all
T00007,17.65,18.216666666666665,L0071,L0018,34.0,67.45,0.0,official_public_fixed_time_revised_derived,public,all
T00008,15.166666666666666,15.933333333333334,L0058,L0020,46.0,67.45,0.0,official_public_fixed_time_revised_derived,public,all
T00009,15.55,16.716666666666665,L0032,L0058,70.0,77.89999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00010,12.116666666666667,12.9,L0067,L0029,47.0,67.45,0.0,official_public_fixed_time_revised_derived,public,all
T00011,7.916666666666667,8.883333333333333,L0075,L0015,58.0,69.35,0.0,official_public_fixed_time_revised_derived,public,all
T00012,17.7,18.733333333333334,L0021,L0065,62.0,81.7,0.0,official_public_fixed_time_revised_derived,public,all
T00013,9.0,10.016666666666667,L0025,L0074,61.0,80.75,0.0,official_public_fixed_time_revised_derived,public,all
T00014,10.383333333333333,11.25,L0018,L0041,52.0,76.95,0.0,official_public_fixed_time_revised_derived,public,all
T00015,10.1,11.25,L0049,L0041,69.0,83.6,0.0,official_public_fixed_time_revised_derived,public,all
T00016,13.766666666666667,15.066666666666666,L0070,L0059,78.0,99.75,0.0,official_public_fixed_time_revised_derived,public,all
T00017,7.366666666666666,8.116666666666667,L0041,L0055,45.0,72.2,0.0,official_public_fixed_time_revised_derived,public,all
T00018,8.683333333333334,9.983333333333333,L0069,L0043,78.0,83.6,0.0,official_public_fixed_time_revised_derived,public,all
T00019,17.766666666666666,18.033333333333335,L0031,L0021,16.0,41.8,0.0,official_public_fixed_time_revised_derived,public,all
T00020,17.483333333333334,18.216666666666665,L0030,L0029,44.0,53.199999999999996,0.0,official_public_fixed_time_revised_derived,public,all
T00021,17.1,17.7,L0049,L0033,36.0,52.25,0.0,official_public_fixed_time_revised_derived,public,all
T00022,14.366666666666667,15.9,L0016,L0012,92.0,100.69999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00023,7.45,7.983333333333333,L0052,L0060,32.0,57.0,0.0,official_public_fixed_time_revised_derived,public,all
T00024,17.0,18.083333333333332,L0071,L0052,65.0,96.89999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00025,15.866666666666667,16.283333333333335,L0026,L0041,25.0,44.65,0.0,official_public_fixed_time_revised_derived,public,all
T00026,8.166666666666666,8.966666666666667,L0005,L0048,48.0,56.05,0.0,official_public_fixed_time_revised_derived,public,all
T00027,14.8,16.033333333333335,L0009,L0023,74.0,90.25,0.0,official_public_fixed_time_revised_derived,public,all
T00028,17.566666666666666,18.433333333333334,L0055,L0017,52.0,78.85,0.0,official_public_fixed_time_revised_derived,public,all
T00029,17.566666666666666,18.516666666666666,L0024,L0074,57.0,73.14999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00030,7.066666666666666,7.75,L0033,L0031,41.0,47.5,0.0,official_public_fixed_time_revised_derived,public,all
T00031,10.05,10.85,L0017,L0036,48.0,63.65,0.0,official_public_fixed_time_revised_derived,public,all
T00032,17.883333333333333,18.9,L0033,L0050,61.0,66.5,0.0,official_public_fixed_time_revised_derived,public,all
T00033,16.616666666666667,18.266666666666666,L0057,L0016,99.0,107.35,0.0,official_public_fixed_time_revised_derived,public,all
T00034,9.116666666666667,10.5,L0053,L0038,83.0,97.85,0.0,official_public_fixed_time_revised_derived,public,all
T00035,7.616666666666666,8.033333333333333,L0034,L0041,25.0,40.85,0.0,official_public_fixed_time_revised_derived,public,all
T00036,9.233333333333333,10.033333333333333,L0060,L0064,48.0,81.7,0.0,official_public_fixed_time_revised_derived,public,all
T00037,11.05,12.1,L0016,L0070,63.0,73.14999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00038,17.316666666666666,18.466666666666665,L0008,L0030,69.0,80.75,0.0,official_public_fixed_time_revised_derived,public,all
T00039,7.783333333333333,8.45,L0057,L0074,40.0,51.3,0.0,official_public_fixed_time_revised_derived,public,all
T00040,7.166666666666667,7.566666666666666,L0066,L0072,24.0,48.449999999999996,0.0,official_public_fixed_time_revised_derived,public,all
T00041,12.333333333333334,13.383333333333333,L0057,L0060,63.0,73.14999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00042,15.3,15.85,L0036,L0070,33.0,62.699999999999996,0.0,official_public_fixed_time_revised_derived,public,all
T00043,8.15,9.016666666666667,L0050,L0036,52.0,74.1,0.0,official_public_fixed_time_revised_derived,public,all
T00044,8.133333333333333,9.133333333333333,L0037,L0061,60.0,85.5,0.0,official_public_fixed_time_revised_derived,public,all
T00045,15.533333333333333,16.116666666666667,L0022,L0055,35.0,60.8,0.0,official_public_fixed_time_revised_derived,public,all
T00046,17.0,17.816666666666666,L0053,L0017,49.0,65.55,0.0,official_public_fixed_time_revised_derived,public,all
T00047,7.1,8.116666666666667,L0041,L0054,61.0,87.39999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00048,7.016666666666667,7.65,L0041,L0040,38.0,65.55,0.0,official_public_fixed_time_revised_derived,public,all
T00049,8.666666666666666,9.866666666666667,L0055,L0062,72.0,97.85,0.0,official_public_fixed_time_revised_derived,public,all
T00050,7.95,9.033333333333333,L0041,L0059,65.0,91.19999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00051,8.816666666666666,9.833333333333334,L0064,L0047,61.0,91.19999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00052,7.35,8.75,L0058,L0049,84.0,103.55,0.0,official_public_fixed_time_revised_derived,public,all
T00053,7.766666666666667,8.733333333333333,L0006,L0038,58.0,77.89999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00054,11.033333333333333,11.7,L0017,L0030,40.0,56.05,0.0,official_public_fixed_time_revised_derived,public,all
T00055,10.866666666666667,11.933333333333334,L0052,L0036,64.0,87.39999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00056,9.583333333333334,10.55,L0034,L0032,58.0,72.2,0.0,official_public_fixed_time_revised_derived,public,all
T00057,7.683333333333334,9.116666666666667,L0042,L0024,86.0,100.69999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00058,17.8,18.983333333333334,L0071,L0022,71.0,102.6,0.0,official_public_fixed_time_revised_derived,public,all
T00059,17.333333333333332,18.4,L0018,L0039,64.0,88.35,0.0,official_public_fixed_time_revised_derived,public,all
T00060,12.35,13.15,L0072,L0060,48.0,72.2,0.0,official_public_fixed_time_revised_derived,public,all
T00061,12.366666666666667,13.483333333333333,L0008,L0062,67.0,78.85,0.0,official_public_fixed_time_revised_derived,public,all
T00062,15.55,16.233333333333334,L0077,L0060,41.0,56.05,0.0,official_public_fixed_time_revised_derived,public,all
T00063,12.9,14.55,L0031,L0065,99.0,120.64999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00064,13.716666666666667,14.433333333333334,L0047,L0016,43.0,71.25,0.0,official_public_fixed_time_revised_derived,public,all
T00065,10.116666666666667,11.516666666666667,L0013,L0065,84.0,94.05,0.0,official_public_fixed_time_revised_derived,public,all
T00066,12.9,14.15,L0017,L0034,75.0,89.3,0.0,official_public_fixed_time_revised_derived,public,all
T00067,16.7,17.866666666666667,L0060,L0076,70.0,102.6,0.0,official_public_fixed_time_revised_derived,public,all
T00068,7.8,8.183333333333334,L0051,L0067,23.0,50.349999999999994,0.0,official_public_fixed_time_revised_derived,public,all
T00069,14.716666666666667,16.416666666666668,L0008,L0075,102.0,112.1,0.0,official_public_fixed_time_revised_derived,public,all
T00070,7.0,8.133333333333333,L0045,L0071,68.0,77.89999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00071,16.666666666666668,17.433333333333334,L0061,L0041,46.0,49.4,0.0,official_public_fixed_time_revised_derived,public,all
T00072,11.933333333333334,12.5,L0043,L0041,34.0,51.3,0.0,official_public_fixed_time_revised_derived,public,all
T00073,17.133333333333333,18.383333333333333,L0005,L0049,75.0,81.7,0.0,official_public_fixed_time_revised_derived,public,all
T00074,12.65,13.083333333333334,L0020,L0062,26.0,57.0,0.0,official_public_fixed_time_revised_derived,public,all
T00075,12.766666666666667,14.066666666666666,L0041,L0006,78.0,103.55,0.0,official_public_fixed_time_revised_derived,public,all
T00076,17.766666666666666,18.283333333333335,L0060,L0074,31.0,65.55,0.0,official_public_fixed_time_revised_derived,public,all
T00077,17.683333333333334,18.433333333333334,L0075,L0029,45.0,57.0,0.0,official_public_fixed_time_revised_derived,public,all
T00078,9.366666666666667,9.75,L0025,L0026,23.0,44.65,0.0,official_public_fixed_time_revised_derived,public,all
T00079,8.016666666666667,8.95,L0067,L0040,56.0,76.0,0.0,official_public_fixed_time_revised_derived,public,all
T00080,9.633333333333333,10.433333333333334,L0078,L0029,48.0,81.7,0.0,official_public_fixed_time_revised_derived,public,all
T00081,17.083333333333332,17.5,L0035,L0021,25.0,51.3,0.0,official_public_fixed_time_revised_derived,public,all
T00082,7.033333333333333,7.25,L0006,L0059,13.0,35.15,0.0,official_public_fixed_time_revised_derived,public,all
T00083,7.766666666666667,8.683333333333334,L0025,L0064,55.0,75.05,0.0,official_public_fixed_time_revised_derived,public,all
T00084,16.6,17.183333333333334,L0078,L0058,35.0,69.35,0.0,official_public_fixed_time_revised_derived,public,all
T00085,11.466666666666667,12.366666666666667,L0069,L0048,54.0,60.8,0.0,official_public_fixed_time_revised_derived,public,all
T00086,13.083333333333334,14.133333333333333,L0017,L0037,63.0,77.89999999999999,0.0,official_public_fixed_time_revised_derived,public,all
