from_node_id,to_node_id,distance_km,travel_hours,source_travel_minutes
L0000,L0000,0.0,0.0,0
L0000,L0001,61.0,1.0166666666666666,61
L0000,L0002,86.0,1.4333333333333333,86
L0000,L0003,61.0,1.0166666666666666,61
L0000,L0004,36.0,0.6,36
L0000,L0005,17.0,0.2833333333333333,17
L0000,L0006,54.0,0.9,54
L0000,L0007,65.0,1.0833333333333333,65
L0000,L0008,59.0,0.9833333333333333,59
L0000,L0009,35.0,0.5833333333333334,35
L0000,L0010,67.0,1.1166666666666667,67
L0000,L0011,43.0,0.7166666666666667,43
L0000,L0012,23.0,0.38333333333333336,23
L0000,L0013,44.0,0.7333333333333333,44
L0000,L0014,50.0,0.8333333333333334,50
L0000,L0015,41.0,0.6833333333333333,41
L0000,L0016,53.0,0.8833333333333333,53
L0000,L0017,72.0,1.2,72
L0000,L0018,42.0,0.7,42
L0000,L0019,23.0,0.38333333333333336,23
L0000,L0020,49.0,0.8166666666666667,49
L0000,L0021,53.0,0.8833333333333333,53
L0000,L0022,66.0,1.1,66
L0000,L0023,29.0,0.48333333333333334,29
L0000,L0024,30.0,0.5,30
L0000,L0025,29.0,0.48333333333333334,29
L0000,L0026,58.0,0.9666666666666667,58
L0000,L0027,46.0,0.7666666666666667,46
L0000,L0028,47.0,0.7833333333333333,47
L0000,L0029,73.0,1.2166666666666666,73
L0000,L0030,22.0,0.36666666666666664,22
L0000,L0031,65.0,1.0833333333333333,65
L0000,L0032,29.0,0.48333333333333334,29
L0000,L0033,31.0,0.5166666666666667,31
L0000,L0034,6.0,0.1,6
L0000,L0035,50.0,0.8333333333333334,50
L0000,L0036,52.0,0.8666666666666667,52
L0000,L0037,26.0,0.43333333333333335,26
L0000,L0038,64.0,1.0666666666666667,64
L0000,L0039,36.0,0.6,36
L0000,L0040,49.0,0.8166666666666667,49
L0000,L0041,46.0,0.7666666666666667,46
L0000,L0042,24.0,0.4,24
L0000,L0043,53.0,0.8833333333333333,53
L0000,L0044,45.0,0.75,45
L0000,L0045,40.0,0.6666666666666666,40
L0000,L0046,79.0,1.3166666666666667,79
L0000,L0047,70.0,1.1666666666666667,70
L0000,L0048,24.0,0.4,24
L0000,L0049,53.0,0.8833333333333333,53
L0000,L0050,71.0,1.1833333333333333,71
L0000,L0051,49.0,0.8166666666666667,49
L0000,L0052,15.0,0.25,15
L0000,L0053,23.0,0.38333333333333336,23
L0000,L0054,32.0,0.5333333333333333,32
L0000,L0055,70.0,1.1666666666666667,70
L0000,L0056,26.0,0.43333333333333335,26
L0000,L0057,38.0,0.6333333333333333,38
L0000,L0058,69.0,1.15,69
L0000,L0059,47.0,0.7833333333333333,47
L0000,L0060,51.0,0.85,51
L0000,L0061,21.0,0.35,21
L0000,L0062,59.0,0.9833333333333333,59
L0000,L0063,49.0,0.8166666666666667,49
L0000,L0064,12.0,0.2,12
L0000,L0065,39.0,0.65,39
L0000,L0066,32.0,0.5333333333333333,32
L0000,L0067,37.0,0.6166666666666667,37
L0000,L0068,47.0,0.7833333333333333,47
L0000,L0069,19.0,0.31666666666666665,19
L0000,L0070,84.0,1.4,84
L0000,L0071,38.0,0.6333333333333333,38
L0000,L0072,54.0,0.9,54
L0000,L0073,54.0,0.9,54
L0000,L0074,39.0,0.65,39
L0000,L0075,35.0,0.5833333333333334,35
L0000,L0076,57.0,0.95,57
L0000,L0077,64.0,1.0666666666666667,64
