task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class
T00001,7.416666666666667,8.666666666666666,L0018,L0021,75.0,93.1,0.0,official_public_fixed_time_revised_derived,public,all
T00002,9.716666666666667,10.783333333333333,L0070,L0072,64.0,70.3,0.0,official_public_fixed_time_revised_derived,public,all
T00003,9.283333333333333,10.15,L0061,L0009,52.0,75.05,0.0,official_public_fixed_time_revised_derived,public,all
T00004,7.533333333333333,8.65,L0021,L0011,67.0,86.45,0.0,official_public_fixed_time_revised_derived,public,all
T00005,15.966666666666667,17.033333333333335,L0009,L0074,64.0,82.64999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00006,11.083333333333334,12.316666666666666,L0055,L0052,74.0,92.14999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00007,16.0,17.05,L0054,L0070,63.0,81.7,0.0,official_public_fixed_time_revised_derived,public,all
T00008,13.8,14.516666666666667,L0075,L0062,43.0,70.3,0.0,official_public_fixed_time_revised_derived,public,all
T00009,13.316666666666666,14.083333333333334,L0055,L0019,46.0,65.55,0.0,official_public_fixed_time_revised_derived,public,all
T00010,13.85,15.216666666666667,L0075,L0045,82.0,107.35,0.0,official_public_fixed_time_revised_derived,public,all
T00011,14.733333333333333,15.216666666666667,L0006,L0041,29.0,64.6,0.0,official_public_fixed_time_revised_derived,public,all
T00012,10.566666666666666,11.466666666666667,L0065,L0050,54.0,76.95,0.0,official_public_fixed_time_revised_derived,public,all
T00013,17.116666666666667,17.833333333333332,L0054,L0049,43.0,62.699999999999996,0.0,official_public_fixed_time_revised_derived,public,all
T00014,16.033333333333335,16.8,L0069,L0055,46.0,69.35,0.0,official_public_fixed_time_revised_derived,public,all
T00015,11.45,12.166666666666666,L0019,L0053,43.0,59.849999999999994,0.0,official_public_fixed_time_revised_derived,public,all
T00016,7.6,8.6,L0020,L0049,60.0,80.75,0.0,official_public_fixed_time_revised_derived,public,all
T00017,14.9,15.25,L0067,L0016,21.0,43.699999999999996,0.0,official_public_fixed_time_revised_derived,public,all
T00018,7.933333333333334,8.933333333333334,L0017,L0010,60.0,89.3,0.0,official_public_fixed_time_revised_derived,public,all
T00019,11.65,12.216666666666667,L0031,L0053,34.0,52.25,0.0,official_public_fixed_time_revised_derived,public,all
T00020,11.983333333333333,12.85,L0034,L0065,52.0,76.0,0.0,official_public_fixed_time_revised_derived,public,all
T00021,11.166666666666666,12.1,L0005,L0010,56.0,75.05,0.0,official_public_fixed_time_revised_derived,public,all
T00022,12.0,12.616666666666667,L0021,L0009,37.0,57.949999999999996,0.0,official_public_fixed_time_revised_derived,public,all
T00023,14.383333333333333,15.366666666666667,L0013,L0050,59.0,89.3,0.0,official_public_fixed_time_revised_derived,public,all
T00024,10.25,10.816666666666666,L0031,L0016,34.0,52.25,0.0,official_public_fixed_time_revised_derived,public,all
T00025,8.533333333333333,9.333333333333334,L0016,L0012,48.0,60.8,0.0,official_public_fixed_time_revised_derived,public,all
T00026,7.1,8.05,L0017,L0059,57.0,86.45,0.0,official_public_fixed_time_revised_derived,public,all
T00027,17.366666666666667,18.466666666666665,L0006,L0072,66.0,99.75,0.0,official_public_fixed_time_revised_derived,public,all
T00028,13.3,14.083333333333334,L0022,L0007,47.0,52.25,0.0,official_public_fixed_time_revised_derived,public,all
T00029,7.716666666666667,8.633333333333333,L0073,L0054,55.0,75.05,0.0,official_public_fixed_time_revised_derived,public,all
T00030,14.033333333333333,14.8,L0061,L0014,46.0,69.35,0.0,official_public_fixed_time_revised_derived,public,all
T00031,11.766666666666667,12.466666666666667,L0025,L0041,42.0,52.25,0.0,official_public_fixed_time_revised_derived,public,all
T00032,7.85,8.866666666666667,L0044,L0008,61.0,88.35,0.0,official_public_fixed_time_revised_derived,public,all
T00033,12.433333333333334,13.033333333333333,L0006,L0007,36.0,71.25,0.0,official_public_fixed_time_revised_derived,public,all
T00034,17.0,17.616666666666667,L0059,L0058,37.0,55.099999999999994,0.0,official_public_fixed_time_revised_derived,public,all
