vehicle_id,initial_node_id,available_hour,risk_factor,risk_percentile,vehicle_type,hazard_class,admission_indicator
D00_V0001,L0000,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D00_V0002,L0000,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D00_V0003,L0000,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D00_V0004,L0000,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D00_V0005,L0000,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D00_V0006,L0000,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D00_V0007,L0000,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D00_V0008,L0000,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D00_V0009,L0000,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D00_V0010,L0000,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D00_V0011,L0000,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D00_V0012,L0000,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D00_V0013,L0000,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D00_V0014,L0000,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D00_V0015,L0000,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D00_V0016,L0000,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D00_V0017,L0000,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D00_V0018,L0000,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D00_V0019,L0000,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D00_V0020,L0000,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D00_V0021,L0000,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D00_V0022,L0000,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D00_V0023,L0000,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D00_V0024,L0000,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D00_V0025,L0000,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D00_V0026,L0000,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D00_V0027,L0000,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D00_V0028,L0000,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D00_V0029,L0000,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D00_V0030,L0000,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D00_V0031,L0000,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D00_V0032,L0000,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D01_V0001,L0001,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D01_V0002,L0001,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D01_V0003,L0001,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D01_V0004,L0001,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D01_V0005,L0001,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D01_V0006,L0001,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D01_V0007,L0001,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D01_V0008,L0001,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D01_V0009,L0001,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D01_V0010,L0001,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D01_V0011,L0001,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D01_V0012,L0001,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D01_V0013,L0001,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D01_V0014,L0001,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D01_V0015,L0001,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D01_V0016,L0001,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D01_V0017,L0001,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D01_V0018,L0001,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D01_V0019,L0001,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D01_V0020,L0001,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D01_V0021,L0001,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D01_V0022,L0001,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D01_V0023,L0001,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D01_V0024,L0001,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D02_V0001,L0002,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D02_V0002,L0002,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D02_V0003,L0002,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D02_V0004,L0002,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D02_V0005,L0002,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D02_V0006,L0002,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D02_V0007,L0002,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D02_V0008,L0002,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D02_V0009,L0002,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D02_V0010,L0002,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D02_V0011,L0002,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D02_V0012,L0002,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D02_V0013,L0002,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D02_V0014,L0002,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D02_V0015,L0002,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D02_V0016,L0002,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D02_V0017,L0002,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D02_V0018,L0002,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D02_V0019,L0002,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D02_V0020,L0002,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D02_V0021,L0002,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D02_V0022,L0002,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D02_V0023,L0002,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D02_V0024,L0002,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D02_V0025,L0002,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D02_V0026,L0002,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D02_V0027,L0002,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D02_V0028,L0002,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D03_V0001,L0003,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D03_V0002,L0003,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D03_V0003,L0003,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D03_V0004,L0003,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D03_V0005,L0003,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D03_V0006,L0003,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D03_V0007,L0003,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D03_V0008,L0003,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D03_V0009,L0003,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D03_V0010,L0003,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D03_V0011,L0003,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D03_V0012,L0003,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D03_V0013,L0003,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D03_V0014,L0003,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D03_V0015,L0003,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D03_V0016,L0003,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D03_V0017,L0003,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D03_V0018,L0003,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D03_V0019,L0003,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D03_V0020,L0003,0.0,4,1.0,public_mdvsp_revised_derived,all,1
D03_V0021,L0003,0.0,1,0.25,public_mdvsp_revised_derived,all,1
D03_V0022,L0003,0.0,2,0.5,public_mdvsp_revised_derived,all,1
D03_V0023,L0003,0.0,3,0.75,public_mdvsp_revised_derived,all,1
D03_V0024,L0003,0.0,4,1.0,public_mdvsp_revised_derived,all,1
