vehicle_id,task_id,q_ki
VEH000505,TSK000063,0
VEH000248,TSK000063,1
VEH000034,TSK000063,1
VEH000302,TSK000063,1
VEH000528,TSK000063,1
VEH000353,TSK000063,0
VEH000392,TSK000063,1
VEH000401,TSK000063,1
VEH000291,TSK000063,1
VEH000267,TSK000063,1
VEH000288,TSK000063,1
VEH000422,TSK000063,1
VEH000101,TSK000063,1
VEH000409,TSK000063,1
VEH000467,TSK000063,0
VEH000047,TSK000063,0
VEH000012,TSK000063,1
VEH000296,TSK000063,1
VEH000041,TSK000063,1
VEH000249,TSK000063,1
VEH000365,TSK000063,1
VEH000499,TSK000063,1
VEH000375,TSK000063,1
VEH000250,TSK000063,1
VEH000246,TSK000063,1
VEH000416,TSK000063,1
VEH000066,TSK000063,1
VEH000510,TSK000063,0
VEH000259,TSK000063,0
VEH000226,TSK000063,1
VEH000014,TSK000063,1
VEH000391,TSK000063,1
VEH000368,TSK000063,1
VEH000227,TSK000063,1
VEH000068,TSK000063,1
VEH000059,TSK000063,1
VEH000040,TSK000063,0
VEH000097,TSK000063,0
VEH000051,TSK000063,1
VEH000309,TSK000063,1
VEH000298,TSK000063,1
VEH000504,TSK000063,1
VEH000282,TSK000063,1
VEH000043,TSK000063,1
VEH000024,TSK000063,0
VEH000247,TSK000063,1
VEH000077,TSK000063,0
VEH000010,TSK000063,1
VEH000394,TSK000063,1
VEH000313,TSK000063,1
VEH000505,TSK000374,1
VEH000248,TSK000374,1
VEH000034,TSK000374,1
VEH000302,TSK000374,1
VEH000528,TSK000374,1
VEH000353,TSK000374,1
VEH000392,TSK000374,1
VEH000401,TSK000374,1
VEH000291,TSK000374,0
VEH000267,TSK000374,1
VEH000288,TSK000374,1
VEH000422,TSK000374,1
VEH000101,TSK000374,1
VEH000409,TSK000374,1
VEH000467,TSK000374,1
VEH000047,TSK000374,1
VEH000012,TSK000374,1
VEH000296,TSK000374,1
VEH000041,TSK000374,1
VEH000249,TSK000374,1
VEH000365,TSK000374,0
VEH000499,TSK000374,1
VEH000375,TSK000374,1
VEH000250,TSK000374,1
VEH000246,TSK000374,0
VEH000416,TSK000374,1
VEH000066,TSK000374,1
VEH000510,TSK000374,1
VEH000259,TSK000374,1
VEH000226,TSK000374,0
VEH000014,TSK000374,0
VEH000391,TSK000374,1
VEH000368,TSK000374,0
VEH000227,TSK000374,1
VEH000068,TSK000374,1
VEH000059,TSK000374,1
VEH000040,TSK000374,1
VEH000097,TSK000374,1
VEH000051,TSK000374,1
VEH000309,TSK000374,1
VEH000298,TSK000374,1
VEH000504,TSK000374,1
VEH000282,TSK000374,0
VEH000043,TSK000374,0
VEH000024,TSK000374,0
VEH000247,TSK000374,1
VEH000077,TSK000374,1
VEH000010,TSK000374,1
VEH000394,TSK000374,1
VEH000313,TSK000374,0
VEH000505,TSK000410,1
