task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class,loaded_distance_km,duration_source
TSK000015,116.9729,129.2666,NOD000678,NOD000178,2073.5769,4117.31254,6.75,自有,PRD0167,普货,225.0,direct_historical_od_median
TSK000061,119.04878788,133.30308788,NOD000777,NOD000495,7105.4587,10402.65776,26.406,自有,PRD0173,危货,652.0,direct_historical_od_median
TSK000347,121.12467576,149.18287576,NOD000781,NOD000430,8549.3115,13186.39212,27.96,自有,PRD0262,普货,932.0,direct_historical_od_median
TSK000506,123.20056364,150.11696364,NOD000780,NOD000316,7131.7332,12580.11315,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK000525,125.27645152,168.42225152,NOD000777,NOD000333,9817.8193,14749.75205,39.609,自有,PRD0173,危货,978.0,direct_historical_od_median
TSK000543,127.35233939,147.15273939,NOD000632,NOD000177,2353.0672,4588.00595,7.95,外协,PRD0058,普货,265.0,direct_historical_od_median
TSK000759,129.42822727,198.29512727,NOD000777,NOD000487,23023.5578,32776.85873,91.2465,自有,PRD0173,危货,2253.0,direct_historical_od_median
TSK000762,131.50411515,137.15051515,NOD000602,NOD000131,1462.1719,2663.89255,3.63,外协,PRD0132,普货,121.0,historical_distance_bin_median
TSK000776,133.58000303,203.90500303,NOD000596,NOD000033,22208.5369,32800.32437,69.09,外协,PRD0147,普货,2303.0,direct_historical_od_median
TSK000779,135.65589091,149.35769091,NOD000678,NOD000177,2482.6453,4635.27922,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK000852,137.73177879,178.39047879,NOD000593,NOD000289,13051.1114,19827.09366,54.7965,自有,PRD0138,危货,1353.0,historical_distance_bin_median
TSK000993,139.80766667,175.67016667,NOD000786,NOD000307,7886.7812,12814.42756,26.91,自有,PRD0185,普货,897.0,direct_historical_od_median
TSK001003,141.88355455,185.34465455,NOD000781,NOD000199,12735.8409,19543.72013,41.85,外协,PRD0262,普货,1395.0,direct_historical_od_median
TSK001063,143.95944242,171.47344242,NOD000779,NOD000219,8983.1742,14791.65567,30.6,自有,PRD0156,普货,1020.0,direct_historical_od_median
TSK001139,146.0353303,188.6171303,NOD000781,NOD000003,9969.7221,15457.64803,32.94,自有,PRD0262,普货,1098.0,direct_historical_od_median
TSK001406,148.11121818,193.18011818,NOD000781,NOD000198,12735.8409,19543.72013,41.85,外协,PRD0262,普货,1395.0,direct_historical_od_median
TSK001417,150.18710606,172.23200606,NOD000597,NOD000431,7317.063,11387.77057,23.94,外协,PRD0212,普货,798.0,historical_distance_bin_median
TSK001476,152.26299394,163.49909394,NOD000779,NOD000520,865.7717,1801.00899,1.83,自有,PRD0156,普货,61.0,direct_historical_od_median
TSK001484,154.33888182,176.38378182,NOD000678,NOD000776,6503.4759,11111.03334,22.86,外协,PRD0167,普货,762.0,historical_distance_bin_median
TSK001622,156.4147697,202.6053697,NOD000781,NOD000561,9024.3463,13991.13386,29.7,外协,PRD0262,普货,990.0,direct_historical_od_median
TSK001698,158.49065758,192.71305758,NOD000777,NOD000048,9939.9122,14777.202,39.8115,自有,PRD0173,危货,983.0,direct_historical_od_median
