task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class,loaded_distance_km,duration_source
TSK000115,66.8857,93.1817,NOD000781,NOD000782,8192.7271,12845.71651,27.06,外协,PRD0262,普货,902.0,direct_historical_od_median
TSK000117,72.0446,92.5787,NOD000781,NOD000552,4482.6575,6877.47962,13.5,外协,PRD0262,普货,450.0,historical_distance_bin_median
TSK000248,77.2035,104.7175,NOD000779,NOD000219,8904.241,14831.72636,30.6,自有,PRD0156,普货,1020.0,direct_historical_od_median
TSK000308,82.3624,93.8416,NOD000632,NOD000178,2368.1828,4020.0171,6.75,外协,PRD0103,普货,225.0,direct_historical_od_median
TSK000348,87.5213,100.2484,NOD000678,NOD000017,2392.8611,4272.46699,7.95,自有,PRD0167,普货,265.0,direct_historical_od_median
TSK000449,92.6802,106.34895,NOD000790,NOD000419,2853.1163,5731.28171,10.77,外协,PRD0202,普货,359.0,historical_distance_bin_median
TSK000488,97.8391,139.0724,NOD000592,NOD000008,7320.5805,12163.00921,25.35,外协,PRD0200,普货,845.0,direct_historical_od_median
TSK000520,102.998,123.2419,NOD000596,NOD000015,2307.12,4029.97232,6.75,自有,PRD0146,普货,225.0,direct_historical_od_median
TSK000641,108.1569,144.9616,NOD000777,NOD000094,9211.1561,13793.49653,36.7335,自有,PRD0173,危货,907.0,historical_distance_bin_median
TSK000731,113.3158,130.3829,NOD000632,NOD000017,2258.8959,4227.20859,7.95,外协,PRD0053,普货,265.0,direct_historical_od_median
TSK000761,118.4747,151.7289,NOD000632,NOD000276,7173.7749,11938.22553,24.84,自有,PRD0116,普货,828.0,direct_historical_od_median
TSK000843,123.6336,160.4383,NOD000597,NOD000048,8797.8341,13910.62552,29.49,自有,PRD0212,普货,983.0,historical_distance_bin_median
TSK000905,128.7925,165.5972,NOD000678,NOD000505,7629.617,13089.64503,27.21,自有,PRD0167,普货,907.0,historical_distance_bin_median
TSK001027,133.9514,153.7518,NOD000632,NOD000177,2432.5488,4547.68336,7.95,外协,PRD0058,普货,265.0,direct_historical_od_median
TSK001088,139.1103,142.2952,NOD000607,NOD000134,1398.9845,3398.9802,4.86,外协,PRD0262,普货,162.0,direct_historical_od_median
TSK001098,144.2692,164.765,NOD000779,NOD000140,151.2991,917.59657,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK001137,149.4281,169.9239,NOD000779,NOD000140,151.2991,917.59657,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK001183,154.587,194.2895,NOD000786,NOD000184,6615.7622,11855.31171,24.57,自有,PRD0185,普货,819.0,direct_historical_od_median
TSK001239,159.7459,196.5506,NOD000599,NOD000073,8552.1101,13864.48833,29.25,外协,PRD0226,普货,975.0,historical_distance_bin_median
TSK001409,164.9048,192.7798,NOD000599,NOD000533,6652.1101,10824.01408,22.44,外协,PRD0226,普货,748.0,direct_historical_od_median
TSK001542,170.0637,215.7102,NOD000593,NOD000244,14652.8149,21209.43099,59.13,自有,PRD0138,危货,1460.0,direct_historical_od_median
TSK001707,175.2226,192.2897,NOD000632,NOD000017,2569.4673,4153.10984,7.95,外协,PRD0095,普货,265.0,direct_historical_od_median
TSK001750,180.3815,200.9156,NOD000789,NOD000536,4220.4946,7677.97151,15.12,外协,PRD0182,普货,504.0,historical_distance_bin_median
TSK001858,185.5404,205.3408,NOD000632,NOD000177,2432.5488,4547.68336,7.95,外协,PRD0058,普货,265.0,direct_historical_od_median
TSK001891,190.6993,231.358,NOD000777,NOD000202,10735.8272,16010.24612,43.497,自有,PRD0173,危货,1074.0,historical_distance_bin_median
TSK001959,195.8582,201.029,NOD000678,NOD000182,1813.7662,3555.90015,5.31,自有,PRD0167,普货,177.0,direct_historical_od_median
TSK001979,201.0171,242.3352,NOD000607,NOD000003,9969.7221,15457.64803,32.94,外协,PRD0262,普货,1098.0,direct_historical_od_median
TSK002247,206.176,228.7504,NOD000678,NOD000542,2614.1648,4528.18421,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK002256,211.3349,230.3849,NOD000777,NOD000030,6200.2661,10910.62214,27.0945,自有,PRD0173,危货,669.0,direct_historical_od_median
TSK002334,216.4938,244.0078,NOD000779,NOD000219,9035.7606,14724.63135,30.6,自有,PRD0156,普货,1020.0,direct_historical_od_median
TSK002535,221.6527,247.9487,NOD000781,NOD000782,8324.8418,12738.34815,27.06,自有,PRD0262,普货,902.0,direct_historical_od_median
TSK002662,226.8116,248.8565,NOD000678,NOD000230,5761.6805,9231.97055,18.78,自有,PRD0169,普货,626.0,historical_distance_bin_median
TSK002676,231.9705,251.7709,NOD000632,NOD000177,2541.8108,4472.71869,7.95,外协,PRD0109,普货,265.0,direct_historical_od_median
TSK002705,237.1294,274.373,NOD000594,NOD000442,9796.8338,16014.96699,34.08,外协,PRD0245,普货,1136.0,direct_historical_od_median
TSK002770,242.2883,270.4166,NOD000781,NOD000205,9029.4608,13945.3116,29.73,外协,PRD0262,普货,991.0,direct_historical_od_median
TSK002780,247.4472,267.943,NOD000779,NOD000140,203.8854,850.57214,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK002830,252.6061,279.5225,NOD000780,NOD000316,7659.9824,12417.43602,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK002909,257.765,261.1033,NOD000781,NOD000134,1452.1192,3331.70398,4.86,外协,PRD0262,普货,162.0,direct_historical_od_median
TSK002979,262.9239,277.5036,NOD000645,NOD000419,3240.2655,5522.23144,10.77,外协,PRD0212,普货,359.0,direct_historical_od_median
TSK003023,268.0828,280.3765,NOD000678,NOD000178,2289.2265,4007.83724,6.75,外协,PRD0167,普货,225.0,direct_historical_od_median
TSK003048,273.2417,290.8542,NOD000678,NOD000405,4343.5402,7069.09346,14.1,自有,PRD0168,普货,470.0,direct_historical_od_median
TSK003066,278.4006,292.06935,NOD000632,NOD000014,2379.6282,3732.70183,6.33,外协,PRD0077,普货,211.0,historical_distance_bin_median
TSK003427,283.5595,320.8031,NOD000594,NOD000442,9980.0222,15985.10144,34.08,外协,PRD0247,普货,1136.0,direct_historical_od_median
TSK003430,288.7184,309.256,NOD000678,NOD000284,5010.786,8083.08842,16.2,自有,PRD0167,普货,540.0,direct_historical_od_median
TSK003485,293.8773,323.3763,NOD000777,NOD000154,9978.7447,14593.64368,39.69,自有,PRD0173,危货,980.0,direct_historical_od_median
TSK003662,299.0362,323.1404,NOD000678,NOD000050,5863.042,9485.90775,19.5,自有,PRD0149,普货,650.0,direct_historical_od_median
TSK003663,304.1951,340.9998,NOD000781,NOD000151,8977.3234,13672.24826,29.31,自有,PRD0262,普货,977.0,historical_distance_bin_median
TSK003713,309.354,329.8498,NOD000779,NOD000140,216.0344,774.55334,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK003742,314.5129,332.5932,NOD000678,NOD000339,5614.2389,9002.23808,18.57,自有,PRD0166,普货,619.0,direct_historical_od_median
