scenario_id,probability,empty_risk_per_km
S001,0.01,0.00125
S002,0.01,0.007315445
S003,0.01,0.0040589005
S004,0.01,0.00283938
S005,0.01,0.00125
S006,0.01,0.0029919433
S007,0.01,0.00125
S008,0.01,0.00125
S009,0.01,0.0021852114
S010,0.01,0.00499034
S011,0.01,0.002523963
S012,0.01,0.0046577054
S013,0.01,0.0024108065
S014,0.01,0.00125
S015,0.01,0.0056160558
S016,0.01,0.0082828512
S017,0.01,0.0028285692
S018,0.01,0.0026870898
S019,0.01,0.00125
S020,0.01,0.00125
S021,0.01,0.0040589005
S022,0.01,0.006076125
S023,0.01,0.006352115
S024,0.01,0.0069524247
S025,0.01,0.003056944
S026,0.01,0.0029539018
S027,0.01,0.0033199546
S028,0.01,0.0016187712
S029,0.01,0.0048697547
S030,0.01,0.00125
S031,0.01,0.0030838469
S032,0.01,0.0035126079
S033,0.01,0.0038458343
S034,0.01,0.00125
S035,0.01,0.0035996524
S036,0.01,0.00499034
S037,0.01,0.0021879685
S038,0.01,0.0046821293
S039,0.01,0.0068190915
S040,0.01,0.0022986177
S041,0.01,0.0092449092
S042,0.01,0.00125
S043,0.01,0.0040604357
S044,0.01,0.00125
S045,0.01,0.003509032
S046,0.01,0.0029579387
S047,0.01,0.00125
S048,0.01,0.0055881595
S049,0.01,0.0032418974
S050,0.01,0.00125
S051,0.01,0.0058051066
S052,0.01,0.0026290835
S053,0.01,0.00125
S054,0.01,0.0099298994
S055,0.01,0.0026870898
S056,0.01,0.0041577262
S057,0.01,0.00125
S058,0.01,0.007172111
S059,0.01,0.0028297043
S060,0.01,0.0033212098
S061,0.01,0.0028630946
S062,0.01,0.0018231154
S063,0.01,0.0029539018
S064,0.01,0.00125
S065,0.01,0.0076370654
S066,0.01,0.0038232984
S067,0.01,0.003056944
S068,0.01,0.0036636668
S069,0.01,0.0028630946
S070,0.01,0.0047132632
S071,0.01,0.0025999135
S072,0.01,0.00125
S073,0.01,0.004230708
S074,0.01,0.00125
S075,0.01,0.00125
S076,0.01,0.006076125
S077,0.01,0.00125
S078,0.01,0.0073810323
S079,0.01,0.0034551671
S080,0.01,0.0033433423
S081,0.01,0.0116707701
S082,0.01,0.0074416989
S083,0.01,0.00125
S084,0.01,0.0078847997
S085,0.01,0.005955006
S086,0.01,0.0036717729
S087,0.01,0.00125
S088,0.01,0.00125
S089,0.01,0.0062277188
S090,0.01,0.0092045998
S091,0.01,0.0038458343
S092,0.01,0.0033078991
S093,0.01,0.0040336602
S094,0.01,0.0037182185
S095,0.01,0.0039548145
S096,0.01,0.0046821293
S097,0.01,0.0055955497
S098,0.01,0.010453084
S099,0.01,0.0053450113
S100,0.01,0.0057578043
