task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class,loaded_distance_km,duration_source
TSK000008,123.4679,164.1266,NOD000593,NOD000187,12383.5565,14854.78026,50.0985,自有,PRD0138,危货,1237.0,historical_distance_bin_median
TSK000078,123.92745217,164.58615217,NOD000786,NOD000363,9499.9586,12102.51348,30.6,外协,PRD0183,普货,1020.0,historical_distance_bin_median
TSK000113,124.38700435,189.91405435,NOD000678,NOD000362,17505.7914,21919.09302,56.94,自有,PRD0148,普货,1898.0,historical_distance_bin_median
TSK000133,124.84655652,165.50525652,NOD000786,NOD000198,12313.6726,16085.44431,41.85,外协,PRD0193,普货,1395.0,historical_distance_bin_median
TSK000171,125.3061087,167.8879087,NOD000781,NOD000003,9890.7889,12679.95168,32.94,外协,PRD0262,普货,1098.0,direct_historical_od_median
TSK000189,125.76566087,146.29976087,NOD000789,NOD000208,5203.7768,6212.72448,18.1035,自有,PRD0135,危货,447.0,historical_distance_bin_median
TSK000224,126.22521304,139.00781304,NOD000786,NOD000419,2857.5034,4687.58187,10.77,外协,PRD0186,普货,359.0,direct_historical_od_median
TSK000253,126.68476522,148.72966522,NOD000622,NOD000495,5786.6841,7852.88106,19.56,外协,PRD0188,普货,652.0,historical_distance_bin_median
TSK000261,127.14431739,140.81306739,NOD000632,NOD000014,2248.1086,3141.65196,6.33,外协,PRD0077,普货,211.0,historical_distance_bin_median
TSK000270,127.60386957,168.26256957,NOD000678,NOD000161,12598.9053,17095.7916,44.22,自有,PRD0167,普货,1474.0,historical_distance_bin_median
TSK000294,128.06342174,143.71132174,NOD000632,NOD000018,2353.6156,3753.61695,7.95,外协,PRD0089,普货,265.0,direct_historical_od_median
TSK000329,128.52297391,149.87357391,NOD000777,NOD000009,7562.7363,9128.51226,28.7145,自有,PRD0173,危货,709.0,direct_historical_od_median
TSK000330,128.98252609,169.64122609,NOD000777,NOD000253,11756.0895,14494.9131,48.438,自有,PRD0173,危货,1196.0,historical_distance_bin_median
TSK000359,129.44207826,166.24677826,NOD000610,NOD000154,8516.3016,11431.68993,29.4,外协,PRD0210,普货,980.0,historical_distance_bin_median
TSK000366,129.90163043,170.56033043,NOD000678,NOD000161,12598.9053,17095.7916,44.22,自有,PRD0167,普货,1474.0,historical_distance_bin_median
TSK000370,130.36118261,152.40608261,NOD000790,NOD000475,5611.5401,7615.22598,18.9,外协,PRD0202,普货,630.0,historical_distance_bin_median
TSK000420,130.82073478,171.47943478,NOD000678,NOD000161,12598.9053,17095.7916,44.22,自有,PRD0167,普货,1474.0,historical_distance_bin_median
TSK000495,131.28028696,171.93898696,NOD000632,NOD000551,9119.3837,12424.8159,32.04,外协,PRD0194,普货,1068.0,historical_distance_bin_median
TSK000563,131.73983913,158.65623913,NOD000780,NOD000316,7528.4628,10247.34357,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
