task_id,scenario_id,self_base_loss,outsourced_loss
TSK000016,S001,7.19252642,7.19252642
TSK000016,S002,3.6227662,3.6227662
TSK000016,S003,3.2962845,3.2962845
TSK000016,S004,1.84188164,1.84188164
TSK000016,S005,1.84188164,1.84188164
TSK000016,S006,5.16358561,5.16358561
TSK000016,S007,8.27671515,8.27671515
TSK000016,S008,5.78502848,5.78502848
TSK000016,S009,1.84188164,1.84188164
TSK000016,S010,12.60205384,12.60205384
TSK000016,S011,3.94527782,3.94527782
TSK000016,S012,1.84188164,1.84188164
TSK000016,S013,1.84188164,1.84188164
TSK000016,S014,5.11363673,5.11363673
TSK000016,S015,4.0496903,4.0496903
TSK000016,S016,2.96316468,2.96316468
TSK000016,S017,3.89069057,3.89069057
TSK000016,S018,9.18118627,9.18118627
TSK000016,S019,5.4089837,5.4089837
TSK000016,S020,4.18928771,4.18928771
TSK000016,S021,6.09523955,6.09523955
TSK000016,S022,1.84188164,1.84188164
TSK000016,S023,10.51648907,10.51648907
TSK000016,S024,5.0322946,5.0322946
TSK000016,S025,5.0168658,5.0168658
TSK000016,S026,1.84188164,1.84188164
TSK000016,S027,6.17137689,6.17137689
TSK000016,S028,19.64460605,19.64460605
TSK000016,S029,16.5599292,16.5599292
TSK000016,S030,1.84188164,1.84188164
TSK000016,S031,1.84188164,1.84188164
TSK000016,S032,6.1761101,6.1761101
TSK000016,S033,1.84188164,1.84188164
TSK000016,S034,6.04575144,6.04575144
TSK000016,S035,10.40817275,10.40817275
TSK000016,S036,7.51783333,7.51783333
TSK000016,S037,5.90085746,5.90085746
TSK000016,S038,1.84188164,1.84188164
TSK000016,S039,4.69629935,4.69629935
TSK000016,S040,1.84188164,1.84188164
TSK000016,S041,4.66328079,4.66328079
TSK000016,S042,1.84188164,1.84188164
TSK000016,S043,7.53795539,7.53795539
TSK000016,S044,10.06820553,10.06820553
TSK000016,S045,3.31029382,3.31029382
TSK000016,S046,1.84188164,1.84188164
TSK000016,S047,10.35380751,10.35380751
TSK000016,S048,1.84188164,1.84188164
TSK000016,S049,3.6237538,3.6237538
TSK000016,S050,3.2962845,3.2962845
TSK000016,S051,13.12538974,13.12538974
TSK000016,S052,7.56429953,7.56429953
TSK000016,S053,13.12538974,13.12538974
TSK000016,S054,7.72157684,7.72157684
TSK000016,S055,10.40817275,10.40817275
TSK000016,S056,6.23351051,6.23351051
TSK000016,S057,1.84188164,1.84188164
TSK000016,S058,1.84188164,1.84188164
TSK000016,S059,5.78502848,5.78502848
TSK000016,S060,5.22494621,5.22494621
TSK000016,S061,5.30134603,5.30134603
TSK000016,S062,1.84188164,1.84188164
TSK000016,S063,5.49434019,5.49434019
TSK000016,S064,5.83428882,5.83428882
TSK000016,S065,1.84188164,1.84188164
TSK000016,S066,7.26400062,7.26400062
TSK000016,S067,3.47077955,3.47077955
TSK000016,S068,8.4147944,8.4147944
TSK000016,S069,4.94261803,4.94261803
TSK000016,S070,5.49434019,5.49434019
TSK000016,S071,7.56429953,7.56429953
TSK000016,S072,7.55587286,7.55587286
TSK000016,S073,5.09897408,5.09897408
TSK000016,S074,1.84188164,1.84188164
TSK000016,S075,1.84188164,1.84188164
TSK000016,S076,8.8115316,8.8115316
TSK000016,S077,9.46787867,9.46787867
