scenario_id,probability,empty_risk_per_km
S001,0.01,0.0043119829
S002,0.01,0.0028936576
S003,0.01,0.0026324505
S004,0.01,0.0042261413
S005,0.01,0.0051502653
S006,0.01,0.006352115
S007,0.01,0.0029919433
S008,0.01,0.00125
S009,0.01,0.0024108065
S010,0.01,0.00125
S011,0.01,0.00125
S012,0.01,0.00125
S013,0.01,0.00125
S014,0.01,0.0028630946
S015,0.01,0.0022879932
S016,0.01,0.0042374403
S017,0.01,0.00125
S018,0.01,0.0034548269
S019,0.01,0.0041194761
S020,0.01,0.0033212098
S021,0.01,0.003509032
S022,0.01,0.0044994259
S023,0.01,0.005955006
S024,0.01,0.0073810323
S025,0.01,0.0063989582
S026,0.01,0.0025999135
S027,0.01,0.005216074
S028,0.01,0.0045153486
S029,0.01,0.00125
S030,0.01,0.00125
S031,0.01,0.00125
S032,0.01,0.0042121328
S033,0.01,0.0052671472
S034,0.01,0.0032292597
S035,0.01,0.00125
S036,0.01,0.00125
S037,0.01,0.002834191
S038,0.01,0.0021879685
S039,0.01,0.0027066684
S040,0.01,0.0082828512
S041,0.01,0.0043158248
S042,0.01,0.003607891
S043,0.01,0.005860421
S044,0.01,0.0025999135
S045,0.01,0.0047132632
S046,0.01,0.0049979671
S047,0.01,0.0049979671
S048,0.01,0.0091042844
S049,0.01,0.00125
S050,0.01,0.0028500885
S051,0.01,0.0046577054
S052,0.01,0.0021050345
S053,0.01,0.0042793304
S054,0.01,0.0025060512
S055,0.01,0.0021335049
S056,0.01,0.00125
S057,0.01,0.0057578043
S058,0.01,0.00125
S059,0.01,0.0028500885
S060,0.01,0.0056622163
S061,0.01,0.0119309122
S062,0.01,0.0030838469
S063,0.01,0.0034096723
S064,0.01,0.0091905883
S065,0.01,0.0074548664
S066,0.01,0.0032827049
S067,0.01,0.0029554912
S068,0.01,0.00125
S069,0.01,0.007092459
S070,0.01,0.0025379436
S071,0.01,0.00125
S072,0.01,0.0079872906
S073,0.01,0.0091499209
S074,0.01,0.0054116053
S075,0.01,0.0069844469
S076,0.01,0.0033433423
S077,0.01,0.0042086943
S078,0.01,0.0029470519
S079,0.01,0.0042709193
S080,0.01,0.00125
S081,0.01,0.010453084
S082,0.01,0.0026066817
S083,0.01,0.0062563572
S084,0.01,0.00125
S085,0.01,0.0025379436
S086,0.01,0.00125
S087,0.01,0.00125
S088,0.01,0.0024075552
S089,0.01,0.0131545038
S090,0.01,0.0043104964
S091,0.01,0.0044994259
S092,0.01,0.0041577262
S093,0.01,0.004230708
S094,0.01,0.0049121686
S095,0.01,0.0039591921
S096,0.01,0.00125
S097,0.01,0.0021050345
S098,0.01,0.007514411
S099,0.01,0.0044994259
S100,0.01,0.00125
