task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class,loaded_distance_km,duration_source
TSK000002,66.8857,107.1003,NOD000607,NOD000305,5703.9751,9053.09424,22.68,外协,PRD0262,普货,756.0,direct_historical_od_median
TSK000046,69.13696441,89.67106441,NOD000622,NOD000341,4817.4471,6648.14016,16.2,外协,PRD0188,普货,540.0,historical_distance_bin_median
TSK000142,71.38822881,93.43312881,NOD000598,NOD000484,5097.0247,7416.86454,18.24,外协,PRD0228,普货,608.0,historical_distance_bin_median
TSK000227,73.63949322,114.29819322,NOD000790,NOD000583,9892.0169,13164.79158,34.08,外协,PRD0202,普货,1136.0,historical_distance_bin_median
TSK000325,75.89075763,96.42485763,NOD000607,NOD000552,4482.6575,5627.02878,13.5,外协,PRD0262,普货,450.0,historical_distance_bin_median
TSK000391,78.14202203,144.86452203,NOD000779,NOD000058,17821.4476,23812.19559,60.57,自有,PRD0156,普货,2019.0,direct_historical_od_median
TSK000494,80.39328644,106.68928644,NOD000781,NOD000782,8193.0459,10510.0119,27.06,外协,PRD0262,普货,902.0,direct_historical_od_median
TSK000537,82.64455085,94.93825085,NOD000678,NOD000178,2157.7069,3366.76275,6.75,外协,PRD0167,普货,225.0,direct_historical_od_median
TSK000691,84.89581525,103.94581525,NOD000777,NOD000030,6068.7466,9014.49585,27.0945,自有,PRD0173,危货,669.0,direct_historical_od_median
TSK000720,87.14707966,123.95177966,NOD000678,NOD000559,7830.2614,10634.98284,27.18,自有,PRD0166,普货,906.0,historical_distance_bin_median
TSK000756,89.39834407,126.20304407,NOD000678,NOD000519,7067.3803,9974.90241,25.2,自有,PRD0167,普货,840.0,historical_distance_bin_median
TSK000776,91.64960847,161.97460847,NOD000596,NOD000033,22208.5369,26836.62903,69.09,外协,PRD0147,普货,2303.0,direct_historical_od_median
TSK000822,93.90087288,115.94577288,NOD000678,NOD000167,6607.8972,9390.03588,23.58,外协,PRD0167,普货,786.0,historical_distance_bin_median
TSK000841,96.15213729,137.47023729,NOD000607,NOD000003,9894.6277,12678.50925,32.94,外协,PRD0262,普货,1098.0,direct_historical_od_median
TSK000932,98.40340169,135.20810169,NOD000678,NOD000221,7440.8127,10207.04832,25.83,外协,PRD0149,普货,861.0,historical_distance_bin_median
TSK001085,100.6546661,121.1504661,NOD000779,NOD000140,151.2991,750.76083,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK001186,102.90593051,115.17123051,NOD000786,NOD000580,705.2004,1233.49878,1.14,外协,PRD0186,普货,38.0,direct_historical_od_median
TSK001280,105.15719492,145.81589492,NOD000790,NOD000583,9970.9502,13132.00647,34.08,外协,PRD0202,普货,1136.0,historical_distance_bin_median
TSK001390,107.40845932,142.45105932,NOD000593,NOD000056,8979.2132,11159.71029,36.7335,自有,PRD0144,危货,907.0,direct_historical_od_median
TSK001430,109.65972373,137.17372373,NOD000779,NOD000219,8983.1742,12102.26373,30.6,自有,PRD0156,普货,1020.0,direct_historical_od_median
TSK001476,111.91098814,123.14708814,NOD000779,NOD000520,865.7717,1473.55281,1.83,自有,PRD0156,普货,61.0,direct_historical_od_median
TSK001520,114.16225254,126.45595254,NOD000678,NOD000178,2236.6401,3333.97764,6.75,外协,PRD0167,普货,225.0,direct_historical_od_median
TSK001711,116.41351695,130.11531695,NOD000678,NOD000177,2561.5785,3759.71607,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK001803,118.66478136,187.08408136,NOD000593,NOD000428,20655.6524,24536.75958,83.997,自有,PRD0144,危货,2074.0,direct_historical_od_median
TSK001882,120.91604576,141.45014576,NOD000781,NOD000552,4561.5907,5594.24367,13.5,外协,PRD0262,普货,450.0,historical_distance_bin_median
TSK001885,123.16731017,141.24761017,NOD000678,NOD000339,5562.665,7477.55712,18.57,自有,PRD0166,普货,619.0,direct_historical_od_median
TSK001985,125.41857458,145.95267458,NOD000594,NOD000536,4245.4319,6279.1182,15.12,自有,PRD0246,普货,504.0,historical_distance_bin_median
TSK002049,127.66983898,168.32853898,NOD000790,NOD000583,9970.9502,13132.00647,34.08,外协,PRD0203,普货,1136.0,historical_distance_bin_median
TSK002069,129.92110339,170.57980339,NOD000777,NOD000568,13172.6115,16074.89262,54.2295,自有,PRD0173,危货,1339.0,historical_distance_bin_median
TSK002087,132.1723678,168.9770678,NOD000790,NOD000646,8307.5168,11022.05547,28.38,外协,PRD0202,普货,946.0,historical_distance_bin_median
TSK002118,134.4236322,156.9980322,NOD000678,NOD000542,2561.5785,3759.71607,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK002252,136.67489661,174.22069661,NOD000678,NOD000035,11925.1165,15412.74174,40.11,自有,PRD0169,普货,1337.0,direct_historical_od_median
TSK002264,138.92616102,179.58486102,NOD000611,NOD000537,8807.6491,11627.01702,30.15,外协,PRD0179,普货,1005.0,historical_distance_bin_median
TSK002376,141.17742542,168.09382542,NOD000780,NOD000316,7659.9824,10159.72038,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK002393,143.42868983,188.49758983,NOD000781,NOD000198,12788.4272,15935.47839,41.85,自有,PRD0262,普货,1395.0,direct_historical_od_median
TSK002481,145.67995424,173.73815424,NOD000781,NOD000430,8680.8311,10701.243,27.96,自有,PRD0262,普货,932.0,direct_historical_od_median
TSK002569,147.93121864,170.02431864,NOD000593,NOD000125,7022.2559,8260.9173,26.2035,自有,PRD0134,危货,647.0,direct_historical_od_median
TSK002702,150.18248305,161.66168305,NOD000632,NOD000178,2500.2508,3201.27561,6.75,外协,PRD0103,普货,225.0,direct_historical_od_median
TSK002759,152.43374746,195.01764746,NOD000645,NOD000073,8860.3261,11205.41634,29.25,自有,PRD0212,普货,975.0,direct_historical_od_median
TSK002780,154.68501186,175.18081186,NOD000779,NOD000140,203.8854,695.92266,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK002814,156.93627627,200.08207627,NOD000777,NOD000333,9949.3388,11980.35576,39.609,自有,PRD0173,危货,978.0,direct_historical_od_median
TSK002832,159.18754068,178.65674068,NOD000678,NOD000420,3339.5313,4332.93138,9.9,自有,PRD0166,普货,330.0,direct_historical_od_median
TSK002834,161.43880508,181.43870508,NOD000678,NOD000168,6310.9608,8467.20513,21.27,自有,PRD0149,普货,709.0,direct_historical_od_median
TSK002860,163.69006949,168.86086949,NOD000678,NOD000182,1866.3525,2854.53477,5.31,外协,PRD0167,普货,177.0,direct_historical_od_median
TSK002912,165.9413339,183.0084339,NOD000632,NOD000017,2622.0536,3343.16088,7.95,外协,PRD0052,普货,265.0,direct_historical_od_median
TSK002941,168.19259831,182.77229831,NOD000645,NOD000419,3240.2655,4518.18936,10.77,外协,PRD0212,普货,359.0,direct_historical_od_median
TSK002967,170.44386271,211.10256271,NOD000601,NOD000204,11007.9154,14733.21663,38.4,外协,PRD0229,普货,1280.0,historical_distance_bin_median
TSK003038,172.69512712,194.97792712,NOD000632,NOD000285,5351.0424,7011.76914,17.64,自有,PRD0055,普货,588.0,direct_historical_od_median
TSK003148,174.94639153,194.41559153,NOD000678,NOD000420,3339.5313,4332.93138,9.9,外协,PRD0166,普货,330.0,direct_historical_od_median
TSK003151,177.19765593,214.73575593,NOD000779,NOD000069,7706.4626,11086.54353,28.71,自有,PRD0160,普货,957.0,direct_historical_od_median
TSK003200,179.44892034,191.74262034,NOD000678,NOD000178,2289.2265,3279.13956,6.75,外协,PRD0167,普货,225.0,direct_historical_od_median
TSK003246,181.70018475,202.19598475,NOD000779,NOD000140,203.8854,695.92266,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK003263,183.95144915,220.75614915,NOD000794,NOD000116,8070.3583,11157.69609,28.77,外协,PRD0016,普货,959.0,historical_distance_bin_median
TSK003280,186.20271356,206.74031356,NOD000678,NOD000284,5010.786,6613.43598,16.2,自有,PRD0167,普货,540.0,direct_historical_od_median
TSK003338,188.45397797,208.94977797,NOD000779,NOD000140,203.8854,695.92266,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK003391,190.70524237,227.50994237,NOD000794,NOD000689,7573.9964,10435.72185,26.82,外协,PRD0007,普货,894.0,historical_distance_bin_median
TSK003481,192.95650678,239.14570678,NOD000777,NOD000193,11808.2325,14232.93489,48.033,自有,PRD0173,危货,1186.0,direct_historical_od_median
TSK003588,195.20777119,232.01247119,NOD000678,NOD000500,8073.279,10551.3327,27.21,自有,PRD0169,普货,907.0,historical_distance_bin_median
TSK003677,197.45903559,211.12778559,NOD000632,NOD000019,2755.323,3267.8163,7.95,外协,PRD0093,普货,265.0,historical_distance_bin_median
TSK003681,199.7103,214.29,NOD000645,NOD000419,2996.7848,4539.41001,10.77,外协,PRD0186,普货,359.0,direct_historical_od_median
TSK004015,201.96156441,228.87796441,NOD000780,NOD000316,7672.1314,10097.52309,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
