vehicle_id,task_id,q_ki
VEH000477,TSK000101,1
VEH000411,TSK000101,1
VEH000057,TSK000101,1
VEH000026,TSK000101,1
VEH000308,TSK000101,1
VEH000395,TSK000101,1
VEH000530,TSK000101,0
VEH000045,TSK000101,0
VEH000063,TSK000101,1
VEH000422,TSK000101,0
VEH000052,TSK000101,1
VEH000240,TSK000101,1
VEH000031,TSK000101,1
VEH000450,TSK000101,0
VEH000248,TSK000101,1
VEH000011,TSK000101,1
VEH000264,TSK000101,1
VEH000532,TSK000101,1
VEH000088,TSK000101,1
VEH000520,TSK000101,1
VEH000323,TSK000101,1
VEH000034,TSK000101,1
VEH000306,TSK000101,1
VEH000100,TSK000101,1
VEH000070,TSK000101,0
VEH000010,TSK000101,1
VEH000377,TSK000101,1
VEH000317,TSK000101,1
VEH000096,TSK000101,1
VEH000423,TSK000101,1
VEH000024,TSK000101,1
VEH000313,TSK000101,1
VEH000079,TSK000101,1
VEH000485,TSK000101,0
VEH000288,TSK000101,0
VEH000320,TSK000101,0
VEH000222,TSK000101,1
VEH000310,TSK000101,1
VEH000015,TSK000101,1
VEH000343,TSK000101,1
VEH000510,TSK000101,1
VEH000283,TSK000101,1
VEH000358,TSK000101,1
VEH000309,TSK000101,1
VEH000252,TSK000101,0
VEH000440,TSK000101,1
VEH000241,TSK000101,1
VEH000042,TSK000101,0
VEH000221,TSK000101,1
VEH000478,TSK000101,1
VEH000477,TSK000121,1
VEH000411,TSK000121,1
VEH000057,TSK000121,1
VEH000026,TSK000121,1
VEH000308,TSK000121,1
VEH000395,TSK000121,1
VEH000530,TSK000121,1
VEH000045,TSK000121,0
VEH000063,TSK000121,1
VEH000422,TSK000121,0
VEH000052,TSK000121,1
VEH000240,TSK000121,0
VEH000031,TSK000121,1
VEH000450,TSK000121,1
VEH000248,TSK000121,1
VEH000011,TSK000121,1
VEH000264,TSK000121,0
VEH000532,TSK000121,1
VEH000088,TSK000121,1
VEH000520,TSK000121,1
VEH000323,TSK000121,1
VEH000034,TSK000121,1
VEH000306,TSK000121,1
VEH000100,TSK000121,1
VEH000070,TSK000121,0
VEH000010,TSK000121,1
VEH000377,TSK000121,1
VEH000317,TSK000121,1
VEH000096,TSK000121,1
VEH000423,TSK000121,1
VEH000024,TSK000121,1
VEH000313,TSK000121,1
VEH000079,TSK000121,1
VEH000485,TSK000121,0
VEH000288,TSK000121,1
VEH000320,TSK000121,1
VEH000222,TSK000121,1
VEH000310,TSK000121,0
VEH000015,TSK000121,1
VEH000343,TSK000121,1
VEH000510,TSK000121,0
VEH000283,TSK000121,1
VEH000358,TSK000121,1
VEH000309,TSK000121,1
VEH000252,TSK000121,0
VEH000440,TSK000121,1
VEH000241,TSK000121,1
VEH000042,TSK000121,1
VEH000221,TSK000121,0
VEH000478,TSK000121,1
VEH000477,TSK000230,1
VEH000411,TSK000230,1
VEH000057,TSK000230,1
VEH000026,TSK000230,1
VEH000308,TSK000230,1
VEH000395,TSK000230,1
VEH000530,TSK000230,1
VEH000045,TSK000230,1
VEH000063,TSK000230,1
VEH000422,TSK000230,1
VEH000052,TSK000230,0
VEH000240,TSK000230,1
VEH000031,TSK000230,1
VEH000450,TSK000230,1
VEH000248,TSK000230,1
VEH000011,TSK000230,0
VEH000264,TSK000230,1
VEH000532,TSK000230,0
VEH000088,TSK000230,1
VEH000520,TSK000230,1
VEH000323,TSK000230,1
VEH000034,TSK000230,1
VEH000306,TSK000230,1
VEH000100,TSK000230,1
VEH000070,TSK000230,1
VEH000010,TSK000230,1
VEH000377,TSK000230,0
VEH000317,TSK000230,0
VEH000096,TSK000230,1
VEH000423,TSK000230,1
VEH000024,TSK000230,1
VEH000313,TSK000230,1
VEH000079,TSK000230,1
