task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class,loaded_distance_km,duration_source
TSK000052,66.8857,87.4198,NOD000622,NOD000341,4817.4471,8125.50464,16.2,外协,PRD0188,普货,540.0,historical_distance_bin_median
TSK000057,72.49682941,122.91442941,NOD000632,NOD000287,11117.5687,18675.33558,39.6,自有,PRD0032,普货,1320.0,direct_historical_od_median
TSK000207,78.10795882,89.34405882,NOD000779,NOD000520,786.8385,1841.07968,1.83,自有,PRD0156,普货,61.0,direct_historical_od_median
TSK000417,83.71908824,96.01828824,NOD000678,NOD000020,1664.6594,3729.9988,5.79,外协,PRD0167,普货,193.0,direct_historical_od_median
TSK000482,89.33021765,156.75521765,NOD000594,NOD000582,21989.0887,32926.0877,69.39,自有,PRD0247,普货,2313.0,direct_historical_od_median
TSK000488,94.94134706,136.17464706,NOD000592,NOD000008,7320.5805,12163.00921,25.35,外协,PRD0200,普货,845.0,direct_historical_od_median
TSK000490,100.55247647,137.35717647,NOD000597,NOD000570,8858.3561,14005.19428,29.7,自有,PRD0212,普货,990.0,historical_distance_bin_median
TSK000600,106.16360588,133.08000588,NOD000780,NOD000316,7528.4628,12524.53103,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK000669,111.77473529,133.81963529,NOD000678,NOD000776,6424.5427,11151.10414,22.86,外协,PRD0167,普货,762.0,historical_distance_bin_median
TSK000685,117.38586471,120.72416471,NOD000781,NOD000134,1320.0513,3439.05089,4.86,外协,PRD0262,普货,162.0,direct_historical_od_median
TSK000691,122.99699412,142.04699412,NOD000777,NOD000030,6068.7466,11017.71715,27.0945,自有,PRD0173,危货,669.0,direct_historical_od_median
TSK000739,128.60812353,150.65302353,NOD000678,NOD000507,6575.0675,11423.41508,23.46,自有,PRD0167,普货,782.0,historical_distance_bin_median
TSK000749,134.21925294,147.88800294,NOD000790,NOD000419,2853.1163,5731.28171,10.77,外协,PRD0202,普货,359.0,historical_distance_bin_median
TSK000875,139.83038235,153.49913235,NOD000786,NOD000427,2873.572,4742.52702,8.43,外协,PRD0186,普货,281.0,historical_distance_bin_median
TSK000891,145.44151176,148.62641176,NOD000607,NOD000134,1320.0513,3439.05089,4.86,外协,PRD0262,普货,162.0,direct_historical_od_median
TSK001017,151.05264118,187.85734118,NOD000678,NOD000501,7708.5502,13049.57423,27.21,外协,PRD0167,普货,907.0,historical_distance_bin_median
TSK001028,156.66377059,177.58457059,NOD000632,NOD000627,2432.5488,4547.68336,7.95,外协,PRD0067,普货,265.0,direct_historical_od_median
TSK001327,162.2749,190.3331,NOD000781,NOD000430,8627.3015,13146.7545,27.96,外协,PRD0262,普货,932.0,direct_historical_od_median
TSK001364,167.88602941,188.42012941,NOD000781,NOD000552,4561.5907,6837.40893,13.5,外协,PRD0262,普货,450.0,historical_distance_bin_median
TSK001418,173.49715882,232.67815882,NOD000780,NOD000058,17712.4448,29033.62,60.57,自有,PRD0162,普货,2019.0,direct_historical_od_median
TSK001473,179.10828824,201.15318824,NOD000779,NOD000512,5908.0925,9922.59169,20.28,自有,PRD0159,普货,676.0,historical_distance_bin_median
