task_id,scenario_id,self_base_loss,outsourced_loss
TSK000044,S001,15.62130632,15.62130632
TSK000044,S002,33.50162581,33.50162581
TSK000044,S003,72.31848455,72.31848455
TSK000044,S004,15.62130632,15.62130632
TSK000044,S005,15.62130632,15.62130632
TSK000044,S006,45.71031286,45.71031286
TSK000044,S007,74.16835365,74.16835365
TSK000044,S008,53.66899573,53.66899573
TSK000044,S009,106.21854305,106.21854305
TSK000044,S010,45.62907689,45.62907689
TSK000044,S011,22.04122779,22.04122779
TSK000044,S012,66.70248194,66.70248194
TSK000044,S013,15.62130632,15.62130632
TSK000044,S014,15.62130632,15.62130632
TSK000044,S015,136.63526537,136.63526537
TSK000044,S016,15.62130632,15.62130632
TSK000044,S017,55.96680401,55.96680401
TSK000044,S018,88.28338784,88.28338784
TSK000044,S019,59.26070514,59.26070514
TSK000044,S020,15.62130632,15.62130632
TSK000044,S021,144.72530075,144.72530075
TSK000044,S022,15.62130632,15.62130632
TSK000044,S023,25.59883236,25.59883236
TSK000044,S024,15.62130632,15.62130632
TSK000044,S025,91.58864606,91.58864606
TSK000044,S026,15.62130632,15.62130632
TSK000044,S027,44.85860405,44.85860405
TSK000044,S028,170.69700561,170.69700561
TSK000044,S029,89.73822902,89.73822902
TSK000044,S030,15.62130632,15.62130632
TSK000044,S031,64.58797015,64.58797015
TSK000044,S032,26.95057193,26.95057193
TSK000044,S033,26.95057193,26.95057193
TSK000044,S034,35.76424426,35.76424426
TSK000044,S035,15.62130632,15.62130632
TSK000044,S036,15.62130632,15.62130632
TSK000044,S037,126.10552731,126.10552731
TSK000044,S038,48.7612073,48.7612073
TSK000044,S039,27.53386926,27.53386926
TSK000044,S040,71.22308159,71.22308159
TSK000044,S041,134.52614334,134.52614334
TSK000044,S042,30.91931717,30.91931717
TSK000044,S043,61.23306602,61.23306602
TSK000044,S044,88.28338784,88.28338784
TSK000044,S045,91.15889392,91.15889392
TSK000044,S046,27.61722236,27.61722236
TSK000044,S047,46.59610129,46.59610129
TSK000044,S048,52.85307491,52.85307491
TSK000044,S049,117.15685606,117.15685606
TSK000044,S050,59.87814225,59.87814225
TSK000044,S051,57.71102177,57.71102177
TSK000044,S052,131.1578264,131.1578264
TSK000044,S053,15.62130632,15.62130632
TSK000044,S054,211.21021896,211.21021896
TSK000044,S055,61.23306602,61.23306602
TSK000044,S056,51.38814334,51.38814334
TSK000044,S057,15.62130632,15.62130632
TSK000044,S058,187.36814997,187.36814997
TSK000044,S059,15.62130632,15.62130632
TSK000044,S060,15.62130632,15.62130632
TSK000044,S061,39.35916193,39.35916193
TSK000044,S062,58.08704657,58.08704657
TSK000044,S063,30.91931717,30.91931717
TSK000044,S064,36.36678606,36.36678606
TSK000044,S065,83.0095217,83.0095217
TSK000044,S066,107.84474804,107.84474804
TSK000044,S067,15.62130632,15.62130632
TSK000044,S068,15.62130632,15.62130632
TSK000044,S069,15.62130632,15.62130632
TSK000044,S070,15.62130632,15.62130632
TSK000044,S071,18.66754303,18.66754303
TSK000044,S072,30.5626401,30.5626401
TSK000044,S073,51.41408134,51.41408134
TSK000044,S074,15.62130632,15.62130632
TSK000044,S075,46.18193037,46.18193037
TSK000044,S076,15.62130632,15.62130632
TSK000044,S077,88.28338784,88.28338784
TSK000044,S078,47.56736838,47.56736838
TSK000044,S079,27.22467967,27.22467967
TSK000044,S080,37.69996192,37.69996192
TSK000044,S081,38.56294389,38.56294389
TSK000044,S082,36.25959018,36.25959018
TSK000044,S083,33.96727949,33.96727949
TSK000044,S084,58.21890212,58.21890212
TSK000044,S085,41.92425821,41.92425821
TSK000044,S086,36.13071967,36.13071967
TSK000044,S087,110.06683716,110.06683716
TSK000044,S088,15.62130632,15.62130632
TSK000044,S089,75.44767189,75.44767189
TSK000044,S090,29.45985561,29.45985561
TSK000044,S091,49.4667442,49.4667442
TSK000044,S092,15.62130632,15.62130632
TSK000044,S093,15.62130632,15.62130632
TSK000044,S094,56.71039517,56.71039517
TSK000044,S095,15.62130632,15.62130632
TSK000044,S096,55.96680401,55.96680401
TSK000044,S097,15.62130632,15.62130632
TSK000044,S098,15.62130632,15.62130632
TSK000044,S099,44.54337177,44.54337177
TSK000044,S100,59.14553535,59.14553535
TSK000136,S001,17.11136351,17.11136351
TSK000136,S002,41.68535768,41.68535768
TSK000136,S003,71.05528261,71.05528261
TSK000136,S004,17.11136351,17.11136351
TSK000136,S005,17.11136351,17.11136351
TSK000136,S006,52.06964948,52.06964948
TSK000136,S007,77.05782325,77.05782325
TSK000136,S008,60.3906947,60.3906947
TSK000136,S009,100.99317839,100.99317839
TSK000136,S010,48.8532764,48.8532764
TSK000136,S011,22.43752754,22.43752754
TSK000136,S012,67.90660011,67.90660011
TSK000136,S013,17.11136351,17.11136351
TSK000136,S014,17.11136351,17.11136351
TSK000136,S015,135.0228293,135.0228293
TSK000136,S016,17.11136351,17.11136351
TSK000136,S017,53.10389191,53.10389191
TSK000136,S018,80.87079586,80.87079586
TSK000136,S019,60.89036313,60.89036313
TSK000136,S020,17.11136351,17.11136351
TSK000136,S021,145.24068604,145.24068604
TSK000136,S022,17.11136351,17.11136351
TSK000136,S023,26.38279856,26.38279856
TSK000136,S024,17.11136351,17.11136351
TSK000136,S025,84.33051791,84.33051791
TSK000136,S026,17.11136351,17.11136351
TSK000136,S027,45.45501433,45.45501433
TSK000136,S028,173.4682067,173.4682067
TSK000136,S029,82.43534678,82.43534678
TSK000136,S030,17.11136351,17.11136351
TSK000136,S031,69.80809158,69.80809158
TSK000136,S032,29.0120797,29.0120797
TSK000136,S033,29.0120797,29.0120797
TSK000136,S034,39.57691393,39.57691393
TSK000136,S035,17.11136351,17.11136351
TSK000136,S036,17.11136351,17.11136351
TSK000136,S037,135.09235587,135.09235587
TSK000136,S038,47.94080215,47.94080215
TSK000136,S039,30.5346881,30.5346881
TSK000136,S040,64.63176561,64.63176561
TSK000136,S041,133.71444691,133.71444691
TSK000136,S042,33.6429715,33.6429715
TSK000136,S043,70.65618804,70.65618804
TSK000136,S044,80.87079586,80.87079586
TSK000136,S045,85.68161861,85.68161861
TSK000136,S046,29.65374257,29.65374257
TSK000136,S047,47.20667822,47.20667822
TSK000136,S048,53.61192449,53.61192449
TSK000136,S049,119.57639798,119.57639798
TSK000136,S050,64.03337884,64.03337884
TSK000136,S051,64.04608571,64.04608571
TSK000136,S052,138.39432774,138.39432774
TSK000136,S053,17.11136351,17.11136351
TSK000136,S054,218.92855347,218.92855347
TSK000136,S055,70.65618804,70.65618804
TSK000136,S056,57.1659986,57.1659986
TSK000136,S057,17.11136351,17.11136351
TSK000136,S058,191.85575118,191.85575118
TSK000136,S059,17.11136351,17.11136351
TSK000136,S060,17.11136351,17.11136351
TSK000136,S061,41.68097058,41.68097058
TSK000136,S062,54.76544859,54.76544859
TSK000136,S063,33.6429715,33.6429715
TSK000136,S064,38.13316632,38.13316632
TSK000136,S065,84.07448825,84.07448825
TSK000136,S066,121.18352226,121.18352226
TSK000136,S067,17.11136351,17.11136351
TSK000136,S068,17.11136351,17.11136351
TSK000136,S069,17.11136351,17.11136351
TSK000136,S070,17.11136351,17.11136351
TSK000136,S071,20.79293866,20.79293866
TSK000136,S072,34.39778323,34.39778323
TSK000136,S073,55.23495533,55.23495533
TSK000136,S074,17.11136351,17.11136351
TSK000136,S075,47.93579166,47.93579166
TSK000136,S076,17.11136351,17.11136351
TSK000136,S077,80.87079586,80.87079586
TSK000136,S078,48.86816889,48.86816889
TSK000136,S079,29.82654068,29.82654068
TSK000136,S080,41.02122826,41.02122826
TSK000136,S081,40.78180947,40.78180947
TSK000136,S082,40.7660001,40.7660001
TSK000136,S083,37.97429945,37.97429945
TSK000136,S084,64.46115265,64.46115265
TSK000136,S085,44.67188326,44.67188326
TSK000136,S086,38.0098247,38.0098247
TSK000136,S087,114.63226345,114.63226345
TSK000136,S088,17.11136351,17.11136351
TSK000136,S089,75.26623121,75.26623121
TSK000136,S090,29.49598009,29.49598009
TSK000136,S091,50.81283452,50.81283452
TSK000136,S092,17.11136351,17.11136351
TSK000136,S093,17.11136351,17.11136351
TSK000136,S094,57.57101479,57.57101479
TSK000136,S095,17.11136351,17.11136351
TSK000136,S096,53.10389191,53.10389191
TSK000136,S097,17.11136351,17.11136351
TSK000136,S098,17.11136351,17.11136351
TSK000136,S099,50.15158909,50.15158909
TSK000136,S100,59.58042564,59.58042564
TSK000170,S001,6.51294376,6.51294376
TSK000170,S002,18.63284042,18.63284042
TSK000170,S003,27.37160393,27.37160393
TSK000170,S004,6.51294376,6.51294376
TSK000170,S005,6.51294376,6.51294376
TSK000170,S006,20.64345595,20.64345595
TSK000170,S007,28.83782716,28.83782716
TSK000170,S008,21.64711306,21.64711306
TSK000170,S009,38.14813651,38.14813651
TSK000170,S010,18.853309,18.853309
TSK000170,S011,8.61879373,8.61879373
TSK000170,S012,27.46277768,27.46277768
TSK000170,S013,6.51294376,6.51294376
TSK000170,S014,6.51294376,6.51294376
TSK000170,S015,48.6694361,48.6694361
TSK000170,S016,6.51294376,6.51294376
TSK000170,S017,21.26402685,21.26402685
TSK000170,S018,32.7210421,32.7210421
