task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class,loaded_distance_km,duration_source
TSK000008,180.6351,221.2938,NOD000593,NOD000187,12383.5565,14854.78026,50.0985,自有,PRD0138,危货,1237.0,historical_distance_bin_median
TSK000083,180.81883026,201.35293026,NOD000790,NOD000341,4901.5771,6646.19274,16.2,外协,PRD0202,普货,540.0,historical_distance_bin_median
TSK000084,181.00256053,217.80726053,NOD000781,NOD000191,7366.6237,9912.80853,25.32,外协,PRD0262,普货,844.0,historical_distance_bin_median
TSK000086,181.18629079,201.47559079,NOD000777,NOD000271,6424.4983,7584.01011,22.923,自有,PRD0173,危货,566.0,direct_historical_od_median
TSK000106,181.37002105,195.03877105,NOD000678,NOD000028,2157.7069,3366.76275,6.75,外协,PRD0167,普货,225.0,historical_distance_bin_median
TSK000110,181.55375132,221.25625132,NOD000786,NOD000184,6536.829,9732.58569,24.57,外协,PRD0185,普货,819.0,direct_historical_od_median
TSK000121,181.73748158,202.65828158,NOD000632,NOD000627,2353.0672,3753.82305,7.95,外协,PRD0067,普货,265.0,direct_historical_od_median
TSK000124,181.92121184,209.97941184,NOD000781,NOD000430,8549.3115,10788.86628,27.96,外协,PRD0262,普货,932.0,direct_historical_od_median
TSK000155,182.10494211,202.84284211,NOD000777,NOD000011,7562.7363,9128.51226,28.7145,自有,PRD0173,危货,709.0,direct_historical_od_median
TSK000162,182.28867237,224.01157237,NOD000607,NOD000198,12656.9077,16023.10167,41.85,外协,PRD0262,普货,1395.0,direct_historical_od_median
TSK000163,182.47240263,194.73770263,NOD000786,NOD000580,626.2672,1266.28398,1.14,外协,PRD0186,普货,38.0,direct_historical_od_median
TSK000189,182.65613289,203.19023289,NOD000789,NOD000208,5203.7768,6212.72448,18.1035,自有,PRD0135,危货,447.0,historical_distance_bin_median
TSK000197,182.83986316,183.27726316,NOD000781,NOD000130,891.9023,1218.30057,1.14,外协,PRD0262,普货,38.0,direct_historical_od_median
TSK000237,183.02359342,213.06369342,NOD000777,NOD000195,9988.1941,12482.41203,41.067,自有,PRD0173,危货,1014.0,direct_historical_od_median
TSK000255,183.20732368,186.54562368,NOD000781,NOD000134,1320.0513,2813.76891,4.86,外协,PRD0262,普货,162.0,direct_historical_od_median
TSK000266,183.39105395,203.19145395,NOD000632,NOD000177,2353.0672,3753.82305,7.95,外协,PRD0058,普货,265.0,direct_historical_od_median
TSK000270,183.57478421,224.23348421,NOD000678,NOD000161,12598.9053,17095.7916,44.22,自有,PRD0167,普货,1474.0,historical_distance_bin_median
TSK000289,183.75851447,190.23491447,NOD000632,NOD000182,1945.8573,2864.2941,5.31,外协,PRD0048,普货,177.0,direct_historical_od_median
TSK000294,183.94224474,199.59014474,NOD000632,NOD000018,2353.6156,3753.61695,7.95,外协,PRD0089,普货,265.0,direct_historical_od_median
TSK000352,184.125975,195.362075,NOD000779,NOD000520,786.8385,1506.33792,1.83,自有,PRD0156,普货,61.0,direct_historical_od_median
TSK000380,184.30970526,203.48530526,NOD000777,NOD000031,6075.5011,9010.60245,27.0945,自有,PRD0173,危货,669.0,direct_historical_od_median
TSK000394,184.49343553,225.15213553,NOD000678,NOD000161,12598.9053,17095.7916,44.22,自有,PRD0167,普货,1474.0,historical_distance_bin_median
TSK000409,184.67716579,198.34591579,NOD000632,NOD000028,2363.7957,3290.75352,6.75,外协,PRD0072,普货,225.0,historical_distance_bin_median
TSK000443,184.86089605,211.77729605,NOD000780,NOD000316,7528.4628,10247.34357,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK000446,185.04462632,201.55002632,NOD000779,NOD000136,793.4508,1619.52228,1.83,自有,PRD0156,普货,61.0,direct_historical_od_median
TSK000521,185.22835658,199.56145658,NOD000779,NOD000419,2760.368,4721.49648,10.77,自有,PRD0159,普货,359.0,direct_historical_od_median
TSK000533,185.41208684,199.74518684,NOD000779,NOD000419,2760.368,4721.49648,10.77,自有,PRD0159,普货,359.0,direct_historical_od_median
TSK000536,185.59581711,206.15471711,NOD000779,NOD000336,4964.4985,7003.32507,16.74,自有,PRD0156,普货,558.0,direct_historical_od_median
TSK000539,185.77954737,198.50664737,NOD000678,NOD000017,2392.8611,3495.65481,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK000543,185.96327763,205.76367763,NOD000632,NOD000177,2353.0672,3753.82305,7.95,外协,PRD0058,普货,265.0,direct_historical_od_median
TSK000565,186.14700789,200.48010789,NOD000779,NOD000419,2760.368,4721.49648,10.77,自有,PRD0159,普货,359.0,direct_historical_od_median
TSK000573,186.33073816,226.98943816,NOD000636,NOD000118,13000.7974,16929.55575,44.07,外协,PRD0189,普货,1469.0,historical_distance_bin_median
TSK000594,186.51446842,193.18976842,NOD000777,NOD000419,4171.8909,5347.61487,14.5395,自有,PRD0173,危货,359.0,direct_historical_od_median
TSK000595,186.69819868,205.74819868,NOD000777,NOD000030,6068.7466,9014.49585,27.0945,自有,PRD0173,危货,669.0,direct_historical_od_median
