task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class
T00001,12.183333333333334,12.933333333333334,L0009,L0004,45.0,69.35,0.0,official_public_fixed_time_revised_derived,public,all
T00002,7.15,7.616666666666666,L0062,L0045,28.0,55.099999999999994,0.0,official_public_fixed_time_revised_derived,public,all
T00003,9.15,9.75,L0025,L0019,36.0,61.75,0.0,official_public_fixed_time_revised_derived,public,all
T00004,17.5,17.733333333333334,L0071,L0009,14.0,36.1,0.0,official_public_fixed_time_revised_derived,public,all
T00005,11.883333333333333,13.383333333333333,L0047,L0067,90.0,102.6,0.0,official_public_fixed_time_revised_derived,public,all
T00006,12.533333333333333,13.2,L0074,L0051,40.0,71.25,0.0,official_public_fixed_time_revised_derived,public,all
T00007,13.733333333333333,14.533333333333333,L0012,L0053,48.0,67.45,0.0,official_public_fixed_time_revised_derived,public,all
T00008,10.083333333333334,11.266666666666667,L0038,L0020,71.0,88.35,0.0,official_public_fixed_time_revised_derived,public,all
T00009,11.65,12.316666666666666,L0014,L0009,40.0,73.14999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00010,15.933333333333334,16.3,L0053,L0005,22.0,42.75,0.0,official_public_fixed_time_revised_derived,public,all
T00011,12.583333333333334,13.55,L0048,L0026,58.0,77.89999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00012,7.366666666666666,8.283333333333333,L0075,L0031,55.0,85.5,0.0,official_public_fixed_time_revised_derived,public,all
T00013,7.9,9.016666666666667,L0053,L0050,67.0,85.5,0.0,official_public_fixed_time_revised_derived,public,all
T00014,11.0,12.0,L0070,L0011,60.0,60.8,0.0,official_public_fixed_time_revised_derived,public,all
T00015,7.383333333333334,8.2,L0022,L0060,49.0,67.45,0.0,official_public_fixed_time_revised_derived,public,all
T00016,14.766666666666667,15.933333333333334,L0043,L0033,70.0,80.75,0.0,official_public_fixed_time_revised_derived,public,all
T00017,7.416666666666667,8.4,L0057,L0005,59.0,79.8,0.0,official_public_fixed_time_revised_derived,public,all
