task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class
T00001,17.9,18.683333333333334,L0034,L0055,47.0,73.14999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00002,15.933333333333334,16.9,L0033,L0067,58.0,80.75,0.0,official_public_fixed_time_revised_derived,public,all
T00003,11.516666666666667,13.183333333333334,L0044,L0057,100.0,106.39999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00004,17.733333333333334,18.583333333333332,L0065,L0040,51.0,78.85,0.0,official_public_fixed_time_revised_derived,public,all
T00005,11.55,12.9,L0062,L0030,81.0,95.94999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00006,9.7,10.633333333333333,L0027,L0013,56.0,68.39999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00007,15.616666666666667,16.233333333333334,L0013,L0058,37.0,51.3,0.0,official_public_fixed_time_revised_derived,public,all
T00008,15.883333333333333,17.033333333333335,L0050,L0019,69.0,78.85,0.0,official_public_fixed_time_revised_derived,public,all
T00009,17.633333333333333,18.416666666666668,L0021,L0005,47.0,60.8,0.0,official_public_fixed_time_revised_derived,public,all
T00010,17.683333333333334,18.85,L0038,L0022,70.0,88.35,0.0,official_public_fixed_time_revised_derived,public,all
T00011,17.45,18.266666666666666,L0014,L0020,49.0,76.95,0.0,official_public_fixed_time_revised_derived,public,all
T00012,7.483333333333333,8.066666666666666,L0016,L0014,35.0,61.75,0.0,official_public_fixed_time_revised_derived,public,all
T00013,14.283333333333333,15.55,L0055,L0025,76.0,94.05,0.0,official_public_fixed_time_revised_derived,public,all
T00014,15.35,16.433333333333334,L0068,L0029,65.0,83.6,0.0,official_public_fixed_time_revised_derived,public,all
T00015,7.116666666666666,7.683333333333334,L0022,L0059,34.0,57.0,0.0,official_public_fixed_time_revised_derived,public,all
T00016,12.983333333333333,13.833333333333334,L0052,L0054,51.0,66.5,0.0,official_public_fixed_time_revised_derived,public,all
T00017,7.116666666666666,8.4,L0068,L0008,77.0,95.0,0.0,official_public_fixed_time_revised_derived,public,all
T00018,7.333333333333333,8.1,L0076,L0040,46.0,76.0,0.0,official_public_fixed_time_revised_derived,public,all
T00019,17.3,18.366666666666667,L0067,L0058,64.0,79.8,0.0,official_public_fixed_time_revised_derived,public,all
T00020,9.05,10.216666666666667,L0014,L0028,70.0,96.89999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00021,13.316666666666666,14.516666666666667,L0045,L0041,72.0,97.85,0.0,official_public_fixed_time_revised_derived,public,all
T00022,15.9,16.866666666666667,L0023,L0041,58.0,76.95,0.0,official_public_fixed_time_revised_derived,public,all
T00023,13.8,14.716666666666667,L0061,L0059,55.0,59.849999999999994,0.0,official_public_fixed_time_revised_derived,public,all
T00024,14.35,15.383333333333333,L0031,L0043,62.0,70.3,0.0,official_public_fixed_time_revised_derived,public,all
T00025,9.116666666666667,10.45,L0030,L0075,80.0,101.64999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00026,17.816666666666666,19.233333333333334,L0039,L0075,85.0,101.64999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00027,14.1,15.016666666666667,L0023,L0070,55.0,74.1,0.0,official_public_fixed_time_revised_derived,public,all
T00028,10.233333333333333,10.65,L0016,L0022,25.0,52.25,0.0,official_public_fixed_time_revised_derived,public,all
T00029,14.783333333333333,15.4,L0064,L0029,37.0,63.65,0.0,official_public_fixed_time_revised_derived,public,all
T00030,11.266666666666667,11.733333333333333,L0027,L0062,28.0,41.8,0.0,official_public_fixed_time_revised_derived,public,all
T00031,8.833333333333334,10.066666666666666,L0016,L0006,74.0,98.8,0.0,official_public_fixed_time_revised_derived,public,all
T00032,14.383333333333333,14.916666666666666,L0025,L0016,32.0,56.05,0.0,official_public_fixed_time_revised_derived,public,all
T00033,7.25,8.116666666666667,L0005,L0021,52.0,78.85,0.0,official_public_fixed_time_revised_derived,public,all
T00034,15.7,16.483333333333334,L0056,L0042,47.0,75.05,0.0,official_public_fixed_time_revised_derived,public,all
T00035,9.183333333333334,9.95,L0078,L0011,46.0,65.55,0.0,official_public_fixed_time_revised_derived,public,all
T00036,9.933333333333334,10.633333333333333,L0067,L0055,42.0,58.9,0.0,official_public_fixed_time_revised_derived,public,all
T00037,14.85,15.65,L0045,L0011,48.0,75.05,0.0,official_public_fixed_time_revised_derived,public,all
T00038,16.316666666666666,17.516666666666666,L0046,L0071,72.0,85.5,0.0,official_public_fixed_time_revised_derived,public,all
T00039,17.366666666666667,18.183333333333334,L0045,L0025,49.0,76.0,0.0,official_public_fixed_time_revised_derived,public,all
T00040,17.816666666666666,18.916666666666668,L0029,L0019,66.0,73.14999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00041,8.283333333333333,8.85,L0066,L0038,34.0,44.65,0.0,official_public_fixed_time_revised_derived,public,all
T00042,8.866666666666667,9.466666666666667,L0056,L0012,36.0,64.6,0.0,official_public_fixed_time_revised_derived,public,all
T00043,13.683333333333334,14.2,L0061,L0007,31.0,37.05,0.0,official_public_fixed_time_revised_derived,public,all
T00044,16.5,18.016666666666666,L0061,L0038,91.0,94.05,0.0,official_public_fixed_time_revised_derived,public,all
T00045,12.0,12.7,L0012,L0034,42.0,62.699999999999996,0.0,official_public_fixed_time_revised_derived,public,all
T00046,8.366666666666667,9.116666666666667,L0042,L0069,45.0,66.5,0.0,official_public_fixed_time_revised_derived,public,all
T00047,11.6,12.3,L0074,L0063,42.0,60.8,0.0,official_public_fixed_time_revised_derived,public,all
T00048,11.65,12.833333333333334,L0011,L0060,71.0,93.1,0.0,official_public_fixed_time_revised_derived,public,all
T00049,7.433333333333334,8.25,L0027,L0033,49.0,61.75,0.0,official_public_fixed_time_revised_derived,public,all
T00050,8.5,9.733333333333333,L0025,L0055,74.0,95.94999999999999,0.0,official_public_fixed_time_revised_derived,public,all
T00051,7.383333333333334,8.066666666666666,L0034,L0076,41.0,67.45,0.0,official_public_fixed_time_revised_derived,public,all
T00052,16.7,17.983333333333334,L0014,L0070,77.0,103.55,0.0,official_public_fixed_time_revised_derived,public,all
T00053,11.416666666666666,12.383333333333333,L0056,L0063,58.0,85.5,0.0,official_public_fixed_time_revised_derived,public,all
T00054,11.616666666666667,12.316666666666666,L0014,L0052,42.0,70.3,0.0,official_public_fixed_time_revised_derived,public,all
T00055,9.416666666666666,10.6,L0038,L0077,71.0,89.3,0.0,official_public_fixed_time_revised_derived,public,all
T00056,7.166666666666667,8.483333333333333,L0037,L0039,79.0,88.35,0.0,official_public_fixed_time_revised_derived,public,all
T00057,16.066666666666666,17.066666666666666,L0020,L0074,60.0,70.3,0.0,official_public_fixed_time_revised_derived,public,all
T00058,16.933333333333334,18.1,L0040,L0021,70.0,99.75,0.0,official_public_fixed_time_revised_derived,public,all
T00059,13.333333333333334,14.616666666666667,L0044,L0064,77.0,84.55,0.0,official_public_fixed_time_revised_derived,public,all
T00060,11.416666666666666,11.933333333333334,L0076,L0055,31.0,61.75,0.0,official_public_fixed_time_revised_derived,public,all
T00061,11.966666666666667,12.866666666666667,L0065,L0014,54.0,81.7,0.0,official_public_fixed_time_revised_derived,public,all
T00062,16.783333333333335,17.416666666666668,L0020,L0065,38.0,49.4,0.0,official_public_fixed_time_revised_derived,public,all
T00063,9.983333333333333,10.833333333333334,L0010,L0069,51.0,74.1,0.0,official_public_fixed_time_revised_derived,public,all
T00064,13.4,14.366666666666667,L0045,L0032,58.0,84.55,0.0,official_public_fixed_time_revised_derived,public,all
T00065,11.6,12.633333333333333,L0019,L0054,62.0,86.45,0.0,official_public_fixed_time_revised_derived,public,all
T00066,13.016666666666667,13.783333333333333,L0025,L0058,46.0,69.35,0.0,official_public_fixed_time_revised_derived,public,all
T00067,9.616666666666667,10.116666666666667,L0070,L0016,30.0,40.85,0.0,official_public_fixed_time_revised_derived,public,all
T00068,8.966666666666667,10.15,L0050,L0012,71.0,80.75,0.0,official_public_fixed_time_revised_derived,public,all
T00069,15.1,15.283333333333333,L0035,L0054,11.0,21.849999999999998,0.0,official_public_fixed_time_revised_derived,public,all
T00070,17.933333333333334,18.9,L0047,L0021,58.0,90.25,0.0,official_public_fixed_time_revised_derived,public,all
T00071,17.483333333333334,18.7,L0042,L0011,73.0,93.1,0.0,official_public_fixed_time_revised_derived,public,all
T00072,11.933333333333334,12.416666666666666,L0008,L0027,29.0,52.25,0.0,official_public_fixed_time_revised_derived,public,all
T00073,15.866666666666667,16.65,L0018,L0048,47.0,64.6,0.0,official_public_fixed_time_revised_derived,public,all
T00074,7.2,8.216666666666667,L0072,L0040,61.0,72.2,0.0,official_public_fixed_time_revised_derived,public,all
T00075,13.15,14.1,L0032,L0012,57.0,76.95,0.0,official_public_fixed_time_revised_derived,public,all
