vehicle_id,task_id,q_ki
D00_V0001,T00001,1
D00_V0001,T00002,1
D00_V0001,T00003,1
D00_V0001,T00004,1
D00_V0001,T00005,1
D00_V0001,T00006,1
D00_V0001,T00007,1
D00_V0001,T00008,1
D00_V0001,T00009,1
D00_V0001,T00010,1
D00_V0001,T00011,1
D00_V0001,T00012,1
D00_V0001,T00013,1
D00_V0001,T00014,1
D00_V0001,T00015,1
D00_V0001,T00016,1
D00_V0001,T00017,1
D00_V0001,T00018,1
D00_V0001,T00019,1
D00_V0001,T00020,1
D00_V0001,T00021,1
D00_V0001,T00022,1
D00_V0001,T00023,1
D00_V0001,T00024,1
D00_V0001,T00025,1
D00_V0001,T00026,1
D00_V0001,T00027,1
D00_V0001,T00028,1
D00_V0001,T00029,1
D00_V0001,T00030,1
D00_V0001,T00031,1
D00_V0001,T00032,1
D00_V0001,T00033,1
D00_V0001,T00034,1
D00_V0001,T00035,1
D00_V0001,T00036,1
D00_V0001,T00037,1
D00_V0001,T00038,1
D00_V0001,T00039,1
D00_V0001,T00040,1
D00_V0001,T00041,1
D00_V0001,T00042,1
D00_V0001,T00043,1
D00_V0001,T00044,1
D00_V0001,T00045,1
D00_V0001,T00046,1
D00_V0001,T00047,1
D00_V0001,T00048,1
D00_V0001,T00049,1
D00_V0001,T00050,1
D00_V0001,T00051,1
D00_V0001,T00052,1
D00_V0001,T00053,1
D00_V0001,T00054,1
D00_V0001,T00055,1
D00_V0001,T00056,1
D00_V0001,T00057,1
D00_V0001,T00058,1
D00_V0001,T00059,1
D00_V0001,T00060,1
D00_V0001,T00061,1
D00_V0001,T00062,1
D00_V0001,T00063,1
D00_V0001,T00064,1
D00_V0001,T00065,1
D00_V0001,T00066,1
D00_V0001,T00067,1
D00_V0001,T00068,1
D00_V0001,T00069,1
D00_V0001,T00070,1
D00_V0001,T00071,1
D00_V0001,T00072,1
D00_V0001,T00073,1
D00_V0001,T00074,1
D00_V0001,T00075,1
D00_V0001,T00076,1
D00_V0001,T00077,1
D00_V0001,T00078,1
D00_V0001,T00079,1
D00_V0001,T00080,1
D00_V0001,T00081,1
D00_V0001,T00082,1
D00_V0001,T00083,1
D00_V0001,T00084,1
D00_V0001,T00085,1
D00_V0001,T00086,1
D00_V0001,T00087,1
D00_V0001,T00088,1
D00_V0001,T00089,1
D00_V0001,T00090,1
D00_V0001,T00091,1
D00_V0001,T00092,1
D00_V0001,T00093,1
D00_V0001,T00094,1
D00_V0001,T00095,1
D00_V0001,T00096,1
D00_V0001,T00097,1
D00_V0001,T00098,1
D00_V0001,T00099,1
D00_V0001,T00100,1
D00_V0001,T00101,1
D00_V0001,T00102,1
D00_V0001,T00103,1
D00_V0001,T00104,1
D00_V0001,T00105,1
D00_V0001,T00106,1
D00_V0001,T00107,1
D00_V0001,T00108,1
D00_V0001,T00109,1
D00_V0001,T00110,1
D00_V0001,T00111,1
D00_V0001,T00112,1
D00_V0001,T00113,1
D00_V0001,T00114,1
D00_V0001,T00115,1
D00_V0001,T00116,1
D00_V0001,T00117,1
D00_V0001,T00118,1
D00_V0001,T00119,1
D00_V0001,T00120,1
D00_V0001,T00121,1
D00_V0001,T00122,1
D00_V0001,T00123,1
D00_V0001,T00124,1
D00_V0001,T00125,1
D00_V0001,T00126,1
D00_V0001,T00127,1
D00_V0001,T00128,1
D00_V0001,T00129,1
D00_V0001,T00130,1
D00_V0001,T00131,1
D00_V0001,T00132,1
D00_V0001,T00133,1
D00_V0001,T00134,1
D00_V0001,T00135,1
D00_V0001,T00136,1
D00_V0001,T00137,1
D00_V0001,T00138,1
D00_V0001,T00139,1
D00_V0001,T00140,1
D00_V0001,T00141,1
D00_V0001,T00142,1
