from_node_id,to_node_id,distance_km,travel_hours,source_travel_minutes
L0000,L0000,0.0,0.0,0
L0000,L0001,61.0,1.0166666666666666,61
L0000,L0002,86.0,1.4333333333333333,86
L0000,L0003,61.0,1.0166666666666666,61
L0000,L0004,75.0,1.25,75
L0000,L0005,40.0,0.6666666666666666,40
L0000,L0006,66.0,1.1,66
L0000,L0007,30.0,0.5,30
L0000,L0008,68.0,1.1333333333333333,68
L0000,L0009,75.0,1.25,75
L0000,L0010,44.0,0.7333333333333333,44
L0000,L0011,69.0,1.15,69
L0000,L0012,42.0,0.7,42
L0000,L0013,60.0,1.0,60
L0000,L0014,64.0,1.0666666666666667,64
L0000,L0015,68.0,1.1333333333333333,68
L0000,L0016,76.0,1.2666666666666666,76
L0000,L0017,46.0,0.7666666666666667,46
L0000,L0018,34.0,0.5666666666666667,34
L0000,L0019,14.0,0.23333333333333334,14
L0000,L0020,52.0,0.8666666666666667,52
L0000,L0021,81.0,1.35,81
L0000,L0022,55.0,0.9166666666666666,55
L0000,L0023,40.0,0.6666666666666666,40
L0000,L0024,5.0,0.08333333333333333,5
L0000,L0025,41.0,0.6833333333333333,41
L0000,L0026,44.0,0.7333333333333333,44
L0000,L0027,59.0,0.9833333333333333,59
L0000,L0028,29.0,0.48333333333333334,29
L0000,L0029,19.0,0.31666666666666665,19
L0000,L0030,13.0,0.21666666666666667,13
L0000,L0031,55.0,0.9166666666666666,55
L0000,L0032,60.0,1.0,60
L0000,L0033,19.0,0.31666666666666665,19
L0000,L0034,66.0,1.1,66
L0000,L0035,26.0,0.43333333333333335,26
L0000,L0036,50.0,0.8333333333333334,50
L0000,L0037,33.0,0.55,33
L0000,L0038,23.0,0.38333333333333336,23
L0000,L0039,60.0,1.0,60
L0000,L0040,32.0,0.5333333333333333,32
L0000,L0041,33.0,0.55,33
L0000,L0042,5.0,0.08333333333333333,5
L0000,L0043,59.0,0.9833333333333333,59
L0000,L0044,3.0,0.05,3
L0000,L0045,38.0,0.6333333333333333,38
L0000,L0046,66.0,1.1,66
L0000,L0047,50.0,0.8333333333333334,50
L0000,L0048,58.0,0.9666666666666667,58
L0000,L0049,31.0,0.5166666666666667,31
L0000,L0050,18.0,0.3,18
L0000,L0051,36.0,0.6,36
L0000,L0052,69.0,1.15,69
L0000,L0053,16.0,0.26666666666666666,16
L0000,L0054,6.0,0.1,6
L0000,L0055,63.0,1.05,63
L0000,L0056,43.0,0.7166666666666667,43
L0000,L0057,76.0,1.2666666666666666,76
L0000,L0058,23.0,0.38333333333333336,23
L0000,L0059,10.0,0.16666666666666666,10
L0000,L0060,26.0,0.43333333333333335,26
L0000,L0061,48.0,0.8,48
L0000,L0062,33.0,0.55,33
L0000,L0063,59.0,0.9833333333333333,59
L0000,L0064,33.0,0.55,33
L0000,L0065,38.0,0.6333333333333333,38
L0000,L0066,52.0,0.8666666666666667,52
L0000,L0067,39.0,0.65,39
L0000,L0068,56.0,0.9333333333333333,56
L0000,L0069,26.0,0.43333333333333335,26
L0000,L0070,41.0,0.6833333333333333,41
L0000,L0071,60.0,1.0,60
L0000,L0072,59.0,0.9833333333333333,59
L0000,L0073,52.0,0.8666666666666667,52
L0000,L0074,28.0,0.4666666666666667,28
L0000,L0075,28.0,0.4666666666666667,28
L0000,L0076,37.0,0.6166666666666667,37
L0000,L0077,46.0,0.7666666666666667,46
L0000,L0078,56.0,0.9333333333333333,56
