vehicle_id,initial_node_id,available_hour,risk_factor,risk_percentile,vehicle_type,hazard_class,admission_indicator
D00_V0001,L0000,0.0,1.0,0.005025125628140704,public_mdvsp_revised_derived,all,1
D00_V0002,L0000,0.0,1.0,0.010050251256281407,public_mdvsp_revised_derived,all,1
D00_V0003,L0000,0.0,1.0,0.01507537688442211,public_mdvsp_revised_derived,all,1
D00_V0004,L0000,0.0,1.0,0.020100502512562814,public_mdvsp_revised_derived,all,1
D00_V0005,L0000,0.0,1.0,0.02512562814070352,public_mdvsp_revised_derived,all,1
D00_V0006,L0000,0.0,1.0,0.03015075376884422,public_mdvsp_revised_derived,all,1
D00_V0007,L0000,0.0,1.0,0.035175879396984924,public_mdvsp_revised_derived,all,1
D00_V0008,L0000,0.0,1.0,0.04020100502512563,public_mdvsp_revised_derived,all,1
D00_V0009,L0000,0.0,1.0,0.04522613065326633,public_mdvsp_revised_derived,all,1
D00_V0010,L0000,0.0,1.0,0.05025125628140704,public_mdvsp_revised_derived,all,1
D00_V0011,L0000,0.0,1.0,0.05527638190954774,public_mdvsp_revised_derived,all,1
D00_V0012,L0000,0.0,1.0,0.06030150753768844,public_mdvsp_revised_derived,all,1
D00_V0013,L0000,0.0,1.0,0.06532663316582915,public_mdvsp_revised_derived,all,1
D00_V0014,L0000,0.0,1.0,0.07035175879396985,public_mdvsp_revised_derived,all,1
D00_V0015,L0000,0.0,1.0,0.07537688442211055,public_mdvsp_revised_derived,all,1
D00_V0016,L0000,0.0,1.0,0.08040201005025126,public_mdvsp_revised_derived,all,1
D00_V0017,L0000,0.0,1.0,0.08542713567839195,public_mdvsp_revised_derived,all,1
D00_V0018,L0000,0.0,1.0,0.09045226130653267,public_mdvsp_revised_derived,all,1
D00_V0019,L0000,0.0,1.0,0.09547738693467336,public_mdvsp_revised_derived,all,1
D00_V0020,L0000,0.0,1.0,0.10050251256281408,public_mdvsp_revised_derived,all,1
D00_V0021,L0000,0.0,1.0,0.10552763819095477,public_mdvsp_revised_derived,all,1
D00_V0022,L0000,0.0,1.0,0.11055276381909548,public_mdvsp_revised_derived,all,1
D00_V0023,L0000,0.0,1.0,0.11557788944723618,public_mdvsp_revised_derived,all,1
D00_V0024,L0000,0.0,1.0,0.12060301507537688,public_mdvsp_revised_derived,all,1
D00_V0025,L0000,0.0,1.0,0.12562814070351758,public_mdvsp_revised_derived,all,1
D00_V0026,L0000,0.0,1.0,0.1306532663316583,public_mdvsp_revised_derived,all,1
D00_V0027,L0000,0.0,1.0,0.135678391959799,public_mdvsp_revised_derived,all,1
D00_V0028,L0000,0.0,1.0,0.1407035175879397,public_mdvsp_revised_derived,all,1
D00_V0029,L0000,0.0,1.0,0.1457286432160804,public_mdvsp_revised_derived,all,1
D00_V0030,L0000,0.0,1.0,0.1507537688442211,public_mdvsp_revised_derived,all,1
D00_V0031,L0000,0.0,1.0,0.15577889447236182,public_mdvsp_revised_derived,all,1
