task_id,scenario_id,self_base_loss,outsourced_loss
T00001,S001,1.96301778,1.96301778
T00001,S002,1.05922366,1.05922366
T00001,S003,1.21460673,1.21460673
T00001,S004,0.79469661,0.79469661
T00001,S005,0.36243281,0.36243281
T00001,S006,0.83961027,0.83961027
T00001,S007,0.67484109,0.67484109
T00001,S008,0.08441142,0.08441142
T00001,S009,1.46394808,1.46394808
T00001,S010,1.95307787,1.95307787
T00001,S011,0.98006138,0.98006138
T00001,S012,2.12499399,2.12499399
T00001,S013,0.53319088,0.53319088
T00001,S014,0.09125154,0.09125154
T00001,S015,2.27610921,2.27610921
T00001,S016,0.53522258,0.53522258
T00001,S017,1.38991095,1.38991095
T00001,S018,4.31845804,4.31845804
T00001,S019,0.92699032,0.92699032
T00001,S020,0.16634271,0.16634271
T00001,S021,0.26055303,0.26055303
T00001,S022,2.08676063,2.08676063
T00001,S023,0.81564509,0.81564509
T00001,S024,6.36465785,6.36465785
T00001,S025,1.12712198,1.12712198
T00001,S026,0.58272417,0.58272417
T00001,S027,4.18125662,4.18125662
T00001,S028,1.63706714,1.63706714
T00001,S029,2.55523011,2.55523011
T00001,S030,2.91460737,2.91460737
T00001,S031,1.71484978,1.71484978
T00001,S032,0.18545567,0.18545567
T00001,S033,2.87066008,2.87066008
T00001,S034,1.09902806,1.09902806
T00001,S035,0.58339185,0.58339185
T00001,S036,0.6547818,0.6547818
T00001,S037,2.52563914,2.52563914
T00001,S038,2.73340433,2.73340433
T00001,S039,0.65251227,0.65251227
T00001,S040,3.91321804,3.91321804
T00001,S041,6.11374417,6.11374417
T00001,S042,1.09205086,1.09205086
T00001,S043,1.61860979,1.61860979
T00001,S044,1.39190602,1.39190602
T00001,S045,0.29061343,0.29061343
T00001,S046,0.66715212,0.66715212
T00001,S047,7.21108885,7.21108885
T00001,S048,2.76524909,2.76524909
T00001,S049,3.30298651,3.30298651
T00001,S050,1.85806502,1.85806502
T00001,S051,0.96625,0.96625
T00001,S052,0.84994408,0.84994408
T00001,S053,1.63058454,1.63058454
T00001,S054,0.57376683,0.57376683
T00001,S055,2.15658584,2.15658584
T00001,S056,0.19201518,0.19201518
T00001,S057,1.15858132,1.15858132
T00001,S058,1.43445832,1.43445832
T00001,S059,2.1728756,2.1728756
T00001,S060,0.52737052,0.52737052
T00001,S061,0.14355413,0.14355413
T00001,S062,1.18860337,1.18860337
T00001,S063,0.80781899,0.80781899
T00001,S064,0.30453072,0.30453072
T00001,S065,1.00707375,1.00707375
T00001,S066,0.38694274,0.38694274
T00001,S067,0.03341023,0.03341023
T00001,S068,0.64956311,0.64956311
T00001,S069,1.10765527,1.10765527
T00001,S070,1.69144069,1.69144069
T00001,S071,2.38463986,2.38463986
T00001,S072,0.18170861,0.18170861
T00001,S073,0.35721721,0.35721721
T00001,S074,4.30468225,4.30468225
T00001,S075,0.570952,0.570952
T00001,S076,1.20742891,1.20742891
T00001,S077,1.34115313,1.34115313
T00001,S078,2.00508505,2.00508505
T00001,S079,0.37220551,0.37220551
T00001,S080,1.30020145,1.30020145
T00001,S081,1.9426547,1.9426547
T00001,S082,2.19492728,2.19492728
T00001,S083,0.54996546,0.54996546
T00001,S084,2.17179939,2.17179939
T00001,S085,3.15172674,3.15172674
T00001,S086,2.7446638,2.7446638
T00001,S087,1.43139273,1.43139273
T00001,S088,0.2975964,0.2975964
T00001,S089,1.25888436,1.25888436
T00001,S090,3.3130199,3.3130199
T00001,S091,4.72450627,4.72450627
T00001,S092,1.10651361,1.10651361
T00001,S093,0.19063379,0.19063379
T00001,S094,2.01306637,2.01306637
T00001,S095,1.48080041,1.48080041
T00001,S096,6.12560542,6.12560542
T00001,S097,0.5143038,0.5143038
T00001,S098,0.15741986,0.15741986
T00001,S099,0.10808881,0.10808881
T00001,S100,1.1455809,1.1455809
T00002,S001,0.87207282,0.87207282
T00002,S002,0.37474396,0.37474396
T00002,S003,2.48009416,2.48009416
T00002,S004,0.64979784,0.64979784
T00002,S005,0.3826323,0.3826323
T00002,S006,0.38877888,0.38877888
T00002,S007,0.61382765,0.61382765
T00002,S008,0.15051575,0.15051575
T00002,S009,1.83599754,1.83599754
T00002,S010,1.05475318,1.05475318
T00002,S011,0.14517873,0.14517873
T00002,S012,1.29633473,1.29633473
T00002,S013,0.56055575,0.56055575
T00002,S014,3.76470787,3.76470787
T00002,S015,1.43197202,1.43197202
T00002,S016,0.73994073,0.73994073
T00002,S017,2.14082718,2.14082718
T00002,S018,2.85634683,2.85634683
T00002,S019,0.76576585,0.76576585
T00002,S020,0.40081681,0.40081681
T00002,S021,0.21881063,0.21881063
T00002,S022,0.9767444,0.9767444
T00002,S023,0.84452824,0.84452824
T00002,S024,2.38295877,2.38295877
T00002,S025,1.50353843,1.50353843
T00002,S026,1.68044342,1.68044342
T00002,S027,2.36298951,2.36298951
T00002,S028,2.47602297,2.47602297
T00002,S029,0.94914435,0.94914435
T00002,S030,5.69534038,5.69534038
T00002,S031,1.33029717,1.33029717
T00002,S032,0.80387523,0.80387523
T00002,S033,0.83529232,0.83529232
T00002,S034,1.38492441,1.38492441
T00002,S035,0.001,0.001
T00002,S036,0.40984365,0.40984365
T00002,S037,1.54701109,1.54701109
T00002,S038,1.78610834,1.78610834
T00002,S039,0.34606224,0.34606224
T00002,S040,4.22247375,4.22247375
T00002,S041,2.36378626,2.36378626
T00002,S042,0.86925556,0.86925556
T00002,S043,1.27513884,1.27513884
T00002,S044,1.94271134,1.94271134
T00002,S045,1.00021271,1.00021271
T00002,S046,0.24035304,0.24035304
T00002,S047,1.87055886,1.87055886
T00002,S048,8.19694377,8.19694377
T00002,S049,0.15482357,0.15482357
T00002,S050,2.65319607,2.65319607
T00002,S051,0.483935,0.483935
T00002,S052,0.76157225,0.76157225
T00002,S053,0.92529187,0.92529187
T00002,S054,0.79104156,0.79104156
T00002,S055,1.69277396,1.69277396
T00002,S056,1.21188524,1.21188524
T00002,S057,0.35294409,0.35294409
T00002,S058,1.66525014,1.66525014
T00002,S059,4.9434589,4.9434589
T00002,S060,0.52798703,0.52798703
T00002,S061,0.52508804,0.52508804
T00002,S062,1.46315834,1.46315834
T00002,S063,0.80808447,0.80808447
T00002,S064,0.10627069,0.10627069
T00002,S065,3.44622967,3.44622967
T00002,S066,0.001,0.001
T00002,S067,0.20413679,0.20413679
T00002,S068,0.80579202,0.80579202
T00002,S069,0.49188851,0.49188851
T00002,S070,2.13681311,2.13681311
T00002,S071,0.78669019,0.78669019
T00002,S072,0.45767931,0.45767931
T00002,S073,0.43350898,0.43350898
T00002,S074,6.43120484,6.43120484
T00002,S075,0.86398223,0.86398223
T00002,S076,2.01435247,2.01435247
T00002,S077,0.26863407,0.26863407
T00002,S078,2.74618379,2.74618379
T00002,S079,0.65879837,0.65879837
T00002,S080,1.77817721,1.77817721
T00002,S081,0.56231644,0.56231644
T00002,S082,2.5314155,2.5314155
T00002,S083,0.45360315,0.45360315
T00002,S084,1.42231916,1.42231916
T00002,S085,6.95592437,6.95592437
T00002,S086,2.87593165,2.87593165
T00002,S087,1.86687254,1.86687254
T00002,S088,0.28717901,0.28717901
T00002,S089,1.34933374,1.34933374
T00002,S090,1.83478674,1.83478674
T00002,S091,4.2004242,4.2004242
T00002,S092,1.42213257,1.42213257
T00002,S093,0.5310039,0.5310039
T00002,S094,1.57651794,1.57651794
T00002,S095,0.001,0.001
T00002,S096,1.74764648,1.74764648
T00002,S097,0.60813505,0.60813505
T00002,S098,0.6139696,0.6139696
T00002,S099,0.59069063,0.59069063
T00002,S100,0.001,0.001
T00003,S001,1.00274727,1.00274727
T00003,S002,1.23390027,1.23390027
T00003,S003,0.15859213,0.15859213
