scenario_id,probability,empty_risk_per_km
S001,0.01,0.00125
S002,0.01,0.0097599281
S003,0.01,0.0044157314
S004,0.01,0.007092459
S005,0.01,0.0040336602
S006,0.01,0.0097599281
S007,0.01,0.0052905619
S008,0.01,0.00125
S009,0.01,0.0091905883
S010,0.01,0.018484252
S011,0.01,0.00125
S012,0.01,0.0079872906
S013,0.01,0.0046577054
S014,0.01,0.00125
S015,0.01,0.00125
S016,0.01,0.0041106678
S017,0.01,0.00125
S018,0.01,0.00125
S019,0.01,0.0037665041
S020,0.01,0.0040598433
S021,0.01,0.0048981364
S022,0.01,0.00125
S023,0.01,0.0056622163
S024,0.01,0.0042793304
S025,0.01,0.0028936576
S026,0.01,0.0034515622
S027,0.01,0.00125
S028,0.01,0.007315445
S029,0.01,0.00125
S030,0.01,0.0028936576
S031,0.01,0.003782932
S032,0.01,0.00125
S033,0.01,0.00125
S034,0.01,0.0037916771
S035,0.01,0.0051074867
S036,0.01,0.00125
S037,0.01,0.00125
S038,0.01,0.0088623822
S039,0.01,0.00125
S040,0.01,0.0033078991
S041,0.01,0.0032756467
S042,0.01,0.0019062964
S043,0.01,0.0039591921
S044,0.01,0.0056541447
S045,0.01,0.0019062964
S046,0.01,0.006076125
S047,0.01,0.0051074867
S048,0.01,0.018484252
S049,0.01,0.0084888989
S050,0.01,0.00125
S051,0.01,0.0053804063
S052,0.01,0.0028285692
S053,0.01,0.00125
S054,0.01,0.00125
S055,0.01,0.0043622462
S056,0.01,0.0040589005
S057,0.01,0.00283938
S058,0.01,0.0060143286
S059,0.01,0.0042898585
S060,0.01,0.00125
S061,0.01,0.0026066817
S062,0.01,0.00125
S063,0.01,0.0038232984
S064,0.01,0.018484252
S065,0.01,0.0033199546
S066,0.01,0.0024348925
S067,0.01,0.0035920508
S068,0.01,0.0109788362
S069,0.01,0.0042992496
S070,0.01,0.00125
S071,0.01,0.0033433423
S072,0.01,0.00125
S073,0.01,0.0037182185
S074,0.01,0.0029539018
S075,0.01,0.00125
S076,0.01,0.0033322576
S077,0.01,0.0064394281
S078,0.01,0.00125
S079,0.01,0.0021852114
S080,0.01,0.00125
S081,0.01,0.00125
S082,0.01,0.007092459
S083,0.01,0.0069844469
S084,0.01,0.00125
S085,0.01,0.0054085936
S086,0.01,0.0042793304
S087,0.01,0.00125
S088,0.01,0.00125
S089,0.01,0.00125
S090,0.01,0.0096759339
S091,0.01,0.0028285692
S092,0.01,0.0032871367
S093,0.01,0.005955006
S094,0.01,0.007999282
S095,0.01,0.00125
S096,0.01,0.0042992496
S097,0.01,0.0026290835
S098,0.01,0.0042481605
S099,0.01,0.0042793304
S100,0.01,0.0022758004
