task_id,scenario_id,self_base_loss,outsourced_loss
TSK000042,S001,35.83936743,35.83936743
TSK000042,S002,7.97308217,7.97308217
TSK000042,S003,7.97308217,7.97308217
TSK000042,S004,31.5612637,31.5612637
TSK000042,S005,16.00225873,16.00225873
TSK000042,S006,24.40011518,24.40011518
TSK000042,S007,49.71549141,49.71549141
TSK000042,S008,14.05427343,14.05427343
TSK000042,S009,16.97698077,16.97698077
TSK000042,S010,19.04011987,19.04011987
TSK000042,S011,7.97308217,7.97308217
TSK000042,S012,57.94894319,57.94894319
TSK000042,S013,14.979673,14.979673
TSK000042,S014,27.72247352,27.72247352
TSK000042,S015,11.81080094,11.81080094
TSK000042,S016,69.70342124,69.70342124
TSK000042,S017,28.87468917,28.87468917
TSK000042,S018,19.67665886,19.67665886
TSK000042,S019,28.30534762,28.30534762
TSK000042,S020,30.71599572,30.71599572
TSK000042,S021,16.06141899,16.06141899
TSK000042,S022,14.53741054,14.53741054
TSK000042,S023,33.65056856,33.65056856
TSK000042,S024,26.21961515,26.21961515
TSK000042,S025,24.15416778,24.15416778
TSK000042,S026,23.60711091,23.60711091
TSK000042,S027,56.22447821,56.22447821
TSK000042,S028,44.30179784,44.30179784
TSK000042,S029,38.53216531,38.53216531
TSK000042,S030,28.71425848,28.71425848
TSK000042,S031,31.97598668,31.97598668
TSK000042,S032,28.66792099,28.66792099
TSK000042,S033,30.05744782,30.05744782
TSK000042,S034,43.54624544,43.54624544
TSK000042,S035,25.91357155,25.91357155
TSK000042,S036,40.96752044,40.96752044
TSK000042,S037,48.08256176,48.08256176
TSK000042,S038,26.21961515,26.21961515
TSK000042,S039,33.78881117,33.78881117
TSK000042,S040,49.42075685,49.42075685
TSK000042,S041,19.16208207,19.16208207
TSK000042,S042,27.78038913,27.78038913
TSK000042,S043,7.97308217,7.97308217
TSK000042,S044,62.07464641,62.07464641
TSK000042,S045,7.97308217,7.97308217
TSK000042,S046,7.97308217,7.97308217
TSK000042,S047,35.87946564,35.87946564
TSK000042,S048,11.01457224,11.01457224
TSK000042,S049,77.86581709,77.86581709
TSK000042,S050,7.97308217,7.97308217
