task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class,loaded_distance_km,duration_source
TSK000042,42.0177,78.8224,NOD000632,NOD000470,7680.2037,10520.81514,26.91,外协,PRD0078,普货,897.0,historical_distance_bin_median
TSK000213,42.81725385,55.59985385,NOD000786,NOD000419,2857.5034,4687.58187,10.77,外协,PRD0186,普货,359.0,direct_historical_od_median
TSK000260,43.61680769,57.94990769,NOD000779,NOD000419,2760.368,4721.49648,10.77,自有,PRD0159,普货,359.0,direct_historical_od_median
TSK000291,44.41636154,72.47456154,NOD000781,NOD000430,8549.3115,10788.86628,27.96,外协,PRD0262,普货,932.0,direct_historical_od_median
TSK000419,45.21591538,85.87461538,NOD000678,NOD000161,12598.9053,17095.7916,44.22,自有,PRD0167,普货,1474.0,historical_distance_bin_median
TSK000443,46.01546923,72.93186923,NOD000780,NOD000316,7528.4628,10247.34357,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK000471,46.81502308,50.15332308,NOD000781,NOD000134,1320.0513,2813.76891,4.86,外协,PRD0262,普货,162.0,direct_historical_od_median
TSK000630,47.61457692,88.27327692,NOD000786,NOD000198,12313.6726,16085.44431,41.85,外协,PRD0193,普货,1395.0,historical_distance_bin_median
TSK000672,48.41413077,62.11593077,NOD000678,NOD000177,2482.6453,3792.50118,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK000719,49.21368462,62.88243462,NOD000597,NOD000006,2725.3329,3264.71985,6.93,外协,PRD0212,普货,231.0,historical_distance_bin_median
TSK000742,50.01323846,72.05813846,NOD000678,NOD000183,6334.8382,9003.93255,22.53,自有,PRD0167,普货,751.0,historical_distance_bin_median
TSK000773,50.81279231,109.99379231,NOD000780,NOD000058,17633.5116,23787.56511,60.57,自有,PRD0162,普货,2019.0,direct_historical_od_median
TSK000807,51.61234615,57.25874615,NOD000786,NOD000604,1764.8405,2462.68044,4.44,外协,PRD0185,普货,148.0,historical_distance_bin_median
TSK000822,52.4119,74.4568,NOD000678,NOD000167,6607.8972,9390.03588,23.58,外协,PRD0167,普货,786.0,historical_distance_bin_median
TSK000889,53.21145385,73.45535385,NOD000596,NOD000015,2307.12,3297.25008,6.75,外协,PRD0146,普货,225.0,direct_historical_od_median
TSK000923,54.01100769,66.30470769,NOD000678,NOD000178,2157.7069,3366.76275,6.75,外协,PRD0167,普货,225.0,direct_historical_od_median
TSK001226,54.81056154,113.99156154,NOD000780,NOD000058,17712.4448,23754.78,60.57,自有,PRD0162,普货,2019.0,direct_historical_od_median
TSK001401,55.61011538,76.14771538,NOD000678,NOD000284,4958.1996,6668.27406,16.2,自有,PRD0167,普货,540.0,direct_historical_od_median
TSK001421,56.40966923,78.45456923,NOD000777,NOD000354,7320.2275,8662.34187,27.0945,自有,PRD0173,危货,669.0,historical_distance_bin_median
TSK001433,57.20922308,79.78362308,NOD000678,NOD000542,2561.5785,3759.71607,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK001442,58.00877692,77.28457692,NOD000779,NOD000527,6133.1447,8421.8724,21.12,自有,PRD0159,普货,704.0,direct_historical_od_median
TSK001485,58.80833077,80.85323077,NOD000678,NOD000776,6503.4759,9090.84546,22.86,外协,PRD0167,普货,762.0,historical_distance_bin_median
TSK001596,59.60788462,100.10438462,NOD000780,NOD000583,10678.7318,13293.04383,44.55,自有,PRD0027,危货,1100.0,direct_historical_od_median
TSK001612,60.40743846,79.55063846,NOD000781,NOD000791,5488.5798,6776.72955,16.83,外协,PRD0262,普货,561.0,direct_historical_od_median
TSK001823,61.20699231,74.90879231,NOD000678,NOD000177,2561.5785,3759.71607,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK001833,62.00654615,82.50234615,NOD000779,NOD000140,151.2991,750.76083,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK001869,62.8061,99.6108,NOD000597,NOD000320,8382.5761,10792.54674,27.96,外协,PRD0212,普货,932.0,historical_distance_bin_median
TSK001938,63.60565385,104.26435385,NOD000777,NOD000455,12849.6499,15689.92095,52.8525,自有,PRD0173,危货,1305.0,historical_distance_bin_median
TSK001947,64.40520769,101.64880769,NOD000594,NOD000442,9914.2745,13138.50312,34.08,外协,PRD0247,普货,1136.0,direct_historical_od_median
TSK001971,65.20476154,79.26416154,NOD000678,NOD000018,2561.5785,3759.71607,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK002231,66.00431538,86.50011538,NOD000779,NOD000140,151.2991,750.76083,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK002434,66.80386923,94.86206923,NOD000781,NOD000430,8680.8311,10701.243,27.96,自有,PRD0262,普货,932.0,direct_historical_od_median
TSK002440,67.60342308,95.47842308,NOD000599,NOD000533,6704.6965,8801.17344,22.44,外协,PRD0226,普货,748.0,direct_historical_od_median
TSK002442,68.40297692,108.89947692,NOD000780,NOD000583,10731.3182,13238.20575,44.55,自有,PRD0027,危货,1100.0,direct_historical_od_median
TSK002514,69.20253077,77.86973077,NOD000780,NOD000419,2992.4772,4646.26998,10.77,自有,PRD0164,普货,359.0,direct_historical_od_median
TSK002591,70.00208462,86.50748462,NOD000779,NOD000136,910.5603,1400.44365,1.83,自有,PRD0159,普货,61.0,direct_historical_od_median
TSK002619,70.80163846,91.29743846,NOD000779,NOD000140,203.8854,695.92266,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK002636,71.60119231,76.77199231,NOD000678,NOD000182,1866.3525,2854.53477,5.31,外协,PRD0167,普货,177.0,direct_historical_od_median
TSK002641,72.40074615,93.32154615,NOD000632,NOD000627,2485.1351,3665.99376,7.95,外协,PRD0067,普货,265.0,direct_historical_od_median
TSK002813,73.2003,85.9711,NOD000678,NOD000019,2532.1497,3407.87736,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK002834,73.99985385,93.99975385,NOD000678,NOD000168,6310.9608,8467.20513,21.27,自有,PRD0149,普货,709.0,direct_historical_od_median
TSK002940,74.79940769,110.29130769,NOD000645,NOD000154,8903.4508,11260.64889,29.4,自有,PRD0212,普货,980.0,direct_historical_od_median
TSK003046,75.59896154,92.10436154,NOD000779,NOD000136,910.5603,1400.44365,1.83,自有,PRD0159,普货,61.0,direct_historical_od_median
TSK003096,76.39851538,93.50351538,NOD000678,NOD000400,4476.219,5967.77742,14.31,自有,PRD0149,普货,477.0,direct_historical_od_median
TSK003208,77.19806923,142.72511923,NOD000599,NOD000487,21836.3028,26071.4223,67.59,外协,PRD0226,普货,2253.0,historical_distance_bin_median
TSK003323,77.99762308,114.80232308,NOD000599,NOD000094,8023.901,10539.58041,27.21,外协,PRD0226,普货,907.0,historical_distance_bin_median
TSK003387,78.79717692,114.71847692,NOD000599,NOD000048,8673.7239,11377.21554,29.49,外协,PRD0226,普货,983.0,direct_historical_od_median
TSK003416,79.59673077,100.09253077,NOD000779,NOD000140,203.8854,695.92266,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK003437,80.39628462,121.05498462,NOD000777,NOD000189,10157.0411,12245.70474,40.581,自有,PRD0173,危货,1002.0,historical_distance_bin_median
TSK003481,81.19583846,127.38503846,NOD000777,NOD000193,11808.2325,14232.93489,48.033,自有,PRD0173,危货,1186.0,direct_historical_od_median
TSK003573,81.99539231,122.65409231,NOD000645,NOD000190,11855.6274,14829.43482,39.15,外协,PRD0212,普货,1305.0,historical_distance_bin_median
TSK003685,82.79494615,142.34704615,NOD000786,NOD000058,18048.3899,23496.79896,60.57,外协,PRD0193,普货,2019.0,direct_historical_od_median
TSK003947,83.5945,142.7755,NOD000780,NOD000058,17777.1801,23637.74472,60.57,自有,PRD0162,普货,2019.0,direct_historical_od_median
TSK004078,84.39405385,95.87325385,NOD000632,NOD000178,2512.3998,3139.07841,6.75,外协,PRD0103,普货,225.0,direct_historical_od_median
TSK004095,85.19360769,105.68940769,NOD000779,NOD000140,216.0344,633.72546,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK004463,85.99316154,126.65186154,NOD000678,NOD000363,9500.9927,11928.34332,30.6,自有,PRD0168,普货,1020.0,historical_distance_bin_median
TSK004490,86.79271538,114.66771538,NOD000599,NOD000533,6716.8455,8738.97624,22.44,外协,PRD0226,普货,748.0,direct_historical_od_median
TSK004507,87.59226923,115.10626923,NOD000779,NOD000219,9047.9095,11985.22836,30.6,自有,PRD0156,普货,1020.0,direct_historical_od_median
TSK004534,88.39182308,100.47472308,NOD000678,NOD000421,2332.5945,3495.76875,8.43,外协,PRD0149,普货,281.0,direct_historical_od_median
TSK004592,89.19137692,102.86012692,NOD000632,NOD000028,2507.4642,3140.93304,6.75,外协,PRD0072,普货,225.0,historical_distance_bin_median
TSK004635,89.99093077,111.34973077,NOD000678,NOD000082,5658.9186,7506.92997,18.78,自有,PRD0149,普货,626.0,direct_historical_od_median
TSK004650,90.79048462,107.85758462,NOD000632,NOD000017,2180.7973,3332.93661,7.95,外协,PRD0053,普货,265.0,direct_historical_od_median
TSK004753,91.59003846,132.24873846,NOD000786,NOD000442,9979.0098,13021.46775,34.08,外协,PRD0235,普货,1136.0,historical_distance_bin_median
TSK004762,92.38959231,115.29719231,NOD000678,NOD000062,6220.7949,8263.41579,21.18,自有,PRD0168,普货,706.0,direct_historical_od_median
TSK004838,93.18914615,129.21834615,NOD000599,NOD000548,11823.26,15186.14712,39.87,外协,PRD0226,普货,1329.0,direct_historical_od_median
TSK004851,93.9887,114.2326,NOD000596,NOD000015,2419.2449,3094.53903,6.75,外协,PRD0146,普货,225.0,direct_historical_od_median
TSK004872,94.78825385,107.55905385,NOD000678,NOD000019,2512.755,3292.7895,7.95,自有,PRD0167,普货,265.0,direct_historical_od_median
TSK004920,95.58780769,132.39250769,NOD000594,NOD000614,8296.0816,11435.706,29.82,自有,PRD0249,普货,994.0,historical_distance_bin_median
TSK004952,96.38736154,133.19206154,NOD000678,NOD000218,7491.7661,9865.82106,25.44,自有,PRD0167,普货,848.0,historical_distance_bin_median
TSK005052,97.18691538,138.50661538,NOD000780,NOD000189,8713.3617,11529.88839,30.06,自有,PRD0164,普货,1002.0,direct_historical_od_median
TSK005127,97.98646923,114.49186923,NOD000779,NOD000136,891.1656,1285.35579,1.83,自有,PRD0159,普货,61.0,direct_historical_od_median
TSK005147,98.78602308,119.28182308,NOD000779,NOD000140,495.1545,655.69401,0.33,自有,PRD0159,普货,11.0,direct_historical_od_median
TSK005228,99.58557692,119.05477692,NOD000678,NOD000420,3320.1366,4217.84352,9.9,外协,PRD0166,普货,330.0,direct_historical_od_median
TSK005240,100.38513077,120.88093077,NOD000779,NOD000140,495.1545,655.69401,0.33,自有,PRD0159,普货,11.0,direct_historical_od_median
TSK005247,101.18468462,121.68048462,NOD000779,NOD000140,495.1545,655.69401,0.33,自有,PRD0159,普货,11.0,direct_historical_od_median
TSK005294,101.98423846,115.65298846,NOD000632,NOD000028,2475.9206,3088.04238,6.75,外协,PRD0072,普货,225.0,historical_distance_bin_median
TSK005370,102.78379231,139.58849231,NOD000704,NOD000100,7260.483,10258.78347,26.58,外协,PRD0202,普货,886.0,historical_distance_bin_median
TSK005437,103.58334615,124.07914615,NOD000779,NOD000140,495.1545,655.69401,0.33,自有,PRD0159,普货,11.0,direct_historical_od_median
TSK005438,104.3829,124.8787,NOD000779,NOD000140,495.1545,655.69401,0.33,自有,PRD0159,普货,11.0,direct_historical_od_median
TSK005446,105.18245385,135.22255385,NOD000777,NOD000195,10100.319,12279.70098,41.067,自有,PRD0173,危货,1014.0,direct_historical_od_median
TSK005494,105.98200769,132.89840769,NOD000780,NOD000316,7640.5877,10044.63252,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK005531,106.78156154,118.26076154,NOD000632,NOD000178,2480.8561,3086.18775,6.75,外协,PRD0106,普货,225.0,direct_historical_od_median
TSK005596,107.58111538,133.87711538,NOD000781,NOD000782,8305.4471,10307.19699,27.06,外协,PRD0262,普货,902.0,direct_historical_od_median
TSK005750,108.38066923,149.03936923,NOD000678,NOD000671,9018.0115,11812.2327,30.93,自有,PRD0166,普货,1031.0,historical_distance_bin_median
TSK005794,109.18022308,130.74692308,NOD000678,NOD000549,5538.964,7184.44746,18.06,自有,PRD0169,普货,602.0,direct_historical_od_median
TSK005851,109.97977692,133.16507692,NOD000678,NOD000123,6350.8781,8351.29044,21.45,自有,PRD0166,普货,715.0,direct_historical_od_median
TSK005980,110.77933077,126.42723077,NOD000632,NOD000018,2455.6319,3514.99716,7.95,外协,PRD0101,普货,265.0,direct_historical_od_median
TSK005993,111.57888462,132.59968462,NOD000678,NOD000175,6381.422,8528.54868,22.14,自有,PRD0168,普货,738.0,direct_historical_od_median
TSK006050,112.37843846,138.67443846,NOD000781,NOD000782,8238.6629,10277.7849,27.06,自有,PRD0262,普货,902.0,direct_historical_od_median
TSK006097,113.17799231,126.84674231,NOD000706,NOD000419,2898.4569,4457.10726,10.77,外协,PRD0202,普货,359.0,historical_distance_bin_median
TSK006127,113.97754615,151.22114615,NOD000594,NOD000442,9880.6819,12939.16509,34.08,自有,PRD0247,普货,1136.0,direct_historical_od_median
TSK006289,114.7771,141.2482,NOD000598,NOD000426,6440.3523,8665.28811,22.41,外协,PRD0231,普货,747.0,direct_historical_od_median
TSK006342,115.57665385,134.75225385,NOD000777,NOD000031,6120.8417,8778.47931,27.0945,自有,PRD0173,危货,669.0,direct_historical_od_median
TSK006428,116.37620769,133.44330769,NOD000632,NOD000017,2535.8747,3198.66093,7.95,外协,PRD0095,普货,265.0,direct_historical_od_median
TSK006509,117.17576154,160.53496154,NOD000785,NOD000563,12673.3651,14698.81521,50.5035,自有,PRD0024,危货,1247.0,direct_historical_od_median
TSK006516,117.97531538,144.89171538,NOD000780,NOD000316,7573.8035,10015.22043,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK006683,118.77486923,155.57956923,NOD000678,NOD000218,7424.9818,9836.40897,25.44,自有,PRD0167,普货,848.0,historical_distance_bin_median
TSK006708,119.57442308,142.39522308,NOD000678,NOD000417,5023.657,6692.18085,16.74,自有,PRD0149,普货,558.0,direct_historical_od_median
TSK006788,120.37397692,133.10107692,NOD000678,NOD000017,2438.2017,3263.53167,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK006799,121.17353077,130.16023077,NOD000678,NOD000578,4600.7242,6112.50777,15.12,外协,PRD0149,普货,504.0,direct_historical_od_median
