task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class,loaded_distance_km,duration_source
TSK000023,66.8857,102.807,NOD000599,NOD000048,8458.0744,11466.78615,29.49,外协,PRD0226,普货,983.0,direct_historical_od_median
TSK000100,69.11437059,90.88937059,NOD000603,NOD000072,5192.3063,7043.96925,17.31,外协,PRD0178,普货,577.0,direct_historical_od_median
TSK000116,71.34304118,91.87714118,NOD000596,NOD000142,4509.6605,6330.64176,15.12,自有,PRD0147,普货,504.0,historical_distance_bin_median
TSK000213,73.57171176,86.35431176,NOD000786,NOD000419,2857.5034,4687.58187,10.77,外协,PRD0186,普货,359.0,direct_historical_od_median
TSK000374,75.80038235,116.45908235,NOD000790,NOD000583,9892.0169,13164.79158,34.08,自有,PRD0203,普货,1136.0,historical_distance_bin_median
TSK000382,78.02905294,91.69780294,NOD000593,NOD000546,3532.1955,4936.83561,11.37,自有,PRD0171,普货,379.0,historical_distance_bin_median
TSK000413,80.25772353,100.07442353,NOD000794,NOD000234,6324.7198,8661.14613,21.78,外协,PRD0005,普货,726.0,direct_historical_od_median
TSK000563,82.48639412,109.40279412,NOD000780,NOD000316,7528.4628,10247.34357,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK000683,84.71506471,91.19146471,NOD000632,NOD000182,1831.9576,2877.49341,5.31,外协,PRD0091,普货,177.0,direct_historical_od_median
TSK000697,86.94373529,120.39773529,NOD000786,NOD000551,9289.4107,12405.32613,32.04,自有,PRD0185,普货,1068.0,direct_historical_od_median
TSK000820,89.17240588,102.87420588,NOD000678,NOD000177,2482.6453,3792.50118,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK000852,91.40107647,132.05977647,NOD000593,NOD000289,13051.1114,16222.16754,54.7965,自有,PRD0138,危货,1353.0,historical_distance_bin_median
TSK000891,93.62974706,96.81464706,NOD000607,NOD000134,1320.0513,2813.76891,4.86,外协,PRD0262,普货,162.0,direct_historical_od_median
TSK000923,95.85841765,108.15211765,NOD000678,NOD000178,2157.7069,3366.76275,6.75,外协,PRD0167,普货,225.0,direct_historical_od_median
TSK001007,98.08708824,125.00348824,NOD000780,NOD000316,7607.3961,10214.55846,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK001028,100.31575882,121.23655882,NOD000632,NOD000627,2432.5488,3720.83184,7.95,外协,PRD0067,普货,265.0,direct_historical_od_median
TSK001061,102.54442941,129.46082941,NOD000780,NOD000316,7607.3961,10214.55846,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK001149,104.7731,118.44185,NOD000597,NOD000419,3187.6792,4573.02744,10.77,外协,PRD0212,普货,359.0,historical_distance_bin_median
TSK001178,107.00177059,123.50717059,NOD000779,NOD000136,857.974,1455.28173,1.83,自有,PRD0159,普货,61.0,direct_historical_od_median
TSK001209,109.23044118,131.27534118,NOD000794,NOD000040,5893.2602,8001.18432,20.04,外协,PRD0004,普货,668.0,historical_distance_bin_median
TSK001310,111.45911176,133.12551176,NOD000678,NOD000232,6073.2233,8272.7136,20.58,自有,PRD0149,普货,686.0,direct_historical_od_median
TSK001456,113.68778235,154.34648235,NOD000790,NOD000583,9574.2205,13177.48275,34.08,外协,PRD0202,普货,1136.0,historical_distance_bin_median
TSK001558,115.91645294,137.96135294,NOD000596,NOD000303,6740.9553,9214.67475,23.22,自有,PRD0147,普货,774.0,historical_distance_bin_median
TSK001666,118.14512353,157.11652353,NOD000786,NOD000194,9439.1581,12461.50512,32.28,自有,PRD0185,普货,1076.0,direct_historical_od_median
TSK001709,120.37379412,161.03249412,NOD000777,NOD000189,10104.4547,12300.54282,40.581,自有,PRD0173,危货,1002.0,historical_distance_bin_median
TSK001813,122.60246471,141.74566471,NOD000781,NOD000791,5487.483,6777.14166,16.83,外协,PRD0262,普货,561.0,direct_historical_od_median
TSK001837,124.83113529,151.30223529,NOD000598,NOD000426,6473.9449,8864.62614,22.41,外协,PRD0231,普货,747.0,direct_historical_od_median
TSK001857,127.05980588,186.24080588,NOD000780,NOD000058,17712.4448,23754.78,60.57,外协,PRD0162,普货,2019.0,direct_historical_od_median
TSK001900,129.28847647,173.63287647,NOD000593,NOD000290,13155.3443,15776.35956,53.46,自有,PRD0138,危货,1320.0,direct_historical_od_median
TSK002007,131.51714706,153.56204706,NOD000781,NOD000321,7264.9591,9152.95167,23.43,外协,PRD0262,普货,781.0,historical_distance_bin_median
TSK002367,133.74581765,154.04411765,NOD000779,NOD000378,858.7778,1683.4266,2.01,自有,PRD0156,普货,67.0,direct_historical_od_median
TSK002369,135.97448824,156.47028824,NOD000779,NOD000140,203.8854,695.92266,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK002415,138.20315882,203.73020882,NOD000611,NOD000084,20738.3191,24972.49485,64.86,外协,PRD0179,普货,2162.0,historical_distance_bin_median
TSK002455,140.43182941,160.92762941,NOD000779,NOD000140,203.8854,695.92266,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK002593,142.6605,156.32925,NOD000593,NOD000546,3663.715,4849.21242,11.37,外协,PRD0171,普货,379.0,historical_distance_bin_median
TSK002766,144.88917059,166.93407059,NOD000790,NOD000514,6530.9184,8808.13944,22.41,外协,PRD0202,普货,747.0,historical_distance_bin_median
TSK002811,147.11784118,183.92254118,NOD000645,NOD000333,8886.1939,11238.55353,29.34,外协,PRD0212,普货,978.0,historical_distance_bin_median
TSK002917,149.34651176,191.92831176,NOD000781,NOD000003,9955.9979,12599.92953,32.94,自有,PRD0262,普货,1098.0,direct_historical_od_median
TSK003106,151.57518235,210.75618235,NOD000780,NOD000058,17765.0311,23699.94192,60.57,外协,PRD0162,普货,2019.0,direct_historical_od_median
TSK003147,153.80385294,170.88195294,NOD000678,NOD000406,3556.1004,4558.50252,10.38,自有,PRD0169,普货,346.0,direct_historical_od_median
TSK003152,156.03252353,196.69122353,NOD000777,NOD000189,10157.0411,12245.70474,40.581,自有,PRD0173,危货,1002.0,historical_distance_bin_median
TSK003244,158.26119412,172.78199412,NOD000632,NOD000016,2711.8378,3640.00725,7.95,外协,PRD0069,普货,265.0,direct_historical_od_median
TSK003251,160.48986471,206.68046471,NOD000781,NOD000561,9073.6423,11393.68968,29.7,自有,PRD0262,普货,990.0,direct_historical_od_median
TSK003263,162.71853529,199.52323529,NOD000794,NOD000116,8070.3583,11157.69609,28.77,外协,PRD0016,普货,959.0,historical_distance_bin_median
TSK003347,164.94720588,224.12820588,NOD000780,NOD000058,17765.0311,23699.94192,60.57,外协,PRD0162,普货,2019.0,direct_historical_od_median
TSK003390,167.17587647,187.67167647,NOD000779,NOD000140,203.8854,695.92266,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK003403,169.40454706,189.40444706,NOD000678,NOD000168,6310.9608,8467.20513,21.27,自有,PRD0149,普货,709.0,direct_historical_od_median
TSK003411,171.63321765,208.43791765,NOD000794,NOD000211,7189.358,9527.02002,24.42,外协,PRD0004,普货,814.0,historical_distance_bin_median
TSK003414,173.86188824,194.35768824,NOD000779,NOD000140,203.8854,695.92266,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK003448,176.09055882,216.74925882,NOD000788,NOD000204,11347.9694,14694.237,38.4,外协,PRD0214,普货,1280.0,historical_distance_bin_median
TSK003528,178.31922941,198.85332941,NOD000645,NOD000382,5019.2022,6026.69214,15.12,外协,PRD0212,普货,504.0,historical_distance_bin_median
TSK003576,180.5479,225.4079,NOD000777,NOD000206,15658.5558,18760.30722,64.152,自有,PRD0173,危货,1584.0,direct_historical_od_median
TSK003659,182.77657059,224.74837059,NOD000777,NOD000204,12678.893,15290.42418,51.84,自有,PRD0173,危货,1280.0,direct_historical_od_median
TSK003663,185.00524118,221.80994118,NOD000781,NOD000151,8977.3234,11186.38494,29.31,自有,PRD0262,普货,977.0,historical_distance_bin_median
TSK003686,187.23391176,224.03861176,NOD000603,NOD000554,7667.6926,10077.67503,26.1,外协,PRD0217,普货,870.0,historical_distance_bin_median
TSK003820,189.46258235,218.99228235,NOD000632,NOD000218,7734.3341,9840.84777,25.44,外协,PRD0046,普货,848.0,direct_historical_od_median
TSK003832,191.69125294,204.70375294,NOD000678,NOD000016,2626.3138,3642.68079,7.95,自有,PRD0167,普货,265.0,direct_historical_od_median
TSK004111,193.91992353,234.32962353,NOD000786,NOD000165,11618.9094,14935.47174,39.21,外协,PRD0183,普货,1307.0,direct_historical_od_median
TSK004131,196.14859412,228.03399412,NOD000678,NOD000216,6668.6813,9352.91403,23.85,自有,PRD0167,普货,795.0,direct_historical_od_median
TSK004234,198.37726471,206.68976471,NOD000603,NOD000600,373.206,1161.93978,1.14,外协,PRD0182,普货,38.0,historical_distance_bin_median
TSK004283,200.60593529,241.26463529,NOD000678,NOD000363,9500.9927,11928.34332,30.6,自有,PRD0168,普货,1020.0,historical_distance_bin_median
