vehicle_id,task_id,q_ki
VEH000097,TSK000115,0
VEH000264,TSK000115,1
VEH000504,TSK000115,0
VEH000219,TSK000115,0
VEH000446,TSK000115,0
VEH000099,TSK000115,0
VEH000298,TSK000115,0
VEH000227,TSK000115,1
VEH000433,TSK000115,1
VEH000384,TSK000115,1
VEH000387,TSK000115,0
VEH000240,TSK000115,0
VEH000272,TSK000115,1
VEH000102,TSK000115,1
VEH000430,TSK000115,0
VEH000066,TSK000115,0
VEH000063,TSK000115,0
VEH000366,TSK000115,0
VEH000360,TSK000115,0
VEH000331,TSK000115,1
VEH000277,TSK000115,0
VEH000334,TSK000115,1
VEH000458,TSK000115,1
VEH000010,TSK000115,0
VEH000318,TSK000115,1
VEH000377,TSK000115,1
VEH000036,TSK000115,1
VEH000053,TSK000115,1
VEH000397,TSK000115,1
VEH000401,TSK000115,0
VEH000095,TSK000115,0
VEH000078,TSK000115,1
VEH000508,TSK000115,0
VEH000224,TSK000115,1
VEH000222,TSK000115,0
VEH000506,TSK000115,1
VEH000300,TSK000115,0
VEH000374,TSK000115,1
VEH000337,TSK000115,1
VEH000012,TSK000115,0
VEH000532,TSK000115,0
VEH000403,TSK000115,1
VEH000059,TSK000115,0
VEH000379,TSK000115,0
VEH000081,TSK000115,1
VEH000459,TSK000115,1
VEH000306,TSK000115,1
VEH000530,TSK000115,0
VEH000283,TSK000115,1
VEH000241,TSK000115,1
VEH000097,TSK000117,0
VEH000264,TSK000117,0
VEH000504,TSK000117,0
VEH000219,TSK000117,0
VEH000446,TSK000117,1
VEH000099,TSK000117,1
VEH000298,TSK000117,0
VEH000227,TSK000117,1
VEH000433,TSK000117,1
VEH000384,TSK000117,0
VEH000387,TSK000117,0
VEH000240,TSK000117,0
VEH000272,TSK000117,0
VEH000102,TSK000117,1
VEH000430,TSK000117,0
VEH000066,TSK000117,1
VEH000063,TSK000117,0
VEH000366,TSK000117,0
VEH000360,TSK000117,0
VEH000331,TSK000117,0
VEH000277,TSK000117,0
VEH000334,TSK000117,1
VEH000458,TSK000117,1
VEH000010,TSK000117,1
VEH000318,TSK000117,1
VEH000377,TSK000117,0
VEH000036,TSK000117,1
VEH000053,TSK000117,1
VEH000397,TSK000117,1
VEH000401,TSK000117,1
VEH000095,TSK000117,0
VEH000078,TSK000117,0
VEH000508,TSK000117,0
VEH000224,TSK000117,1
VEH000222,TSK000117,1
VEH000506,TSK000117,0
VEH000300,TSK000117,0
VEH000374,TSK000117,1
VEH000337,TSK000117,0
VEH000012,TSK000117,1
VEH000532,TSK000117,0
VEH000403,TSK000117,0
VEH000059,TSK000117,1
VEH000379,TSK000117,1
VEH000081,TSK000117,1
VEH000459,TSK000117,1
VEH000306,TSK000117,0
VEH000530,TSK000117,1
VEH000283,TSK000117,1
VEH000241,TSK000117,1
VEH000097,TSK000248,0
VEH000264,TSK000248,1
VEH000504,TSK000248,0
VEH000219,TSK000248,1
VEH000446,TSK000248,1
VEH000099,TSK000248,0
VEH000298,TSK000248,0
VEH000227,TSK000248,1
VEH000433,TSK000248,1
VEH000384,TSK000248,0
VEH000387,TSK000248,0
VEH000240,TSK000248,1
VEH000272,TSK000248,1
VEH000102,TSK000248,0
VEH000430,TSK000248,1
VEH000066,TSK000248,1
VEH000063,TSK000248,0
VEH000366,TSK000248,1
VEH000360,TSK000248,1
VEH000331,TSK000248,0
VEH000277,TSK000248,1
VEH000334,TSK000248,1
VEH000458,TSK000248,1
VEH000010,TSK000248,1
VEH000318,TSK000248,0
VEH000377,TSK000248,0
VEH000036,TSK000248,1
VEH000053,TSK000248,1
VEH000397,TSK000248,0
VEH000401,TSK000248,0
VEH000095,TSK000248,0
VEH000078,TSK000248,1
VEH000508,TSK000248,1
VEH000224,TSK000248,0
VEH000222,TSK000248,0
VEH000506,TSK000248,1
VEH000300,TSK000248,1
VEH000374,TSK000248,0
VEH000337,TSK000248,0
VEH000012,TSK000248,0
VEH000532,TSK000248,0
VEH000403,TSK000248,0
VEH000059,TSK000248,1
VEH000379,TSK000248,0
VEH000081,TSK000248,1
VEH000459,TSK000248,1
VEH000306,TSK000248,1
VEH000530,TSK000248,0
VEH000283,TSK000248,0
VEH000241,TSK000248,0
VEH000097,TSK000308,1
VEH000264,TSK000308,0
VEH000504,TSK000308,0
VEH000219,TSK000308,0
VEH000446,TSK000308,1
VEH000099,TSK000308,0
VEH000298,TSK000308,1
VEH000227,TSK000308,1
VEH000433,TSK000308,1
VEH000384,TSK000308,0
VEH000387,TSK000308,1
VEH000240,TSK000308,0
VEH000272,TSK000308,1
VEH000102,TSK000308,1
VEH000430,TSK000308,1
VEH000066,TSK000308,0
VEH000063,TSK000308,0
VEH000366,TSK000308,0
VEH000360,TSK000308,1
VEH000331,TSK000308,0
VEH000277,TSK000308,0
VEH000334,TSK000308,1
VEH000458,TSK000308,0
VEH000010,TSK000308,0
VEH000318,TSK000308,0
VEH000377,TSK000308,1
VEH000036,TSK000308,0
VEH000053,TSK000308,0
VEH000397,TSK000308,1
VEH000401,TSK000308,0
VEH000095,TSK000308,1
VEH000078,TSK000308,1
VEH000508,TSK000308,1
VEH000224,TSK000308,1
VEH000222,TSK000308,0
VEH000506,TSK000308,0
VEH000300,TSK000308,0
VEH000374,TSK000308,0
VEH000337,TSK000308,1
VEH000012,TSK000308,0
VEH000532,TSK000308,0
VEH000403,TSK000308,1
VEH000059,TSK000308,1
VEH000379,TSK000308,1
VEH000081,TSK000308,0
VEH000459,TSK000308,1
VEH000306,TSK000308,0
VEH000530,TSK000308,1
VEH000283,TSK000308,1
VEH000241,TSK000308,1
VEH000097,TSK000348,0
VEH000264,TSK000348,1
VEH000504,TSK000348,1
VEH000219,TSK000348,0
VEH000446,TSK000348,1
VEH000099,TSK000348,1
VEH000298,TSK000348,1
VEH000227,TSK000348,1
VEH000433,TSK000348,1
VEH000384,TSK000348,0
