scenario_id,probability,empty_risk_per_km
S001,0.01,0.0042359371
S002,0.01,0.00125
S003,0.01,0.0029470519
S004,0.01,0.0130307971
S005,0.01,0.00125
S006,0.01,0.00125
S007,0.01,0.0097599281
S008,0.01,0.0022758004
S009,0.01,0.00125
S010,0.01,0.0025500875
S011,0.01,0.0056160558
S012,0.01,0.00125
S013,0.01,0.0049101387
S014,0.01,0.0026290835
S015,0.01,0.00125
S016,0.01,0.005626118
S017,0.01,0.0089009947
S018,0.01,0.0042793304
S019,0.01,0.00125
S020,0.01,0.0042166957
S021,0.01,0.0018231154
S022,0.01,0.0053964347
S023,0.01,0.0025999135
S024,0.01,0.00125
S025,0.01,0.0043747956
S026,0.01,0.0029554912
S027,0.01,0.0019865581
S028,0.01,0.007999282
S029,0.01,0.0039548145
S030,0.01,0.0025566039
S031,0.01,0.0024789123
S032,0.01,0.0124953783
S033,0.01,0.0048697547
S034,0.01,0.007315445
S035,0.01,0.0043756448
S036,0.01,0.0051074867
S037,0.01,0.00125
S038,0.01,0.005216074
S039,0.01,0.0022963064
S040,0.01,0.0058051066
S041,0.01,0.0044675381
S042,0.01,0.00125
S043,0.01,0.0037614506
S044,0.01,0.0042261413
S045,0.01,0.0054085936
S046,0.01,0.0057578043
S047,0.01,0.00125
S048,0.01,0.0038232984
S049,0.01,0.013737937
S050,0.01,0.0038458343
S051,0.01,0.0052066579
S052,0.01,0.00125
S053,0.01,0.00283938
S054,0.01,0.0042898585
S055,0.01,0.00125
S056,0.01,0.0027636068
S057,0.01,0.007172111
S058,0.01,0.00125
S059,0.01,0.0043416926
S060,0.01,0.0034515622
S061,0.01,0.0039243074
S062,0.01,0.0143601269
S063,0.01,0.00125
S064,0.01,0.0033460372
S065,0.01,0.010453084
S066,0.01,0.0020446974
S067,0.01,0.0025379436
S068,0.01,0.0041194761
S069,0.01,0.0052927379
S070,0.01,0.0025566039
S071,0.01,0.00125
S072,0.01,0.0049121686
S073,0.01,0.0021335049
S074,0.01,0.0016335079
S075,0.01,0.005216074
S076,0.01,0.0032871367
S077,0.01,0.00125
S078,0.01,0.00125
S079,0.01,0.00125
S080,0.01,0.0042898585
S081,0.01,0.0038695577
S082,0.01,0.0037540378
S083,0.01,0.0059605681
S084,0.01,0.0046765818
S085,0.01,0.00125
S086,0.01,0.00125
S087,0.01,0.00125
S088,0.01,0.0042457405
S089,0.01,0.00125
S090,0.01,0.00125
S091,0.01,0.0019145619
S092,0.01,0.00125
S093,0.01,0.0031218613
S094,0.01,0.00125
S095,0.01,0.0029579387
S096,0.01,0.00125
S097,0.01,0.00125
S098,0.01,0.00125
S099,0.01,0.0043104964
S100,0.01,0.0026290835
