task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class,loaded_distance_km,duration_source
TSK000051,66.8857,79.6683,NOD000786,NOD000419,2773.9218,5731.39512,10.77,外协,PRD0185,普货,359.0,direct_historical_od_median
TSK000090,69.5974175,107.1355175,NOD000779,NOD000069,7574.943,13657.31488,28.71,自有,PRD0160,普货,957.0,direct_historical_od_median
TSK000105,72.309135,85.977885,NOD000678,NOD000028,2157.7069,4114.93225,6.75,外协,PRD0167,普货,225.0,historical_distance_bin_median
TSK000147,75.0208525,86.2569525,NOD000779,NOD000520,786.8385,1841.07968,1.83,自有,PRD0156,普货,61.0,direct_historical_od_median
TSK000196,77.73257,120.87837,NOD000777,NOD000333,9817.8193,14749.75205,39.609,自有,PRD0173,危货,978.0,direct_historical_od_median
TSK000241,80.4442875,117.2489875,NOD000678,NOD000519,7067.3803,12191.54739,25.2,自有,PRD0167,普货,840.0,historical_distance_bin_median
TSK000242,83.156005,112.655005,NOD000777,NOD000154,9835.0762,14776.75749,39.69,自有,PRD0173,危货,980.0,direct_historical_od_median
TSK000276,85.8677225,105.8410225,NOD000777,NOD000105,7797.4904,11541.94063,29.889,自有,PRD0173,危货,738.0,direct_historical_od_median
TSK000339,88.57944,129.23814,NOD000794,NOD000112,9617.0991,16517.10049,34.86,外协,PRD0017,普货,1162.0,historical_distance_bin_median
TSK000367,91.2911575,109.3678575,NOD000777,NOD000106,7952.1175,11794.48831,30.6585,自有,PRD0173,危货,757.0,direct_historical_od_median
TSK000544,94.002875,122.061075,NOD000781,NOD000430,8549.3115,13186.39212,27.96,自有,PRD0262,普货,932.0,direct_historical_od_median
TSK000707,96.7145925,116.7144925,NOD000678,NOD000168,6179.4413,10455.90128,21.27,自有,PRD0149,普货,709.0,direct_historical_od_median
TSK000711,99.42631,116.49341,NOD000632,NOD000017,2489.9857,4193.43243,7.95,外协,PRD0095,普货,265.0,direct_historical_od_median
TSK000777,102.1380275,124.1829275,NOD000678,NOD000776,6424.5427,11151.10414,22.86,外协,PRD0167,普货,762.0,historical_distance_bin_median
TSK000785,104.849745,114.201145,NOD000678,NOD000399,4344.6995,7401.0453,14.31,外协,PRD0149,普货,477.0,direct_historical_od_median
TSK000815,107.5614625,125.1489625,NOD000794,NOD000141,5928.1241,10439.80124,21.36,外协,PRD0257,普货,712.0,direct_historical_od_median
TSK000830,110.27318,147.07788,NOD000678,NOD000259,7527.043,12515.27475,26.1,自有,PRD0166,普货,870.0,historical_distance_bin_median
TSK000855,112.9848975,139.9012975,NOD000780,NOD000316,7528.4628,12524.53103,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK000860,115.696615,152.501315,NOD000632,NOD000470,7751.1723,12862.4386,26.91,外协,PRD0078,普货,897.0,historical_distance_bin_median
TSK000873,118.4083325,158.5575325,NOD000786,NOD000583,9892.0169,16090.30082,34.08,外协,PRD0192,普货,1136.0,direct_historical_od_median
TSK000875,121.12005,134.7888,NOD000786,NOD000427,2873.572,4742.52702,8.43,外协,PRD0186,普货,281.0,historical_distance_bin_median
TSK000889,123.8317675,144.0756675,NOD000596,NOD000015,2307.12,4029.97232,6.75,外协,PRD0146,普货,225.0,direct_historical_od_median
TSK000922,126.543485,133.218785,NOD000777,NOD000419,4171.8909,6535.97373,14.5395,自有,PRD0173,危货,359.0,direct_historical_od_median
TSK000938,129.2552025,156.1716025,NOD000780,NOD000316,7528.4628,12524.53103,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
