task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class,loaded_distance_km,duration_source
TSK000074,120.2496,140.7837,NOD000790,NOD000382,4563.2284,6266.42703,15.12,外协,PRD0202,普货,504.0,historical_distance_bin_median
TSK000283,122.34318125,134.64238125,NOD000678,NOD000020,1664.6594,3051.8172,5.79,外协,PRD0167,普货,193.0,direct_historical_od_median
TSK000315,124.4367625,135.6728625,NOD000779,NOD000520,786.8385,1506.33792,1.83,自有,PRD0156,普货,61.0,direct_historical_od_median
TSK000338,126.53034375,167.18904375,NOD000678,NOD000161,12598.9053,17095.7916,44.22,外协,PRD0167,普货,1474.0,historical_distance_bin_median
TSK000390,128.623925,145.129325,NOD000779,NOD000136,793.4508,1619.52228,1.83,自有,PRD0156,普货,61.0,direct_historical_od_median
TSK000402,130.71750625,196.24455625,NOD000601,NOD000332,20917.9482,25373.36322,65.64,外协,PRD0229,普货,2188.0,historical_distance_bin_median
TSK000410,132.8110875,154.8559875,NOD000601,NOD000633,6335.2402,9250.51113,23.28,外协,PRD0197,普货,776.0,historical_distance_bin_median
TSK000526,134.90466875,164.40366875,NOD000777,NOD000154,9835.0762,12090.07431,39.69,自有,PRD0173,危货,980.0,direct_historical_od_median
TSK000544,136.99825,165.05645,NOD000781,NOD000430,8549.3115,10788.86628,27.96,自有,PRD0262,普货,932.0,direct_historical_od_median
TSK000553,139.09183125,161.13673125,NOD000781,NOD000305,6638.2402,8953.69761,22.68,外协,PRD0262,普货,756.0,historical_distance_bin_median
TSK000588,141.1854125,154.8541625,NOD000678,NOD000014,2042.0198,3217.66128,6.33,外协,PRD0167,普货,211.0,historical_distance_bin_median
TSK000633,143.27899375,179.32979375,NOD000781,NOD000047,8193.3222,10509.90804,27.06,外协,PRD0262,普货,902.0,direct_historical_od_median
TSK000702,145.372575,165.868375,NOD000779,NOD000140,326.354,864.90171,0.33,自有,PRD0159,普货,11.0,direct_historical_od_median
TSK000736,147.46615625,174.38255625,NOD000780,NOD000316,7528.4628,10247.34357,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK000739,149.5597375,171.6046375,NOD000678,NOD000507,6575.0675,9346.43052,23.46,自有,PRD0167,普货,782.0,historical_distance_bin_median
TSK000801,151.65331875,194.23511875,NOD000781,NOD000003,9894.0793,12678.71535,32.94,自有,PRD0262,普货,1098.0,direct_historical_od_median
TSK000805,153.7469,190.5516,NOD000612,NOD000047,7396.6818,10624.22361,27.06,自有,PRD0152,普货,902.0,historical_distance_bin_median
TSK000844,155.84048125,192.64518125,NOD000632,NOD000470,7751.1723,10523.8134,26.91,外协,PRD0078,普货,897.0,historical_distance_bin_median
TSK000846,157.9340625,198.5927625,NOD000777,NOD000189,10025.5215,12333.32793,40.581,自有,PRD0173,危货,1002.0,historical_distance_bin_median
TSK000903,160.02764375,172.32134375,NOD000678,NOD000178,2157.7069,3366.76275,6.75,外协,PRD0167,普货,225.0,direct_historical_od_median
TSK001045,162.121225,198.925925,NOD000678,NOD000519,7146.3135,9942.1173,25.2,自有,PRD0167,普货,840.0,historical_distance_bin_median
TSK001072,164.21480625,192.27300625,NOD000781,NOD000430,8627.0471,10756.53117,27.96,自有,PRD0262,普货,932.0,direct_historical_od_median
TSK001094,166.3083875,225.4893875,NOD000780,NOD000058,17712.4448,23754.78,60.57,自有,PRD0162,普货,2019.0,direct_historical_od_median
TSK001100,168.40196875,182.73506875,NOD000779,NOD000419,2839.3013,4688.71137,10.77,自有,PRD0159,普货,359.0,direct_historical_od_median
TSK001133,170.49555,229.67655,NOD000780,NOD000058,17712.4448,23754.78,60.57,自有,PRD0162,普货,2019.0,direct_historical_od_median
TSK001201,172.58913125,194.63403125,NOD000678,NOD000148,6667.1621,9308.69973,23.46,自有,PRD0167,普货,782.0,historical_distance_bin_median
TSK001239,174.6827125,211.4874125,NOD000599,NOD000073,8552.1101,11343.67227,29.25,外协,PRD0226,普货,975.0,historical_distance_bin_median
TSK001280,176.77629375,217.43499375,NOD000790,NOD000583,9970.9502,13132.00647,34.08,外协,PRD0202,普货,1136.0,historical_distance_bin_median
TSK001487,178.869875,219.528575,NOD000593,NOD000289,12904.9462,16150.98924,54.7965,自有,PRD0142,危货,1353.0,historical_distance_bin_median
TSK001521,180.96345625,193.04635625,NOD000678,NOD000421,2267.8592,3612.80412,8.43,外协,PRD0149,普货,281.0,direct_historical_od_median
TSK001559,183.0570375,189.5028375,NOD000596,NOD000421,2222.1361,3598.81488,8.43,外协,PRD0147,普货,281.0,direct_historical_od_median
TSK001665,185.15061875,188.48891875,NOD000781,NOD000134,1398.9845,2780.9838,4.86,外协,PRD0262,普货,162.0,direct_historical_od_median
TSK001672,187.2442,200.73,NOD000678,NOD000419,2878.3927,4675.21668,10.77,外协,PRD0166,普货,359.0,direct_historical_od_median
TSK001675,189.33778125,229.99648125,NOD000777,NOD000255,11908.4298,14551.91244,48.762,自有,PRD0173,危货,1204.0,historical_distance_bin_median
TSK001703,191.4313625,211.2317625,NOD000632,NOD000177,2432.5488,3720.83184,7.95,外协,PRD0109,普货,265.0,direct_historical_od_median
TSK001786,193.52494375,214.02074375,NOD000779,NOD000140,151.2991,750.76083,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
