task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class,loaded_distance_km,duration_source
TSK000042,123.4679,160.2726,NOD000632,NOD000470,7680.2037,10520.81514,26.91,外协,PRD0078,普货,897.0,historical_distance_bin_median
TSK000142,128.92522568,150.97012568,NOD000598,NOD000484,5097.0247,7416.86454,18.24,外协,PRD0228,普货,608.0,historical_distance_bin_median
TSK000191,134.38255135,171.18725135,NOD000794,NOD000569,8205.9967,11587.68945,29.7,外协,PRD0009,普货,990.0,historical_distance_bin_median
TSK000356,139.83987703,152.13357703,NOD000678,NOD000178,2157.7069,3366.76275,6.75,外协,PRD0167,普货,225.0,direct_historical_od_median
TSK000358,145.2972027,181.3319027,NOD000786,NOD000561,8550.9863,11546.8551,29.7,外协,PRD0193,普货,990.0,direct_historical_od_median
TSK000504,150.75452838,187.55922838,NOD000781,NOD000151,8832.8891,11336.49315,29.31,自有,PRD0262,普货,977.0,historical_distance_bin_median
TSK000521,156.21185405,170.54495405,NOD000779,NOD000419,2760.368,4721.49648,10.77,自有,PRD0159,普货,359.0,direct_historical_od_median
TSK000548,161.66917973,188.58557973,NOD000780,NOD000316,7528.4628,10247.34357,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK000615,167.12650541,170.46480541,NOD000781,NOD000134,1320.0513,2813.76891,4.86,外协,PRD0262,普货,162.0,direct_historical_od_median
TSK000625,172.58383108,226.32673108,NOD000632,NOD000155,15162.3356,19375.11909,50.43,外协,PRD0122,普货,1681.0,direct_historical_od_median
TSK000628,178.04115676,198.53695676,NOD000779,NOD000140,326.354,864.90171,0.33,自有,PRD0159,普货,11.0,direct_historical_od_median
TSK000659,183.49848243,189.97488243,NOD000632,NOD000182,1945.3089,2864.5002,5.31,外协,PRD0048,普货,177.0,direct_historical_od_median
TSK000712,188.95580811,254.48285811,NOD000594,NOD000359,22385.8184,26894.05002,69.39,自有,PRD0249,普货,2313.0,historical_distance_bin_median
TSK000727,194.41313378,231.21783378,NOD000610,NOD000154,8516.3016,11431.68993,29.4,外协,PRD0210,普货,980.0,historical_distance_bin_median
TSK000743,199.87045946,221.91535946,NOD000678,NOD000776,6424.5427,9123.63066,22.86,外协,PRD0167,普货,762.0,historical_distance_bin_median
TSK001022,205.32778514,225.82358514,NOD000779,NOD000140,151.2991,750.76083,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK001078,210.78511081,255.54091081,NOD000678,NOD000079,8370.4126,11129.0751,28.47,自有,PRD0169,普货,949.0,direct_historical_od_median
TSK001353,216.24243649,229.91118649,NOD000632,NOD000019,2690.5877,3384.85158,7.95,外协,PRD0093,普货,265.0,historical_distance_bin_median
TSK001392,221.69976216,266.55976216,NOD000777,NOD000206,15593.8204,18877.34259,64.152,自有,PRD0173,危货,1584.0,direct_historical_od_median
TSK001426,227.15708784,237.65518784,NOD000678,NOD000655,4568.0972,6726.34827,16.17,自有,PRD0149,普货,539.0,direct_historical_od_median
TSK001473,232.61441351,254.65931351,NOD000779,NOD000512,5908.0925,8118.48411,20.28,自有,PRD0159,普货,676.0,historical_distance_bin_median
TSK001648,238.07173919,249.30783919,NOD000779,NOD000520,865.7717,1473.55281,1.83,自有,PRD0156,普货,61.0,direct_historical_od_median
TSK001713,243.52906486,249.17546486,NOD000678,NOD000136,1010.4168,1428.79374,1.83,自有,PRD0166,普货,61.0,historical_distance_bin_median
TSK001778,248.98639054,294.63289054,NOD000593,NOD000244,14652.8149,17353.17081,59.13,自有,PRD0138,危货,1460.0,direct_historical_od_median
TSK001845,254.44371622,324.76871622,NOD000596,NOD000033,22287.4701,26803.84392,69.09,外协,PRD0147,普货,2303.0,direct_historical_od_median
TSK001957,259.90104189,272.91354189,NOD000678,NOD000016,2561.5785,3759.71607,7.95,自有,PRD0167,普货,265.0,direct_historical_od_median
TSK002045,265.35836757,279.02711757,NOD000597,NOD000419,3187.6792,4573.02744,10.77,外协,PRD0212,普货,359.0,historical_distance_bin_median
TSK002050,270.81569324,314.17489324,NOD000785,NOD000563,12706.9577,14898.15324,50.5035,自有,PRD0024,危货,1247.0,direct_historical_od_median
TSK002146,276.27301892,294.57911892,NOD000786,NOD000420,3572.5261,4676.23746,10.77,外协,PRD0236,普货,359.0,direct_historical_od_median
TSK002280,281.73034459,350.14964459,NOD000593,NOD000428,20708.2387,24481.9215,83.997,自有,PRD0144,危货,2074.0,direct_historical_od_median
TSK002310,287.18767027,313.48367027,NOD000781,NOD000782,8324.8418,10422.28485,27.06,外协,PRD0262,普货,902.0,direct_historical_od_median
TSK002335,292.64499595,333.96469595,NOD000780,NOD000189,8498.2124,11626.29999,30.06,自有,PRD0163,普货,1002.0,direct_historical_od_median
TSK002393,298.10232162,343.17122162,NOD000781,NOD000198,12788.4272,15935.47839,41.85,自有,PRD0262,普货,1395.0,direct_historical_od_median
TSK002447,303.5596473,316.8388473,NOD000678,NOD000021,2095.9154,2703.78864,5.31,自有,PRD0166,普货,177.0,direct_historical_od_median
TSK002464,309.01697297,335.93337297,NOD000780,NOD000316,7659.9824,10159.72038,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK002601,314.47429865,337.65959865,NOD000678,NOD000123,6370.2728,8466.3783,21.45,自有,PRD0166,普货,715.0,direct_historical_od_median
TSK002691,319.93162432,364.79162432,NOD000777,NOD000206,15646.4068,18822.50451,64.152,自有,PRD0173,危货,1584.0,direct_historical_od_median
TSK002692,325.38895,337.68265,NOD000678,NOD000178,2289.2265,3279.13956,6.75,外协,PRD0167,普货,225.0,direct_historical_od_median
TSK002776,330.84627568,339.15877568,NOD000654,NOD000600,209.1662,1241.54793,1.14,自有,PRD0229,普货,38.0,historical_distance_bin_median
TSK002788,336.30360135,341.47440135,NOD000678,NOD000182,1866.3525,2854.53477,5.31,外协,PRD0167,普货,177.0,direct_historical_od_median
TSK002794,341.76092703,363.15532703,NOD000678,NOD000666,6839.2646,9173.82582,23.22,外协,PRD0149,普货,774.0,direct_historical_od_median
TSK002812,347.2182527,367.7932527,NOD000678,NOD000388,4206.6111,5516.78625,13.23,自有,PRD0166,普货,441.0,direct_historical_od_median
TSK002818,352.67557838,397.53557838,NOD000777,NOD000206,15646.4068,18822.50451,64.152,自有,PRD0173,危货,1584.0,direct_historical_od_median
TSK002962,358.13290405,375.74540405,NOD000678,NOD000405,4343.5402,5783.80374,14.1,外协,PRD0168,普货,470.0,direct_historical_od_median
TSK002968,363.59022973,404.24892973,NOD000645,NOD000583,10279.1662,12993.75054,34.08,外协,PRD0212,普货,1136.0,historical_distance_bin_median
TSK003075,369.04755541,412.77295541,NOD000780,NOD000096,7696.9369,10228.39938,26.22,自有,PRD0164,普货,874.0,direct_historical_od_median
TSK003113,374.50488108,393.68048108,NOD000777,NOD000031,6207.0206,8922.97926,27.0945,自有,PRD0173,危货,669.0,direct_historical_od_median
TSK003147,379.96220676,397.04030676,NOD000678,NOD000406,3556.1004,4558.50252,10.38,自有,PRD0169,普货,346.0,direct_historical_od_median
TSK003418,385.41953243,393.73203243,NOD000786,NOD000140,210.5677,783.99207,0.33,外协,PRD0177,普货,11.0,historical_distance_bin_median
TSK003498,390.87685811,414.50605811,NOD000645,NOD000271,5505.0219,6692.3874,16.98,外协,PRD0212,普货,566.0,direct_historical_od_median
TSK003552,396.33418378,422.63018378,NOD000781,NOD000782,8336.9908,10360.08765,27.06,自有,PRD0262,普货,902.0,direct_historical_od_median
TSK003568,401.79150946,413.27070946,NOD000632,NOD000178,2512.3998,3139.07841,6.75,外协,PRD0103,普货,225.0,direct_historical_od_median
TSK003639,407.24883513,420.73463513,NOD000678,NOD000419,2943.128,4558.18131,10.77,自有,PRD0166,普货,359.0,direct_historical_od_median
TSK003656,412.70616081,418.35256081,NOD000611,NOD000128,1062.6163,1444.51458,2.01,外协,PRD0180,普货,67.0,historical_distance_bin_median
TSK003700,418.16348649,431.86528649,NOD000678,NOD000177,2626.3138,3642.68079,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK003711,423.62081216,445.66571216,NOD000645,NOD000431,7381.7983,9200.23155,23.94,外协,PRD0212,普货,798.0,historical_distance_bin_median
TSK003743,429.07813784,466.62393784,NOD000678,NOD000035,11936.7171,15350.75064,40.11,外协,PRD0169,普货,1337.0,direct_historical_od_median
TSK003784,434.53546351,443.52216351,NOD000678,NOD000578,4699.0521,6194.81052,15.12,外协,PRD0149,普货,504.0,direct_historical_od_median
TSK003800,439.99278919,460.48858919,NOD000779,NOD000140,216.0344,633.72546,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
TSK003803,445.45011486,488.03191486,NOD000781,NOD000003,10037.7478,12528.89487,32.94,自有,PRD0262,普货,1098.0,direct_historical_od_median
TSK003942,450.90744054,487.71214054,NOD000777,NOD000439,10004.6475,11973.40272,39.8115,自有,PRD0173,危货,983.0,historical_distance_bin_median
TSK003956,456.36476622,485.52606622,NOD000632,NOD000366,7317.4434,9617.81859,24.84,外协,PRD0117,普货,828.0,direct_historical_od_median
TSK003959,461.82209189,475.49084189,NOD000632,NOD000019,2755.323,3267.8163,7.95,外协,PRD0093,普货,265.0,historical_distance_bin_median
TSK004010,467.27941757,483.78481757,NOD000779,NOD000136,922.7093,1338.24645,1.83,自有,PRD0159,普货,61.0,direct_historical_od_median
TSK004047,472.73674324,492.53714324,NOD000632,NOD000177,2553.9598,3597.29991,7.95,外协,PRD0058,普货,265.0,direct_historical_od_median
TSK004147,478.19406892,499.11486892,NOD000632,NOD000627,2553.9598,3597.29991,7.95,外协,PRD0067,普货,265.0,direct_historical_od_median
TSK004197,483.65139459,504.14719459,NOD000779,NOD000140,470.0225,715.08123,0.33,自有,PRD0159,普货,11.0,direct_historical_od_median
TSK004233,489.10872027,509.64282027,NOD000603,NOD000536,4763.5726,6110.10999,15.12,外协,PRD0182,普货,504.0,historical_distance_bin_median
TSK004283,494.56604595,535.22474595,NOD000678,NOD000363,9500.9927,11928.34332,30.6,自有,PRD0168,普货,1020.0,historical_distance_bin_median
TSK004401,500.02337162,520.02327162,NOD000678,NOD000168,6323.1098,8405.00793,21.27,自有,PRD0149,普货,709.0,direct_historical_od_median
TSK004496,505.4806973,542.2853973,NOD000790,NOD000059,7857.2218,10725.35706,27.78,外协,PRD0202,普货,926.0,historical_distance_bin_median
TSK004553,510.93802297,532.98292297,NOD000599,NOD000265,6880.0013,8956.63044,23.04,外协,PRD0226,普货,768.0,historical_distance_bin_median
TSK004667,516.39534865,543.90934865,NOD000779,NOD000219,9047.9095,11985.22836,30.6,自有,PRD0156,普货,1020.0,direct_historical_od_median
TSK004767,521.85267432,530.16517432,NOD000603,NOD000140,222.7167,721.79487,0.33,外协,PRD0182,普货,11.0,historical_distance_bin_median
TSK004838,527.31,563.3392,NOD000599,NOD000548,11823.26,15186.14712,39.87,外协,PRD0226,普货,1329.0,direct_historical_od_median
TSK004865,532.76732568,546.82672568,NOD000678,NOD000018,2594.7701,3589.79013,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK004892,538.22465135,573.71655135,NOD000645,NOD000154,8884.0561,11145.56103,29.4,自有,PRD0212,普货,980.0,direct_historical_od_median
TSK004986,543.68197703,565.72687703,NOD000678,NOD000167,6733.1834,9182.37915,23.58,自有,PRD0167,普货,786.0,historical_distance_bin_median
TSK005035,549.1393027,582.5933027,NOD000786,NOD000551,9401.5356,12202.61499,32.04,外协,PRD0185,普货,1068.0,direct_historical_od_median
TSK005383,554.59662838,595.25532838,NOD000678,NOD000049,9200.2748,12122.2926,31.59,自有,PRD0149,普货,1053.0,historical_distance_bin_median
TSK005432,560.05395405,579.10395405,NOD000777,NOD000030,6180.8714,8811.7848,27.0945,自有,PRD0173,危货,669.0,direct_historical_od_median
TSK005462,565.51127973,586.04887973,NOD000678,NOD000284,4991.3913,6498.34812,16.2,自有,PRD0167,普货,540.0,direct_historical_od_median
TSK005562,570.96860541,591.46440541,NOD000779,NOD000140,495.1545,655.69401,0.33,自有,PRD0159,普货,11.0,direct_historical_od_median
TSK005572,576.42593108,617.08463108,NOD000678,NOD000574,10238.3926,13415.87754,35.07,自有,PRD0149,普货,1169.0,historical_distance_bin_median
TSK005746,581.88325676,601.68365676,NOD000632,NOD000177,2805.7945,3511.92618,7.95,外协,PRD0071,普货,265.0,direct_historical_od_median
TSK005775,587.34058243,601.00933243,NOD000702,NOD000013,2192.5422,3120.52545,6.75,外协,PRD0207,普货,225.0,historical_distance_bin_median
TSK005928,592.79790811,663.12290811,NOD000596,NOD000033,22320.6617,26633.91798,69.09,外协,PRD0147,普货,2303.0,direct_historical_od_median
TSK006084,598.25523378,635.05993378,NOD000678,NOD000218,7424.9818,9836.40897,25.44,自有,PRD0167,普货,848.0,historical_distance_bin_median
TSK006125,603.71255946,630.62895946,NOD000780,NOD000316,7573.8035,10015.22043,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK006213,609.16988513,627.25018513,NOD000678,NOD000339,5515.911,7283.16477,18.57,自有,PRD0166,普货,619.0,direct_historical_od_median
TSK006449,614.62721081,619.79801081,NOD000678,NOD000182,1780.1736,2710.03482,5.31,自有,PRD0167,普货,177.0,direct_historical_od_median
TSK006484,620.08453649,634.14393649,NOD000678,NOD000018,2527.9859,3560.37804,7.95,外协,PRD0167,普货,265.0,direct_historical_od_median
TSK006668,625.54186216,639.21061216,NOD000632,NOD000014,2293.4493,2909.52882,6.33,外协,PRD0077,普货,211.0,historical_distance_bin_median
TSK006679,630.99918784,667.80388784,NOD000603,NOD000631,7185.95,9491.78808,24.72,外协,PRD0217,普货,824.0,historical_distance_bin_median
TSK006739,636.45651351,656.95231351,NOD000779,NOD000140,428.3702,626.28192,0.33,自有,PRD0159,普货,11.0,direct_historical_od_median
TSK006798,641.91383919,662.20943919,NOD000678,NOD000061,5807.9056,8357.34573,21.3,自有,PRD0167,普货,710.0,direct_historical_od_median
TSK006841,647.37116486,667.26476486,NOD000678,NOD000472,5603.2239,7401.87414,18.9,自有,PRD0166,普货,630.0,direct_historical_od_median
TSK006902,652.82849054,673.36259054,NOD000647,NOD000341,5003.5934,6407.57295,16.2,外协,PRD0188,普货,540.0,historical_distance_bin_median
TSK006918,658.28581622,678.78161622,NOD000779,NOD000140,428.3702,626.28192,0.33,自有,PRD0159,普货,11.0,direct_historical_od_median
TSK006992,663.74314189,722.92414189,NOD000780,NOD000058,17663.7637,23628.88197,60.75,自有,PRD0162,普货,2025.0,direct_historical_od_median
