vehicle_id,task_id,q_ki
VEH000051,TSK000072,0
VEH000220,TSK000072,1
VEH000488,TSK000072,1
VEH000015,TSK000072,1
VEH000303,TSK000072,1
VEH000061,TSK000072,1
VEH000292,TSK000072,1
VEH000301,TSK000072,1
VEH000308,TSK000072,1
VEH000036,TSK000072,1
VEH000359,TSK000072,1
VEH000228,TSK000072,0
VEH000403,TSK000072,0
VEH000355,TSK000072,1
VEH000420,TSK000072,1
VEH000037,TSK000072,1
VEH000097,TSK000072,1
VEH000337,TSK000072,1
VEH000058,TSK000072,0
VEH000467,TSK000072,0
VEH000361,TSK000072,1
VEH000478,TSK000072,1
VEH000032,TSK000072,1
VEH000483,TSK000072,1
VEH000423,TSK000072,1
VEH000350,TSK000072,1
VEH000053,TSK000072,1
VEH000299,TSK000072,1
VEH000246,TSK000072,1
VEH000278,TSK000072,1
VEH000093,TSK000072,1
VEH000282,TSK000072,1
VEH000499,TSK000072,1
VEH000010,TSK000072,0
VEH000313,TSK000072,1
VEH000395,TSK000072,1
VEH000329,TSK000072,0
VEH000049,TSK000072,0
VEH000358,TSK000072,1
VEH000073,TSK000072,0
VEH000100,TSK000072,0
VEH000016,TSK000072,1
VEH000071,TSK000072,1
VEH000526,TSK000072,1
VEH000433,TSK000072,1
VEH000031,TSK000072,1
VEH000401,TSK000072,1
VEH000310,TSK000072,1
VEH000380,TSK000072,1
VEH000063,TSK000072,1
VEH000051,TSK000161,1
VEH000220,TSK000161,0
VEH000488,TSK000161,1
VEH000015,TSK000161,1
VEH000303,TSK000161,1
VEH000061,TSK000161,1
VEH000292,TSK000161,1
VEH000301,TSK000161,1
VEH000308,TSK000161,1
VEH000036,TSK000161,0
VEH000359,TSK000161,1
VEH000228,TSK000161,0
VEH000403,TSK000161,1
VEH000355,TSK000161,1
VEH000420,TSK000161,1
VEH000037,TSK000161,0
VEH000097,TSK000161,1
VEH000337,TSK000161,1
VEH000058,TSK000161,1
VEH000467,TSK000161,1
VEH000361,TSK000161,1
VEH000478,TSK000161,1
VEH000032,TSK000161,0
VEH000483,TSK000161,1
VEH000423,TSK000161,1
VEH000350,TSK000161,1
VEH000053,TSK000161,1
VEH000299,TSK000161,1
VEH000246,TSK000161,1
VEH000278,TSK000161,1
VEH000093,TSK000161,1
VEH000282,TSK000161,0
VEH000499,TSK000161,1
VEH000010,TSK000161,1
VEH000313,TSK000161,1
VEH000395,TSK000161,1
VEH000329,TSK000161,1
VEH000049,TSK000161,1
VEH000358,TSK000161,0
VEH000073,TSK000161,0
VEH000100,TSK000161,1
VEH000016,TSK000161,1
VEH000071,TSK000161,1
VEH000526,TSK000161,0
VEH000433,TSK000161,1
VEH000031,TSK000161,1
VEH000401,TSK000161,1
VEH000310,TSK000161,1
VEH000380,TSK000161,1
VEH000063,TSK000161,0
VEH000051,TSK000347,0
VEH000220,TSK000347,0
VEH000488,TSK000347,0
VEH000015,TSK000347,1
VEH000303,TSK000347,1
VEH000061,TSK000347,1
VEH000292,TSK000347,1
VEH000301,TSK000347,1
VEH000308,TSK000347,1
VEH000036,TSK000347,1
VEH000359,TSK000347,1
VEH000228,TSK000347,1
VEH000403,TSK000347,1
VEH000355,TSK000347,1
VEH000420,TSK000347,0
VEH000037,TSK000347,1
VEH000097,TSK000347,1
VEH000337,TSK000347,1
VEH000058,TSK000347,1
VEH000467,TSK000347,1
VEH000361,TSK000347,0
VEH000478,TSK000347,0
VEH000032,TSK000347,0
VEH000483,TSK000347,1
VEH000423,TSK000347,1
VEH000350,TSK000347,1
VEH000053,TSK000347,1
VEH000299,TSK000347,0
VEH000246,TSK000347,0
VEH000278,TSK000347,1
VEH000093,TSK000347,1
VEH000282,TSK000347,1
VEH000499,TSK000347,1
VEH000010,TSK000347,1
VEH000313,TSK000347,1
VEH000395,TSK000347,1
VEH000329,TSK000347,1
VEH000049,TSK000347,1
VEH000358,TSK000347,1
VEH000073,TSK000347,1
VEH000100,TSK000347,1
VEH000016,TSK000347,1
VEH000071,TSK000347,1
VEH000526,TSK000347,1
VEH000433,TSK000347,1
VEH000031,TSK000347,0
VEH000401,TSK000347,1
VEH000310,TSK000347,1
VEH000380,TSK000347,1
VEH000063,TSK000347,1
VEH000051,TSK000505,1
VEH000220,TSK000505,1
VEH000488,TSK000505,1
VEH000015,TSK000505,1
VEH000303,TSK000505,1
VEH000061,TSK000505,0
VEH000292,TSK000505,1
VEH000301,TSK000505,1
VEH000308,TSK000505,0
VEH000036,TSK000505,1
VEH000359,TSK000505,1
VEH000228,TSK000505,1
VEH000403,TSK000505,1
VEH000355,TSK000505,1
VEH000420,TSK000505,1
VEH000037,TSK000505,0
VEH000097,TSK000505,1
VEH000337,TSK000505,0
VEH000058,TSK000505,1
VEH000467,TSK000505,0
VEH000361,TSK000505,0
VEH000478,TSK000505,1
