task_id,scenario_id,self_base_loss,outsourced_loss
TSK000160,S001,2.28019617,2.28019617
TSK000160,S002,1.45107698,1.45107698
TSK000160,S003,4.83649654,4.83649654
TSK000160,S004,3.05798333,3.05798333
TSK000160,S005,2.90921508,2.90921508
TSK000160,S006,2.81749844,2.81749844
TSK000160,S007,1.45107698,1.45107698
TSK000160,S008,3.42565479,3.42565479
TSK000160,S009,3.13858963,3.13858963
TSK000160,S010,4.86774004,4.86774004
TSK000160,S011,3.16921548,3.16921548
TSK000160,S012,2.77346208,2.77346208
TSK000160,S013,6.4673522,6.4673522
TSK000160,S014,4.20856648,4.20856648
TSK000160,S015,1.45107698,1.45107698
TSK000160,S016,4.54675396,4.54675396
TSK000160,S017,2.80599625,2.80599625
TSK000160,S018,3.61793207,3.61793207
TSK000160,S019,3.40922328,3.40922328
TSK000160,S020,4.42691101,4.42691101
TSK000160,S021,1.45107698,1.45107698
TSK000160,S022,2.3798575,2.3798575
TSK000160,S023,3.56328566,3.56328566
TSK000160,S024,6.54595622,6.54595622
TSK000160,S025,1.45107698,1.45107698
TSK000160,S026,3.98612834,3.98612834
TSK000160,S027,1.45107698,1.45107698
TSK000160,S028,3.92477692,3.92477692
TSK000160,S029,6.00115894,6.00115894
TSK000160,S030,1.45107698,1.45107698
TSK000160,S031,1.45107698,1.45107698
TSK000160,S032,4.83322358,4.83322358
TSK000160,S033,2.90373649,2.90373649
TSK000160,S034,6.03086722,6.03086722
TSK000160,S035,2.88232197,2.88232197
TSK000160,S036,6.4799057,6.4799057
TSK000160,S037,5.98475244,5.98475244
TSK000160,S038,2.90373649,2.90373649
TSK000160,S039,4.34782058,4.34782058
TSK000160,S040,6.76048093,6.76048093
TSK000160,S041,3.70391939,3.70391939
TSK000160,S042,5.11870126,5.11870126
TSK000160,S043,12.38736744,12.38736744
TSK000160,S044,1.45107698,1.45107698
TSK000160,S045,5.92503461,5.92503461
TSK000160,S046,1.45107698,1.45107698
TSK000160,S047,3.37927448,3.37927448
TSK000160,S048,3.98612834,3.98612834
TSK000160,S049,5.46768922,5.46768922
TSK000160,S050,2.53982862,2.53982862
TSK000160,S051,1.45107698,1.45107698
TSK000160,S052,1.45107698,1.45107698
TSK000160,S053,3.17702225,3.17702225
TSK000160,S054,1.45107698,1.45107698
TSK000160,S055,4.72412588,4.72412588
TSK000160,S056,4.67182828,4.67182828
TSK000160,S057,3.47265213,3.47265213
TSK000160,S058,3.59757491,3.59757491
TSK000160,S059,1.45107698,1.45107698
TSK000160,S060,3.03160746,3.03160746
TSK000160,S061,6.03086722,6.03086722
TSK000160,S062,3.6468134,3.6468134
TSK000160,S063,3.68187607,3.68187607
TSK000160,S064,1.45107698,1.45107698
TSK000160,S065,1.45107698,1.45107698
TSK000160,S066,1.45107698,1.45107698
TSK000160,S067,5.62982503,5.62982503
TSK000160,S068,4.47044666,4.47044666
TSK000160,S069,3.37975476,3.37975476
