task_id,start_hour,finish_hour,origin_node_id,destination_node_id,self_cost,outsource_cost,base_risk,historical_mode,product_id,hazard_class,loaded_distance_km,duration_source
TSK000044,123.4679,168.5368,NOD000781,NOD000198,12572.7777,19586.17111,41.85,外协,PRD0262,普货,1395.0,direct_historical_od_median
TSK000136,123.90076356,167.07186356,NOD000777,NOD000462,10612.6413,15982.36057,43.2945,自有,PRD0173,危货,1069.0,direct_historical_od_median
TSK000170,124.33362712,146.37852712,NOD000781,NOD000321,7186.0259,11227.01162,23.43,外协,PRD0262,普货,781.0,historical_distance_bin_median
TSK000183,124.76649068,146.81139068,NOD000597,NOD000450,6978.8011,11034.19625,23.04,自有,PRD0212,普货,768.0,historical_distance_bin_median
TSK000190,125.19935424,170.84585424,NOD000593,NOD000244,14573.8817,21249.50168,59.13,自有,PRD0138,危货,1460.0,direct_historical_od_median
TSK000224,125.6322178,138.4148178,NOD000786,NOD000419,2857.5034,5729.26673,10.77,外协,PRD0186,普货,359.0,direct_historical_od_median
TSK000246,126.06508136,162.86978136,NOD000678,NOD000060,8098.671,13510.67102,28.44,外协,PRD0168,普货,948.0,historical_distance_bin_median
TSK000257,126.49794492,164.13794492,NOD000607,NOD000782,8192.2491,12845.93607,27.06,自有,PRD0262,普货,902.0,direct_historical_od_median
TSK000262,126.93080847,147.46490847,NOD000594,NOD000536,4166.4987,7714.54849,15.12,自有,PRD0246,普货,504.0,historical_distance_bin_median
TSK000287,127.36367203,147.89777203,NOD000624,NOD000382,4818.8581,7557.01133,15.12,外协,PRD0212,普货,504.0,historical_distance_bin_median
TSK000310,127.79653559,147.59693559,NOD000632,NOD000177,2353.0672,4588.00595,7.95,外协,PRD0058,普货,265.0,direct_historical_od_median
TSK000316,128.22939915,144.73479915,NOD000779,NOD000136,793.4508,1979.41612,1.83,自有,PRD0156,普货,61.0,direct_historical_od_median
TSK000326,128.66226271,194.18931271,NOD000790,NOD000332,20917.9482,31011.88838,65.64,外协,PRD0202,普货,2188.0,historical_distance_bin_median
TSK000359,129.09512627,165.89982627,NOD000610,NOD000154,8516.3016,13972.06547,29.4,外协,PRD0210,普货,980.0,historical_distance_bin_median
TSK000362,129.52798983,167.13738983,NOD000599,NOD000511,7421.7944,12237.87433,25.53,外协,PRD0226,普货,851.0,direct_historical_od_median
TSK000423,129.96085339,143.62960339,NOD000632,NOD000028,2363.7957,4022.03208,6.75,外协,PRD0072,普货,225.0,historical_distance_bin_median
TSK000480,130.39371695,200.71871695,NOD000596,NOD000033,22208.5369,32800.32437,69.09,外协,PRD0147,普货,2303.0,direct_historical_od_median
TSK000497,130.82658051,196.35363051,NOD000593,NOD000425,24266.1236,34049.85243,94.9725,自有,PRD0138,危货,2345.0,historical_distance_bin_median
TSK000510,131.25944407,151.79354407,NOD000611,NOD000465,4048.7103,6795.64655,13.14,外协,PRD0179,普货,438.0,historical_distance_bin_median
TSK000542,131.69230763,145.36105763,NOD000632,NOD000028,2363.7957,4022.03208,6.75,外协,PRD0072,普货,225.0,historical_distance_bin_median
TSK000559,132.12517119,144.41887119,NOD000678,NOD000178,2157.7069,4114.93225,6.75,自有,PRD0167,普货,225.0,direct_historical_od_median
TSK000561,132.55803475,146.22678475,NOD000678,NOD000028,2157.7069,4114.93225,6.75,外协,PRD0167,普货,225.0,historical_distance_bin_median
TSK000603,132.99089831,155.03579831,NOD000611,NOD000085,5381.7033,8925.19474,18.03,外协,PRD0179,普货,601.0,historical_distance_bin_median
TSK000624,133.42376186,161.55206186,NOD000781,NOD000205,8954.6169,14044.46637,29.73,自有,PRD0262,普货,991.0,direct_historical_od_median
TSK000630,133.85662542,174.51532542,NOD000786,NOD000198,12313.6726,19659.98749,41.85,外协,PRD0193,普货,1395.0,historical_distance_bin_median
TSK000633,134.28948898,170.34028898,NOD000781,NOD000047,8193.3222,12845.44316,27.06,外协,PRD0262,普货,902.0,direct_historical_od_median
TSK000643,134.72235254,155.25645254,NOD000789,NOD000536,4166.4987,7714.54849,15.12,外协,PRD0181,普货,504.0,historical_distance_bin_median
TSK000688,135.1552161,146.6344161,NOD000632,NOD000178,2368.7312,4019.76531,6.75,外协,PRD0103,普货,225.0,direct_historical_od_median
TSK000691,135.58807966,154.63807966,NOD000777,NOD000030,6068.7466,11017.71715,27.0945,自有,PRD0173,危货,669.0,direct_historical_od_median
TSK000717,136.02094322,141.19174322,NOD000678,NOD000182,1734.833,3595.97084,5.31,外协,PRD0167,普货,177.0,direct_historical_od_median
TSK000736,136.45380678,163.37020678,NOD000780,NOD000316,7528.4628,12524.53103,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK000749,136.88667034,150.55542034,NOD000790,NOD000419,2853.1163,5731.28171,10.77,外协,PRD0202,普货,359.0,historical_distance_bin_median
TSK000869,137.3195339,177.9782339,NOD000678,NOD000489,8967.2089,14779.82055,31.14,自有,PRD0166,普货,1038.0,historical_distance_bin_median
TSK000989,137.75239746,159.79729746,NOD000786,NOD000796,5388.9194,10367.02315,21.12,外协,PRD0209,普货,704.0,historical_distance_bin_median
TSK001061,138.18526102,165.10166102,NOD000780,NOD000316,7607.3961,12484.46034,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK001066,138.61812458,175.42282458,NOD000597,NOD000185,8807.7398,13762.53318,29.25,外协,PRD0212,普货,975.0,historical_distance_bin_median
TSK001070,139.05098814,153.38408814,NOD000779,NOD000419,2839.3013,5730.64723,10.77,外协,PRD0159,普货,359.0,direct_historical_od_median
TSK001078,139.48385169,184.23965169,NOD000678,NOD000079,8370.4126,13602.2029,28.47,自有,PRD0169,普货,949.0,direct_historical_od_median
TSK001095,139.91671525,159.19251525,NOD000779,NOD000527,6133.1447,10293.3996,21.12,自有,PRD0159,普货,704.0,direct_historical_od_median
TSK001102,140.34957881,148.66207881,NOD000678,NOD000124,768.9273,1747.89142,1.44,外协,PRD0149,普货,48.0,historical_distance_bin_median
TSK001124,140.78244237,167.69884237,NOD000780,NOD000316,7607.3961,12484.46034,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK001144,141.21530593,154.49450593,NOD000678,NOD000021,2043.329,3371.65488,5.31,自有,PRD0166,普货,177.0,direct_historical_od_median
TSK001148,141.64816949,169.70636949,NOD000781,NOD000430,8628.2447,13146.32132,27.96,外协,PRD0262,普货,932.0,direct_historical_od_median
TSK001195,142.08103305,155.36023305,NOD000678,NOD000021,2043.329,3371.65488,5.31,自有,PRD0166,普货,177.0,direct_historical_od_median
TSK001206,142.51389661,162.51379661,NOD000678,NOD000168,6258.3745,10415.83059,21.27,自有,PRD0149,普货,709.0,direct_historical_od_median
TSK001229,142.94676017,179.75146017,NOD000678,NOD000501,7708.5502,13049.57423,27.21,外协,PRD0167,普货,907.0,historical_distance_bin_median
TSK001322,143.37962373,157.71272373,NOD000779,NOD000419,2839.3013,5730.64723,10.77,自有,PRD0159,普货,359.0,direct_historical_od_median
TSK001366,143.81248729,165.85738729,NOD000647,NOD000227,6347.1113,10352.08878,21.36,外协,PRD0188,普货,712.0,historical_distance_bin_median
TSK001367,144.24535085,166.88005085,NOD000678,NOD000285,5432.4213,8682.22278,17.64,自有,PRD0167,普货,588.0,direct_historical_od_median
TSK001384,144.67821441,151.18681441,NOD000795,NOD000394,3326.2468,6919.82995,14.985,自有,PRD0023,危货,370.0,direct_historical_od_median
TSK001449,145.11107797,185.73137797,NOD000598,NOD000100,7227.2914,12746.20039,26.58,外协,PRD0228,普货,886.0,direct_historical_od_median
TSK001463,145.54394153,152.05254153,NOD000795,NOD000394,3326.2468,6919.82995,14.985,自有,PRD0023,危货,370.0,direct_historical_od_median
TSK001478,145.97680508,205.15780508,NOD000780,NOD000058,17712.4448,29033.62,60.57,自有,PRD0162,普货,2019.0,direct_historical_od_median
TSK001525,146.40966864,159.68886864,NOD000678,NOD000021,2043.329,3371.65488,5.31,外协,PRD0166,普货,177.0,direct_historical_od_median
TSK001527,146.8425322,169.1253322,NOD000632,NOD000285,5298.4561,8636.96438,17.64,自有,PRD0097,普货,588.0,direct_historical_od_median
TSK001609,147.27539576,184.08009576,NOD000632,NOD000470,7830.1055,12822.3678,26.91,外协,PRD0078,普货,897.0,historical_distance_bin_median
TSK001617,147.70825932,174.62465932,NOD000780,NOD000316,7607.3961,12484.46034,25.86,自有,PRD0161,普货,862.0,direct_historical_od_median
TSK001658,148.14112288,171.33472288,NOD000599,NOD000271,5184.6569,8424.58287,16.98,外协,PRD0226,普货,566.0,direct_historical_od_median
TSK001662,148.57398644,167.84978644,NOD000779,NOD000527,6133.1447,10293.3996,21.12,自有,PRD0159,普货,704.0,direct_historical_od_median
TSK001664,149.00685,189.66555,NOD000777,NOD000189,10104.4547,15033.99678,40.581,自有,PRD0173,危货,1002.0,historical_distance_bin_median
TSK001673,149.43971356,168.61531356,NOD000777,NOD000031,6154.4343,10972.88786,27.0945,自有,PRD0173,危货,669.0,direct_historical_od_median
TSK001707,149.87257712,166.93967712,NOD000632,NOD000017,2569.4673,4153.10984,7.95,外协,PRD0095,普货,265.0,direct_historical_od_median
TSK001717,150.30544068,172.35034068,NOD000678,NOD000183,6413.7714,10964.73576,22.53,外协,PRD0167,普货,751.0,historical_distance_bin_median
TSK001734,150.73830424,164.40705424,NOD000597,NOD000419,3187.6792,5589.25576,10.77,外协,PRD0212,普货,359.0,historical_distance_bin_median
TSK001861,151.1711678,164.8399178,NOD000632,NOD000019,2690.5877,4137.04082,7.95,外协,PRD0093,普货,265.0,historical_distance_bin_median
TSK001899,151.60403136,192.26273136,NOD000779,NOD000078,7208.2286,15997.34587,33.33,自有,PRD0157,普货,1111.0,historical_distance_bin_median
TSK001906,152.03689492,192.69559492,NOD000790,NOD000583,9970.9502,16050.23013,34.08,外协,PRD0202,普货,1136.0,historical_distance_bin_median
TSK001935,152.46975847,172.96555847,NOD000779,NOD000140,151.2991,917.59657,0.33,自有,PRD0160,普货,11.0,direct_historical_od_median
