scenario_id,probability,empty_risk_per_km
S001,0.01,0.0029324669
S002,0.01,0.0038232984
S003,0.01,0.0061030897
S004,0.01,0.00125
S005,0.01,0.0026324505
S006,0.01,0.0056160558
S007,0.01,0.00125
S008,0.01,0.0092045998
S009,0.01,0.0077428963
S010,0.01,0.006352115
S011,0.01,0.0089009947
S012,0.01,0.0027778044
S013,0.01,0.0076370654
S014,0.01,0.0024033444
S015,0.01,0.0069039903
S016,0.01,0.007999282
S017,0.01,0.00125
S018,0.01,0.00125
S019,0.01,0.0016335079
S020,0.01,0.0028685828
S021,0.01,0.00125
S022,0.01,0.00125
S023,0.01,0.00125
S024,0.01,0.003016771
S025,0.01,0.0064211586
S026,0.01,0.00125
S027,0.01,0.00125
S028,0.01,0.0037665041
S029,0.01,0.00125
S030,0.01,0.0034351869
S031,0.01,0.0056541447
S032,0.01,0.0052938866
S033,0.01,0.001326843
S034,0.01,0.00125
S035,0.01,0.0028630946
S036,0.01,0.00125
S037,0.01,0.00125
S038,0.01,0.00125
S039,0.01,0.0027752485
S040,0.01,0.0042317626
S041,0.01,0.0029554912
S042,0.01,0.0021439682
S043,0.01,0.0053804063
S044,0.01,0.00125
S045,0.01,0.0117455567
S046,0.01,0.006006208
S047,0.01,0.0035126079
S048,0.01,0.0060143286
S049,0.01,0.0070434956
S050,0.01,0.00125
S051,0.01,0.0079182072
S052,0.01,0.0109788362
S053,0.01,0.0028285692
S054,0.01,0.0059605681
S055,0.01,0.00125
S056,0.01,0.0077428963
S057,0.01,0.00125
S058,0.01,0.0064202899
S059,0.01,0.0017518306
S060,0.01,0.0089009947
S061,0.01,0.00125
S062,0.01,0.0116707701
S063,0.01,0.0042121328
S064,0.01,0.0059587021
S065,0.01,0.00125
S066,0.01,0.00125
S067,0.01,0.0081336256
S068,0.01,0.0054116053
S069,0.01,0.00125
S070,0.01,0.0026066817
S071,0.01,0.006006208
S072,0.01,0.007999282
S073,0.01,0.0033078991
S074,0.01,0.0022986177
S075,0.01,0.0032827049
S076,0.01,0.00125
S077,0.01,0.0032756467
S078,0.01,0.0056541447
S079,0.01,0.0035467202
S080,0.01,0.0035612108
S081,0.01,0.0043416926
S082,0.01,0.0042374403
S083,0.01,0.0042793304
S084,0.01,0.00125
S085,0.01,0.00125
S086,0.01,0.0028936576
S087,0.01,0.0029584893
S088,0.01,0.00125
S089,0.01,0.00125
S090,0.01,0.0032871367
S091,0.01,0.007514411
S092,0.01,0.0022963064
S093,0.01,0.0049219416
S094,0.01,0.0068000162
S095,0.01,0.0085120899
S096,0.01,0.0029373752
S097,0.01,0.0037379509
S098,0.01,0.0029470519
S099,0.01,0.0032756467
S100,0.01,0.0033322576
