completed,instance_name,method,method_id,algorithm_name,algorithm_version,repeat,success,optimal_certified,objective,best_bound,global_gap,reduced_cost_filtering_complete,root_pricing_complete,total_wall_seconds,root_seconds,enumeration_seconds,finite_master_seconds,enumeration_complete,incomplete_reason,enumerated_route_count,explored_prefix_count,pruned_prefix_count,relevant_reduced_cost_cutoff,finite_master_gap,implicit_closure_used,implicit_closure_seconds,network_filter_seconds,root_cg_time,reduced_cost_filter_time,filtered_compact_build_time,filtered_compact_mip_time,fallback_bp_time,independent_validation_time,sparse_filtered_model_used
True,formal_H01_N0020_K008,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,1,True,True,188931.83163414642,188931.83163414642,0.0,True,True,0.06517060000624042,0.06496580000384711,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,0.06496580000384711,0.0,0.0,0.0,0.0,0.0031194999901345,False
True,formal_H01_N0020_K008,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,2,True,True,188931.83163414642,188931.83163414642,0.0,True,True,0.06020470001385547,0.059995900010108016,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,0.059995900010108016,0.0,0.0,0.0,0.0,0.0004563999973470345,False
True,formal_H01_N0020_K008,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,3,True,True,188931.83163414642,188931.83163414642,0.0,True,True,0.059353599994210526,0.05916340000112541,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,0.05916340000112541,0.0,0.0,0.0,0.0,0.00044359998719301075,False
True,formal_H01_N0040_K015,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,1,True,True,341731.9496092014,341731.9496092014,0.0,True,True,0.13247680000495166,0.13192060000437777,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,0.13192060000437777,0.0,0.0,0.0,0.0,0.0005840999947395176,False
True,formal_H01_N0040_K015,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,2,True,True,341731.9496092014,341731.9496092014,0.0,True,True,0.1296245999983512,0.12905960000352934,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,0.12905960000352934,0.0,0.0,0.0,0.0,0.0005499999970197678,False
True,formal_H01_N0040_K015,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,3,True,True,341731.9496092014,341731.9496092014,0.0,True,True,0.1331547000008868,0.13263969999388792,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,0.13263969999388792,0.0,0.0,0.0,0.0,0.0005627999926218763,False
True,formal_H01_N0060_K022,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,1,True,True,502501.4490718313,502501.4490718313,0.0,True,True,0.28157620001002215,0.2805259000015212,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,0.2805259000015212,0.0,0.0,0.0,0.0,0.000709400002961047,False
True,formal_H01_N0060_K022,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,2,True,True,502501.4490718313,502501.4490718313,0.0,True,True,0.2828025000053458,0.28169820000766777,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,0.28169820000766777,0.0,0.0,0.0,0.0,0.0007316999981412664,False
True,formal_H01_N0060_K022,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,3,True,True,502501.4490718313,502501.4490718313,0.0,True,True,0.2781381999957375,0.27709170000161976,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,0.27709170000161976,0.0,0.0,0.0,0.0,0.0006777999951737002,False
True,formal_H01_N0080_K029,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,1,True,True,663853.823942023,663853.823942023,0.0,True,True,0.6370536000031279,0.6347970999922836,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,0.6347970999922836,0.0,0.0,0.0,0.0,0.0009673000022303313,False
