completed,instance_name,method,method_id,algorithm_name,algorithm_version,repeat,success,optimal_certified,objective,best_bound,global_gap,reduced_cost_filtering_complete,root_pricing_complete,total_wall_seconds,root_seconds,enumeration_seconds,finite_master_seconds,enumeration_complete,incomplete_reason,enumerated_route_count,explored_prefix_count,pruned_prefix_count,relevant_reduced_cost_cutoff,finite_master_gap,implicit_closure_used,implicit_closure_seconds,network_filter_seconds,root_cg_time,reduced_cost_filter_time,filtered_compact_build_time,filtered_compact_mip_time,fallback_bp_time,independent_validation_time,sparse_filtered_model_used
True,GD-4-250-2_REVISED_DERIVED,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,1,True,True,43651.65,43651.649999999994,0.0,True,True,11.060391500010155,11.020046100005857,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,11.020046100005857,0.0,0.0,0.0,0.0,0.002194699991378002,False
True,GD-4-250-2_REVISED_DERIVED,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,2,True,True,43651.65,43651.649999999994,0.0,True,True,10.849859800000559,10.813342199995532,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,10.813342199995532,0.0,0.0,0.0,0.0,0.0025483000063104555,False
True,GD-4-250-2_REVISED_DERIVED,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,3,True,True,43651.65,43651.649999999994,0.0,True,True,10.781690800009528,10.745821300006355,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,10.745821300006355,0.0,0.0,0.0,0.0,0.0021815999934915453,False
True,GD-4-250-2_REVISED_DERIVED,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,1,True,True,43651.65,43651.649999999994,0.0,True,True,4.67541280000296,4.633735700001125,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,4.633735700001125,0.0,0.0,0.0,0.0,0.002250000005005859,False
True,GD-4-250-2_REVISED_DERIVED,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,2,True,True,43651.65,43651.649999999994,0.0,True,True,4.575418600012199,4.542069200004335,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,4.542069200004335,0.0,0.0,0.0,0.0,0.002161899989005178,False
True,GD-4-250-2_REVISED_DERIVED,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,3,True,True,43651.65,43651.649999999994,0.0,True,True,4.3895552000030875,4.3564362000033725,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,4.3564362000033725,0.0,0.0,0.0,0.0,0.0021230999991530553,False
True,GD-4-250-5_REVISED_DERIVED,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,1,True,True,43657.65000000001,43657.65,0.0,True,True,12.355968000003486,12.30238759999338,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,12.30238759999338,0.0,0.0,0.0,0.0,0.002420799995888956,False
True,GD-4-250-5_REVISED_DERIVED,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,2,True,True,43657.65000000001,43657.65,0.0,True,True,12.090486100001726,12.04973020000034,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,12.04973020000034,0.0,0.0,0.0,0.0,0.0025507000100333244,False
True,GD-4-250-5_REVISED_DERIVED,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,3,True,True,43657.65000000001,43657.65,0.0,True,True,13.64440379998996,13.604392599998391,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,13.604392599998391,0.0,0.0,0.0,0.0,0.0024363999982597306,False
True,GD-4-250-5_REVISED_DERIVED,ECP-RCF,ECP_RCF,Equivalence-Class Pricing and Reduced-Cost Filtering,final,1,True,True,43657.65000000001,43657.65,0.0,True,True,5.093893400000525,5.050725099994452,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,5.050725099994452,0.0,0.0,0.0,0.0,0.002440500000375323,False
