experiment,test_id,instance_id,N,instance_path,expected_sha256,actual_sha256,hash_match,data_files_complete,missing_data_files
A0,Gate C,formal_H01_N0020_K008,20,<WITHHELD_LOCAL_SOURCE>,44da3a1957d15fed8b1956524b27f57b533e3d1af623b06175094732051f940d,44da3a1957d15fed8b1956524b27f57b533e3d1af623b06175094732051f940d,True,True,
A0,Gate C,formal_H02_N0020_K008,20,<WITHHELD_LOCAL_SOURCE>,f6317dc27ac22446a79f76d120407457c1926f210bacaa7d1088228145ceeef3,f6317dc27ac22446a79f76d120407457c1926f210bacaa7d1088228145ceeef3,True,True,
A0,Gate C,formal_H01_N0040_K015,40,<WITHHELD_LOCAL_SOURCE>,da3834e8112452d1016edde8da4751db8dafdda1ef359a417deade16745ce47e,da3834e8112452d1016edde8da4751db8dafdda1ef359a417deade16745ce47e,True,True,
A0,Gate C,formal_H02_N0040_K015,40,<WITHHELD_LOCAL_SOURCE>,1ef29dc5368773d029e99e9e8b591329c2f65b1258a19690b2bd35af97ee0cff,1ef29dc5368773d029e99e9e8b591329c2f65b1258a19690b2bd35af97ee0cff,True,True,
A0,Gate C,formal_H01_N0060_K022,60,<WITHHELD_LOCAL_SOURCE>,dd5f4a3668194f131bfc811e1eb1e67f090e9a54de5c6da1d110047b501032f1,dd5f4a3668194f131bfc811e1eb1e67f090e9a54de5c6da1d110047b501032f1,True,True,
A0,Gate C,formal_H02_N0060_K023,60,<WITHHELD_LOCAL_SOURCE>,d10d0fd0871b2f463819ebf5a0eceaa4ae1d08df9dc1825ccf61b2ed9cf10ee7,d10d0fd0871b2f463819ebf5a0eceaa4ae1d08df9dc1825ccf61b2ed9cf10ee7,True,True,
A0,Gate C,formal_H01_N0080_K029,80,<WITHHELD_LOCAL_SOURCE>,5a8bab22daeb3fcee6422d02b3623f2f6f86c855db8ae75f1150ae8639b61d53,5a8bab22daeb3fcee6422d02b3623f2f6f86c855db8ae75f1150ae8639b61d53,True,True,
A0,Gate C,formal_H02_N0080_K030,80,<WITHHELD_LOCAL_SOURCE>,dbdcc17878a122f08a962248402752448009adcc9a47d5795c4cf8f328ad71ac,dbdcc17878a122f08a962248402752448009adcc9a47d5795c4cf8f328ad71ac,True,True,
A0,Gate C,formal_H01_N0100_K036,100,<WITHHELD_LOCAL_SOURCE>,050cdebf5699d1fb06e44a9962b24d2aaec2f1e7f5899066ad086340d4119959,050cdebf5699d1fb06e44a9962b24d2aaec2f1e7f5899066ad086340d4119959,True,True,
A0,Gate C,formal_H02_N0100_K038,100,<WITHHELD_LOCAL_SOURCE>,ef00a6938fd3c9b9ca381896c65b377eba9d267d2651cad2b246666f67081b7b,ef00a6938fd3c9b9ca381896c65b377eba9d267d2651cad2b246666f67081b7b,True,True,
A0,Gate C,formal_H01_N0150_K053,150,<WITHHELD_LOCAL_SOURCE>,2c2fef78427737981fcbd5071eac9d87635f4974a046afc88057976caba85ea0,2c2fef78427737981fcbd5071eac9d87635f4974a046afc88057976caba85ea0,True,True,
