experiment,instance_id,N,repeat_count,success_count,certificate_count,validation_pass_count,objective,objective_consistent_across_repeats,runtime_median_s,runtime_geomean_s,runtime_cv_percent,profile_count_median,cache_hits_median
A0,formal_H01_N0020_K008,20,3,3,3,3,188931.83163414642,True,0.06020470001385547,0.06152378708925715,5.102140397473268,8.0,0.0
A0,formal_H02_N0020_K008,20,3,3,3,3,170532.64898452244,True,0.056304500001715496,0.05587235305988268,1.4577628136947656,8.0,0.0
A0,formal_H01_N0040_K015,40,3,3,3,3,341731.9496092014,True,0.13247680000495166,0.13174311248395634,1.4218606647841534,15.0,0.0
A0,formal_H02_N0040_K015,40,3,3,3,3,322488.6464492446,True,0.14998270000796765,0.15064681498049745,1.4199300347164874,15.0,0.0
A0,formal_H01_N0060_K022,60,3,3,3,3,502501.4490718313,True,0.28157620001002215,0.280832010578884,0.8609794373428946,22.0,0.0
A0,formal_H02_N0060_K023,60,3,3,3,3,488771.93349327036,True,0.5248265999980504,0.5250562312276367,0.7510689020584108,23.0,0.0
A0,formal_H01_N0080_K029,80,3,3,3,3,663853.823942023,True,0.6370536000031279,0.6369024120287574,0.7149516772202621,29.0,0.0
A0,formal_H02_N0080_K030,80,3,3,3,3,668055.7621047971,True,1.1268739000079222,1.1282205231195908,0.4441379500547037,30.0,0.0
A0,formal_H01_N0100_K036,100,3,3,3,3,802261.3097339005,True,1.437056399998255,1.4360029753194892,1.2278804330646875,36.0,0.0
A0,formal_H02_N0100_K038,100,3,3,3,3,830539.408179493,True,2.2598261999955866,2.2497329634898513,1.0292574318468262,38.0,0.0
A0,stress_N0100_A050_C080_DH_O110_S20267701,100,3,3,3,3,823101.4958615276,True,1.1653217999992194,1.1652836313703303,0.00710819965298997,25.0,0.0
A0,stress_N0100_A100_C050_DM_O090_S20267702,100,3,3,3,3,725191.8303947588,True,0.4318901999940863,0.43400107188663456,0.9603523812385341,50.0,0.0
A0,formal_H01_N0150_K053,150,3,3,3,3,1223053.373570482,True,4.092109400007757,4.104300240439444,0.5764284819312048,53.0,0.0
A0,formal_H02_N0150_K056,150,3,3,3,3,1342732.4962650214,True,5.374058700006572,5.376121194728579,0.19727991368057282,56.0,0.0
A0,formal_H01_N0200_K071,200,3,3,3,3,1644039.92387448,True,10.176358299999265,10.198933315910477,0.4400280616436809,71.0,0.0
A0,formal_H02_N0200_K075,200,3,3,3,3,1767250.3227829682,True,16.148295500010136,16.217031138388155,0.8337770074436911,75.0,0.0
A0,stress_N0200_A050_C050_DH_O090_S20267701,200,3,3,3,3,1439676.663209539,True,3.2191402000025846,3.2124076773889585,0.4699529480707845,50.0,0.0
A0,stress_N0200_A100_C080_DM_O110_S20267702,200,3,3,3,3,1459140.8884121059,True,9.729634999996051,9.755508421232356,0.5095791797748289,100.0,0.0
A0,stress_N0400_A050_C050_DM_O110_S20267701,400,3,3,3,3,3087072.032259693,True,44.369690299994545,44.27912916811759,0.6984875830528701,100.0,0.0
A0,stress_N0400_A100_C080_DL_O090_S20267702,400,3,3,3,3,2785012.3423994803,True,28.91256740000972,28.892713128436565,0.42791457797073895,200.0,0.0
