experiment,instance_id,N,ECP_status,ECP_objective,ECP_objective_matches_reference,ECP_runtime_median_s,ECP_runtime_cv_percent,ECP_certificate_rate,ECP_validation_rate,Compact_objective,Compact_runtime_median_s,Compact_over_ECP_time,RCG_ED_objective,RCG_ED_runtime_median_s,RCG_ED_over_ECP_time,Standard_BP_status,Standard_BP_objective,Standard_BP_runtime_s,Static_RP_status,Static_RP_objective,Static_RP_runtime_s,instance_sha256,ECP_result_origin,baseline_result_origin
A0,formal_H01_N0020_K008,20,CERTIFIED_OPTIMAL,188931.83163414642,True,0.06020470001385547,5.102140397473268,1.0,1.0,188931.83163414642,0.053888299997197464,0.8950846027767873,188931.83163414642,0.06076640001265332,1.009329836352786,OPTIMAL,188931.83163414642,0.31742879998637363,FEASIBLE_RESTRICTED_POOL,215682.4813605582,0.08349069999530911,44da3a1957d15fed8b1956524b27f57b533e3d1af623b06175094732051f940d,new_ecp_formal_run,reused_frozen_baseline
A0,formal_H02_N0020_K008,20,CERTIFIED_OPTIMAL,170532.64898452244,True,0.056304500001715496,1.4577628136947656,1.0,1.0,170532.64898452244,0.05079529999056831,0.9021534688882891,170532.64898452244,0.054375800013076514,0.9657451893084883,OPTIMAL,170532.64898452244,0.05932640001992695,FEASIBLE_RESTRICTED_POOL,192014.8946586624,0.06585290000657551,f6317dc27ac22446a79f76d120407457c1926f210bacaa7d1088228145ceeef3,new_ecp_formal_run,reused_frozen_baseline
A0,formal_H01_N0040_K015,40,CERTIFIED_OPTIMAL,341731.9496092014,True,0.13247680000495166,1.4218606647841534,1.0,1.0,341731.9496092014,0.12343669999972917,0.9317608818684887,341731.94960920146,0.11869150001439266,0.8959417800698406,OPTIMAL,341731.94960920146,0.12659440000425093,FEASIBLE_RESTRICTED_POOL,378855.1269657483,0.09066489999531768,da3834e8112452d1016edde8da4751db8dafdda1ef359a417deade16745ce47e,new_ecp_formal_run,reused_frozen_baseline
A0,formal_H02_N0040_K015,40,CERTIFIED_OPTIMAL,322488.6464492446,True,0.14998270000796765,1.4199300347164874,1.0,1.0,322488.6464492445,0.148498099995777,0.9901015249618005,322488.64644924464,0.14072250001481734,0.9382582124961187,OPTIMAL,322488.6464492446,0.17353150001144968,FEASIBLE_RESTRICTED_POOL,356228.6820763035,0.09183069999562576,1ef29dc5368773d029e99e9e8b591329c2f65b1258a19690b2bd35af97ee0cff,new_ecp_formal_run,reused_frozen_baseline
A0,formal_H01_N0060_K022,60,CERTIFIED_OPTIMAL,502501.4490718313,True,0.28157620001002215,0.8609794373428946,1.0,1.0,502501.4490718314,0.26533219998236746,0.942310465063892,502501.44907183136,0.2126148999959696,0.7550883206336402,OPTIMAL,502501.44907183136,0.2592321000120137,FEASIBLE_RESTRICTED_POOL,546881.2015779876,0.12419380000210367,dd5f4a3668194f131bfc811e1eb1e67f090e9a54de5c6da1d110047b501032f1,new_ecp_formal_run,reused_frozen_baseline
A0,formal_H02_N0060_K023,60,CERTIFIED_OPTIMAL,488771.93349327036,True,0.5248265999980504,0.7510689020584108,1.0,1.0,488771.9334932703,0.45413890000781976,0.8653122764919057,488771.93349327036,0.4368411999894306,0.83235339060759,OPTIMAL,488771.93349327036,0.5672737999993842,FEASIBLE_RESTRICTED_POOL,554074.4137837158,0.17353620001813397,d10d0fd0871b2f463819ebf5a0eceaa4ae1d08df9dc1825ccf61b2ed9cf10ee7,new_ecp_formal_run,reused_frozen_baseline
A0,formal_H01_N0080_K029,80,CERTIFIED_OPTIMAL,663853.823942023,True,0.6370536000031279,0.7149516772202621,1.0,1.0,663853.8239420229,0.713183800020488,1.119503602235332,663853.823942023,0.7013118999893777,1.1008679646201422,OPTIMAL,663853.823942023,0.7203136000025552,FEASIBLE_RESTRICTED_POOL,737748.412040688,0.19858860000385903,5a8bab22daeb3fcee6422d02b3623f2f6f86c855db8ae75f1150ae8639b61d53,new_ecp_formal_run,reused_frozen_baseline
A0,formal_H02_N0080_K030,80,CERTIFIED_OPTIMAL,668055.7621047971,True,1.1268739000079222,0.4441379500547037,1.0,1.0,668055.7621047972,1.0414985999814235,0.9242370419388554,668055.7621047972,1.29732499999227,1.1512601365451356,OPTIMAL,668055.7621047973,1.3775026999937836,FEASIBLE_RESTRICTED_POOL,760434.3865500726,0.2508648000075482,dbdcc17878a122f08a962248402752448009adcc9a47d5795c4cf8f328ad71ac,new_ecp_formal_run,reused_frozen_baseline
A0,formal_H01_N0100_K036,100,CERTIFIED_OPTIMAL,802261.3097339005,True,1.437056399998255,1.2278804330646875,1.0,1.0,802261.3097407722,2.049958699994022,1.4264984310960316,802261.3097339004,1.9454374000197276,1.3537655168037175,OPTIMAL,802261.3097339001,1.7315800999931525,FEASIBLE_RESTRICTED_POOL,903273.536552461,0.33481529998243786,050cdebf5699d1fb06e44a9962b24d2aaec2f1e7f5899066ad086340d4119959,new_ecp_formal_run,reused_frozen_baseline
A0,formal_H02_N0100_K038,100,CERTIFIED_OPTIMAL,830539.408179493,True,2.2598261999955866,1.0292574318468262,1.0,1.0,830539.408179493,2.6414869999862276,1.168889448220127,830539.4081794932,2.349179800017737,1.0395400318937469,OPTIMAL,830539.4081794934,2.5428709000116214,FEASIBLE_RESTRICTED_POOL,955744.8860843258,0.3898363999905996,ef00a6938fd3c9b9ca381896c65b377eba9d267d2651cad2b246666f67081b7b,new_ecp_formal_run,reused_frozen_baseline
