complete,instance_id,N,split,result_origin,method,status,returncode,process_timed_out,external_wall_s,runtime_s,success,certificate,objective,LB,gap,validation_passed,route_count,self_task_count,outsourced_task_count,non_all_outsource,root_seconds,network_filter_seconds,filtered_compact_build_seconds,filtered_compact_mip_seconds,fallback_bp_seconds,sparse_filtered_model_used,pricing_profile_count,pricing_cache_hit_count,profile_equivalent_pricing,profile_equivalence_verified,instance_sha256,configuration_sha256,completed_at
True,GD-4-250-2_REVISED_DERIVED,250,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,6.149026300001424,5.648191799991764,True,True,43651.65,43651.649999999994,0.0,True,41,158,92,True,5.5981121999939205,0.0,0.0,0.0,0.0,False,4,59,True,True,33a4f4b80569fb46c0b9e453c960876f796638f764f163034d05e34b8d51bd80,bda48843583513ee22e671f47dfaa8d03047bfe99579142dcc7cca5d01cec3da,2026-07-20T20:40:02+08:00
True,GD-4-250-3_REVISED_DERIVED,250,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,3.792506700003287,3.529301899994607,True,True,44290.1,44290.099999999984,0.0,True,43,162,88,True,3.4894665999891004,0.0,0.0,0.0,0.0,False,4,70,True,True,5a96823db0115072705b6cfc1ab2f98a8cea84dc0ed190f2510adae7fe221eea,fadef26d3d7627c0a0a585c5b45a4e63c02480a52d73f615d21a7391a94435e8,2026-07-20T20:40:05+08:00
True,GD-4-250-4_REVISED_DERIVED,250,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,3.704980999988038,3.453322699991986,True,True,43964.600000000006,43964.6,0.0,True,45,162,88,True,3.408716199992341,0.0,0.0,0.0,0.0,False,4,68,True,True,e8076197c8300586732c12e9281ae95502e3078e45b9fee0155f095a95680181,06924aeee90e4fad14da8f4779e76b5cd69fa9b2bce15bf7d943395b7fb654eb,2026-07-20T20:40:09+08:00
True,GD-4-250-5_REVISED_DERIVED,250,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,6.345284099996206,6.0685831000009784,True,True,43657.65000000001,43657.65,0.0,True,48,182,68,True,6.019348899993929,0.0,0.0,0.0,0.0,False,4,64,True,True,666f54c8097b5e25d28c640e0cd2504ad503632bbdbf1d2f64da8cc2e666a5fb,5eef5c96f913636cfd999a9c66a09a9c706e6b65dfb584bc1d58ef231926b3d5,2026-07-20T20:40:16+08:00
True,GD-4-250-6_REVISED_DERIVED,250,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,5.135777799994685,4.858682299993234,True,True,43615.7,43615.7,0.0,True,48,189,61,True,4.819593799998984,0.0,0.0,0.0,0.0,False,4,67,True,True,8adcae24af3affdb5a17259213e61b3243f0b9896a3b4c93d35d49148eb1a403,3ae875dbba8286528f469905debaedc235a541ccaac557556d4884dccc9db915,2026-07-20T20:40:21+08:00
True,GD-4-250-7_REVISED_DERIVED,250,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,3.985848900003475,3.72975569999835,True,True,43332.65,43332.65,0.0,True,51,187,63,True,3.695423099998152,0.0,0.0,0.0,0.0,False,4,62,True,True,26d09321e65e03f8b72c9e15fcb97bfca66ee24cc692fbb95fe97cdeef7e5ced,b58c8db08ad4cbef7fcffeb9a5b18988346e662b9dcacc39e0b9c1af3e0b1df2,2026-07-20T20:40:25+08:00
True,GD-4-250-8_REVISED_DERIVED,250,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,3.6775626000016928,3.44160049999482,True,True,43625.49999999999,43625.5,0.0,True,50,175,75,True,3.403615599992918,0.0,0.0,0.0,0.0,False,4,60,True,True,fb68dae81b3f47fd0bd91e2382d1a2498af9ebf0487dc07d9a0c21deb47a8c38,7b013f24684b2d104083d6fa658dc3dfe8ed525e1e1e190b270a057f8c5ce367,2026-07-20T20:40:29+08:00
True,GD-4-250-9_REVISED_DERIVED,250,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,3.4680292999983067,3.231796600011876,True,True,43197.799999999996,43197.799999999996,0.0,True,53,186,64,True,3.198811400012346,0.0,0.0,0.0,0.0,False,4,62,True,True,9da5335254a02d028f7fcceae40f2eedc3456618742c1301b3775e89a3a2f44d,b3cd52f857007311cf3a75ba65a9fe3b8a1c74735cb9f73af1f1816abd2c3cb2,2026-07-20T20:40:32+08:00
True,GD-4-500-1_REVISED_DERIVED,500,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,53.10937849999755,52.69623720001255,True,True,84422.5,84422.50000000001,0.0,True,86,354,146,True,52.45848740001384,0.0,0.0,0.0,0.0,False,4,111,True,True,ec50bd24b05971ee721608945febd09ddfca0d67bdcffdfc39a78637d01b881c,ae4ffb27909e7448c3d059e6996a97f18b33e0b8020ba637f65bb53b6fbaaee6,2026-07-20T20:41:25+08:00
True,GD-4-500-2_REVISED_DERIVED,500,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,46.84094880000339,46.46807670000999,True,True,85601.35,85601.35000000006,0.0,True,95,369,131,True,46.21215180000581,0.0,0.0,0.0,0.0,False,4,121,True,True,a89fdba6114c0c85c22704cb6e7860e581d2a9e0ce2d07097b9325451fa31636,95b440f8c5dbd16b49d84bda3beb504c5fb57b92c83c08d257b9aeb3aaece92b,2026-07-20T20:42:12+08:00
True,GD-4-500-4_REVISED_DERIVED,500,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,34.56435910001164,34.195409200008726,True,True,85833.15,85833.15,0.0,True,88,366,134,True,33.97919720000937,0.0,0.0,0.0,0.0,False,4,120,True,True,8f085569262e5c61aeace48a7e66388e75e5d1558ab6ac1613707913bbe36fc8,c6439624d491a8b0dfb67033922a90bbf6a4141c2b863be0c4cff1459fbcd8f8,2026-07-20T20:42:47+08:00
True,GD-4-500-5_REVISED_DERIVED,500,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,32.02880670000741,31.695366700005252,True,True,87251.95,87251.94999999997,0.0,True,96,367,133,True,31.4859953999985,0.0,0.0,0.0,0.0,False,4,117,True,True,9797f12c3cb111c7fb763ef5e0c4ea3cfccb2e98855c48971e97650e431fe9c1,4c79e1db95e91b9a6120a3a8de9d195226274b1f4120daa383b1642bfb08ede9,2026-07-20T20:43:19+08:00
True,GD-4-500-6_REVISED_DERIVED,500,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,53.345384000000195,52.9854992999899,True,True,85163.5,85163.49999999997,0.0,True,91,368,132,True,52.77711689998978,0.0,0.0,0.0,0.0,False,4,111,True,True,b0a3e8e2b6b1cd035d33042d3948c298fe53e205c68ec6eff06a2f657855b374,9ace93051176fef6298e59da170b3654356e7d9d5329c5186bad176eefbabab6,2026-07-20T20:44:12+08:00
True,GD-4-500-7_REVISED_DERIVED,500,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,34.40280780001194,34.043051400003606,True,True,86573.55,86573.54999999996,0.0,True,84,332,168,True,33.831635099995765,0.0,0.0,0.0,0.0,False,4,125,True,True,1199ebc40aea14f09935a104c6c7dc9e13710f688a3292dd4746c4c51a83e39a,c1d777e6d643a7812667cebfb90d8a2b89d66693c6ad5ee8e91070acc3773a18,2026-07-20T20:44:47+08:00
True,GD-4-500-8_REVISED_DERIVED,500,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,36.95714600000065,36.60081750000245,True,True,87905.05000000002,87905.05,0.0,True,93,377,123,True,36.40142910000577,0.0,0.0,0.0,0.0,False,4,116,True,True,f40c9bfd8f54c707cc021abb45e1f2347c3ab0d69aede50bf8565158de2cf5c3,2a91caa3a89c0d88773ae514cd14f2ede96b2d432895c2204db3ea2bbf15ee08,2026-07-20T20:45:24+08:00
True,GD-4-500-9_REVISED_DERIVED,500,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,43.798998300000676,43.41594289999921,True,True,86658.6,86658.59999999998,0.0,True,87,348,152,True,43.18745840000338,0.0,0.0,0.0,0.0,False,4,130,True,True,08d41d054474ebbe2bd3150e26d3f8aa6ff9e64d59c3a7cc28876c1870b4ba7d,6414d4cc71a820a58414dfee3afbf958d4461b436dbcd3e57d538f60cdc4b37e,2026-07-20T20:46:08+08:00
True,GD-4-750-0_REVISED_DERIVED,750,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,221.3229902000021,220.687162599992,True,True,129760.5,129760.49999999999,0.0,True,138,572,178,True,219.89816670000437,0.0,0.0,0.0,0.0,False,4,180,True,True,310de114675b5599d1839b6c7f38a23bff7c04ab5fb0faf3cacaa6348dddfb6c,71f9afe0e2fd7355928c43883418a6c21f59475fbdff1e683cbe66413551218a,2026-07-20T20:49:49+08:00
True,GD-4-750-2_REVISED_DERIVED,750,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,690.3499953999999,689.555752299988,True,True,130146.34999999999,130146.34999999996,0.0,True,139,610,140,True,688.7170553999895,0.0,0.0,0.0,0.0,False,4,179,True,True,9938e25da7b8f2d8341445736c4d459349f6d05081de6cb9274c9aae09402f92,552fc416b0af0ffc59b0d47a72b40edb39dea86988bec1b2c4c04d1e235f7927,2026-07-20T21:01:20+08:00
True,GD-4-750-3_REVISED_DERIVED,750,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,324.13401340000564,323.44668540000566,True,True,129676.00000000001,129676.00000000009,0.0,True,135,568,182,True,322.71405230001255,0.0,0.0,0.0,0.0,False,4,179,True,True,c5bc4c92d28d73020dcf0a7eed427c3bb8f0923e9bdc7d64621c2d05e3aba7e9,3aa89471873c005a78f32623e4c9fe06de764e55ed584fbff8617dad8fbf9a89,2026-07-20T21:06:44+08:00
True,GD-4-750-5_REVISED_DERIVED,750,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,469.30863749999844,468.6188293000014,True,True,128874.95,128874.94999999992,0.0,True,136,567,183,True,467.82593550000456,0.0,0.0,0.0,0.0,False,4,182,True,True,e2170acc4982ddccaf073ff3c0f6c9fbfe86159e5416138f55c227484c2a5147,1cd624b705a9b96a3bc0198e0fab2a96ce6b03a234443b8ebc99cbbfc1ebcf67,2026-07-20T21:14:33+08:00
True,GD-4-750-6_REVISED_DERIVED,750,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,388.2257329999993,387.5835203000024,True,True,130115.5,130115.49999999994,0.0,True,134,564,186,True,386.8423664000002,0.0,0.0,0.0,0.0,False,4,179,True,True,6bbba464d2c1cce3a962fbb77c15a0d77946e68a48c4362d4d463804f5348037,ccb66b0f256e632f89e1472ad4f38989b910b7e2b09d401d2807b43424f2e47e,2026-07-20T21:21:02+08:00
True,GD-4-750-7_REVISED_DERIVED,750,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,538.3638099000091,537.527665200003,True,True,130092.75,130092.74999999999,0.0,True,137,568,182,True,402.7245268000115,7.897008800006006,21.99589879999985,99.90980789999594,0.0,True,4,185,True,True,2533eb96895362774d4ae26d39ecb9e01a6da3a6a2390644da3b5b0446ec5a2e,f7d7e189e2de1db6c075173dffee696637dc01593c5dfce942fe0e50d9bc2b9b,2026-07-20T21:30:00+08:00
True,GD-4-750-8_REVISED_DERIVED,750,heldout,new_formal_run,ECP-BP,CERTIFIED_OPTIMAL,0,False,380.68366010001046,379.9293144999974,True,True,128319.05,128319.05,0.0,True,132,570,180,True,379.085468099991,0.0,0.0,0.0,0.0,False,4,195,True,True,af7aecf3fd632b70a2f098c6317f56f0fedc00f76924f61a52cc928e04dd8d95,bbb33ded7c0d5a68b6feb791de3ec3a9eb1bdef95c027e54ab3b95029ef569f6,2026-07-20T21:36:21+08:00
