factor,level,instance_count,ECP_success_count,ECP_certificate_count,ECP_validation_pass_count,reference_objective_match_count,ECP_runtime_median_s,ECP_runtime_geomean_s,ECP_runtime_cv_percent,Compact_certificate_count,Compact_comparable_count,Compact_over_ECP_geomean,ECP_self_task_share_mean,ECP_outsource_task_share_mean,ECP_used_vehicle_mean,ECP_objective_mean
N,100,42,42,42,42,42,0.47970545000134734,0.6052279595439606,108.39964438977164,42,42,2.576597266903487,0.6614285714285715,0.3385714285714286,38.333333333333336,760934.2293128665
N,200,42,42,42,42,42,3.1439107499973034,3.6729582813179626,134.55605128835796,42,42,4.45670505219297,0.665952380952381,0.33404761904761904,76.66666666666667,1482876.1639665428
N,400,42,41,38,41,37,40.56275944999652,47.76610739048754,153.78522626555363,21,21,11.330255245882828,0.6593452380952382,0.31684523809523807,148.57142857142858,2889742.8305579266
admission,0.5,42,42,39,42,39,2.7900246499993955,3.478876582181482,301.66613259616554,36,36,4.306243465687456,0.5516666666666666,0.44833333333333336,58.333333333333336,1786141.3249102484
admission,0.8,42,42,42,42,42,3.9618430500049726,5.1356375892655235,234.72316906070336,35,35,4.226654655413187,0.6889880952380952,0.31101190476190477,93.33333333333333,1702013.560352715
admission,1.0,42,41,41,41,40,3.603729900001781,5.943214956119373,256.4190145984011,34,34,4.413951275180388,0.7460714285714286,0.2301190476190476,111.9047619047619,1615048.4729162366
compatibility,0.5,63,62,61,62,61,2.9268232000031276,3.5498247608535918,315.98728977558466,56,56,4.035454324284294,0.6457539682539682,0.3383730158730159,86.26984126984127,1687011.6303836987
compatibility,0.8,63,63,61,63,60,4.6273244000039995,6.316788048453791,254.70835965880667,49,49,4.6557724182949975,0.6787301587301587,0.32126984126984126,89.44444444444444,1716266.2140765213
dag_density,L,42,42,42,42,42,1.3442246499980683,1.756975756698552,157.86457564370718,41,41,4.995899841615757,0.5636904761904762,0.4363095238095238,89.16666666666667,1715387.5815982341
dag_density,M,42,42,42,42,42,3.826205650009797,4.785837343477632,160.04225230833424,33,33,4.385021290846789,0.6829166666666666,0.31708333333333333,90.0,1709452.2757977617
dag_density,H,42,41,38,41,37,10.214319100006833,12.627899761705022,192.6267493512661,31,31,3.4914920753791274,0.7401190476190476,0.23607142857142857,84.4047619047619,1679907.7697555693
outsource_multiplier,0.9,63,63,63,63,63,2.453380399994785,2.873400234842483,170.69855289801401,58,58,5.259495230441153,0.5625793650793651,0.43742063492063493,89.44444444444444,1650761.4992539682
outsource_multiplier,1.1,63,62,59,62,58,5.193689799998538,7.803817356023338,223.10600469418586,47,47,3.3779690038410077,0.7619047619047619,0.22222222222222224,86.26984126984127,1753572.8728646801
block,main_factorial,108,108,106,108,105,3.583474049999495,4.680664051332375,276.2881768208494,90,90,4.24133717521989,0.6638888888888889,0.33611111111111114,89.44444444444444,1711450.9005788062
block,independent_replication,18,17,16,17,16,3.166872100002365,5.077108444380813,247.73389457703433,15,15,4.776260377025122,0.6523611111111111,0.2920833333333333,78.33333333333333,1640164.4298881819
