complete,instance_id,N,split,result_origin,method,status,returncode,process_timed_out,external_wall_s,runtime_s,success,certificate,objective,LB,gap,validation_passed,route_count,self_task_count,outsourced_task_count,non_all_outsource,root_seconds,network_filter_seconds,filtered_compact_build_seconds,filtered_compact_mip_seconds,fallback_bp_seconds,sparse_filtered_model_used,pricing_profile_count,pricing_cache_hit_count,profile_equivalent_pricing,profile_equivalence_verified,instance_sha256,algorithm_source_sha256,current_named_source_sha256,source_relation,configuration_sha256,result_file,run_directory,completed_at,reference_method,reference_objective,objective_matches_certified_reference,compact_status,compact_certificate,compact_objective,compact_runtime_s,objective_matches_compact,compact_over_ecp_time,compact_speedup_comparable,original_rcg_status,original_rcg_certificate,original_rcg_objective,original_rcg_runtime_s,objective_matches_original_rcg,original_rcg_over_ecp_time,standard_bp_status,standard_bp_certificate,standard_bp_objective,standard_bp_runtime_s,objective_matches_standard_bp
True,GD-4-250-1_REVISED_DERIVED,250,development,reused_development_gate,ECP-RCG-ED,CERTIFIED_OPTIMAL,0,False,4.203825900010997,4.203825900010997,True,True,43618.6,43618.600000000006,0.0,True,,,,True,4.165207800004282,0.0,0.0,0.0,,False,4,63,True,True,b3e4e986a4e8435f53b58d2f890f1e4034b749fcc46b340c792c1e86c4f7cd67,a1b42e0ebbb209b5c1e1226188a126f5a8f84fcc1c7f75a194547d58bbf36a58,e6832f4e4b5c7005479e290760a56a0b9aa6b4a524c5effab30f9d6bde3a4ab6,same computational implementation; paper-facing metadata renamed to ECP-RCG-ED,a34f6cea710a3246c23278c6f6c8c5bdbefdacedb9b08c6bcc42a58477760673,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-1_REVISED_DERIVED\ECP_RCG_ED\repeat_01\result.json,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-1_REVISED_DERIVED\ECP_RCG_ED\repeat_01,,Compact-Gurobi,43618.600000000006,True,CERTIFIED_OPTIMAL,True,43618.600000000006,23.772372700000233,True,5.654937493947607,True,CERTIFIED_OPTIMAL,True,43618.600000000006,21.284921799999665,True,5.06322628630838,CERTIFIED_OPTIMAL,True,43618.6,18.577313199999935,True
True,GD-4-250-2_REVISED_DERIVED,250,heldout,new_formal_run,ECP-RCG-ED,CERTIFIED_OPTIMAL,0,False,6.149026300001424,5.648191799991764,True,True,43651.65,43651.649999999994,0.0,True,41,158,92,True,5.5981121999939205,0.0,0.0,0.0,0.0,False,4,59,True,True,33a4f4b80569fb46c0b9e453c960876f796638f764f163034d05e34b8d51bd80,c2f25f96c853b553c576fad7624bed18f9ad4e168c3e9fb88189db2216c831d2,,,bda48843583513ee22e671f47dfaa8d03047bfe99579142dcc7cca5d01cec3da,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-2_REVISED_DERIVED\ECP_RCG_ED\repeat_01\result.json,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-2_REVISED_DERIVED\ECP_RCG_ED\repeat_01,2026-07-20T20:40:02+08:00,Compact-Gurobi,43651.65000000001,True,CERTIFIED_OPTIMAL,True,43651.65000000001,19.80484770000021,True,3.5064049524715304,True,CERTIFIED_OPTIMAL,True,43651.65000000001,20.43745510000008,True,3.618406708502689,CERTIFIED_OPTIMAL,True,43651.65,18.770810499999698,True
True,GD-4-250-3_REVISED_DERIVED,250,heldout,new_formal_run,ECP-RCG-ED,CERTIFIED_OPTIMAL,0,False,3.792506700003287,3.529301899994607,True,True,44290.1,44290.099999999984,0.0,True,43,162,88,True,3.4894665999891004,0.0,0.0,0.0,0.0,False,4,70,True,True,5a96823db0115072705b6cfc1ab2f98a8cea84dc0ed190f2510adae7fe221eea,c2f25f96c853b553c576fad7624bed18f9ad4e168c3e9fb88189db2216c831d2,,,fadef26d3d7627c0a0a585c5b45a4e63c02480a52d73f615d21a7391a94435e8,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-3_REVISED_DERIVED\ECP_RCG_ED\repeat_01\result.json,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-3_REVISED_DERIVED\ECP_RCG_ED\repeat_01,2026-07-20T20:40:05+08:00,Compact-Gurobi,44290.1,True,CERTIFIED_OPTIMAL,True,44290.1,23.30357849999973,True,6.602886111849864,True,CERTIFIED_OPTIMAL,True,44290.1,23.002262900000005,True,6.517510700922228,CERTIFIED_OPTIMAL,True,44290.1,20.8133842000002,True
True,GD-4-250-4_REVISED_DERIVED,250,heldout,new_formal_run,ECP-RCG-ED,CERTIFIED_OPTIMAL,0,False,3.704980999988038,3.453322699991986,True,True,43964.600000000006,43964.6,0.0,True,45,162,88,True,3.408716199992341,0.0,0.0,0.0,0.0,False,4,68,True,True,e8076197c8300586732c12e9281ae95502e3078e45b9fee0155f095a95680181,c2f25f96c853b553c576fad7624bed18f9ad4e168c3e9fb88189db2216c831d2,,,06924aeee90e4fad14da8f4779e76b5cd69fa9b2bce15bf7d943395b7fb654eb,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-4_REVISED_DERIVED\ECP_RCG_ED\repeat_01\result.json,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-4_REVISED_DERIVED\ECP_RCG_ED\repeat_01,2026-07-20T20:40:09+08:00,Compact-Gurobi,43964.6,True,CERTIFIED_OPTIMAL,True,43964.6,21.57802330000004,True,6.248481585590051,True,CERTIFIED_OPTIMAL,True,43964.6,20.034544800000276,True,5.8015269757578025,CERTIFIED_OPTIMAL,True,43964.600000000006,17.22117049999997,True
True,GD-4-250-5_REVISED_DERIVED,250,heldout,new_formal_run,ECP-RCG-ED,CERTIFIED_OPTIMAL,0,False,6.345284099996206,6.0685831000009784,True,True,43657.65000000001,43657.65,0.0,True,48,182,68,True,6.019348899993929,0.0,0.0,0.0,0.0,False,4,64,True,True,666f54c8097b5e25d28c640e0cd2504ad503632bbdbf1d2f64da8cc2e666a5fb,c2f25f96c853b553c576fad7624bed18f9ad4e168c3e9fb88189db2216c831d2,,,5eef5c96f913636cfd999a9c66a09a9c706e6b65dfb584bc1d58ef231926b3d5,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-5_REVISED_DERIVED\ECP_RCG_ED\repeat_01\result.json,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-5_REVISED_DERIVED\ECP_RCG_ED\repeat_01,2026-07-20T20:40:16+08:00,Compact-Gurobi,43657.65,True,CERTIFIED_OPTIMAL,True,43657.65,20.147029799999927,True,3.319890239287764,True,CERTIFIED_OPTIMAL,True,43657.65,20.06110609999996,True,3.305731464729671,,False,,,
True,GD-4-250-6_REVISED_DERIVED,250,heldout,new_formal_run,ECP-RCG-ED,CERTIFIED_OPTIMAL,0,False,5.135777799994685,4.858682299993234,True,True,43615.7,43615.7,0.0,True,48,189,61,True,4.819593799998984,0.0,0.0,0.0,0.0,False,4,67,True,True,8adcae24af3affdb5a17259213e61b3243f0b9896a3b4c93d35d49148eb1a403,c2f25f96c853b553c576fad7624bed18f9ad4e168c3e9fb88189db2216c831d2,,,3ae875dbba8286528f469905debaedc235a541ccaac557556d4884dccc9db915,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-6_REVISED_DERIVED\ECP_RCG_ED\repeat_01\result.json,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-6_REVISED_DERIVED\ECP_RCG_ED\repeat_01,2026-07-20T20:40:21+08:00,Compact-Gurobi,43615.700000000004,True,CERTIFIED_OPTIMAL,True,43615.700000000004,20.874643200000264,True,4.296358953132073,True,CERTIFIED_OPTIMAL,True,43615.700000000004,28.916852500000005,True,5.951583313039479,,False,,,
True,GD-4-250-7_REVISED_DERIVED,250,heldout,new_formal_run,ECP-RCG-ED,CERTIFIED_OPTIMAL,0,False,3.985848900003475,3.72975569999835,True,True,43332.65,43332.65,0.0,True,51,187,63,True,3.695423099998152,0.0,0.0,0.0,0.0,False,4,62,True,True,26d09321e65e03f8b72c9e15fcb97bfca66ee24cc692fbb95fe97cdeef7e5ced,c2f25f96c853b553c576fad7624bed18f9ad4e168c3e9fb88189db2216c831d2,,,b58c8db08ad4cbef7fcffeb9a5b18988346e662b9dcacc39e0b9c1af3e0b1df2,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-7_REVISED_DERIVED\ECP_RCG_ED\repeat_01\result.json,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-7_REVISED_DERIVED\ECP_RCG_ED\repeat_01,2026-07-20T20:40:25+08:00,Compact-Gurobi,43332.65000000001,True,CERTIFIED_OPTIMAL,True,43332.65000000001,17.182018100000278,True,4.606740891905569,True,CERTIFIED_OPTIMAL,True,43332.65,19.76061000000027,True,5.298097674335349,,False,,,
True,GD-4-250-8_REVISED_DERIVED,250,heldout,new_formal_run,ECP-RCG-ED,CERTIFIED_OPTIMAL,0,False,3.6775626000016928,3.44160049999482,True,True,43625.49999999999,43625.5,0.0,True,50,175,75,True,3.403615599992918,0.0,0.0,0.0,0.0,False,4,60,True,True,fb68dae81b3f47fd0bd91e2382d1a2498af9ebf0487dc07d9a0c21deb47a8c38,c2f25f96c853b553c576fad7624bed18f9ad4e168c3e9fb88189db2216c831d2,,,7b013f24684b2d104083d6fa658dc3dfe8ed525e1e1e190b270a057f8c5ce367,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-8_REVISED_DERIVED\ECP_RCG_ED\repeat_01\result.json,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-8_REVISED_DERIVED\ECP_RCG_ED\repeat_01,2026-07-20T20:40:29+08:00,Compact-Gurobi,43625.5,True,CERTIFIED_OPTIMAL,True,43625.5,16.4450925000001,True,4.778326973169853,True,CERTIFIED_OPTIMAL,True,43625.5,15.317131899999822,True,4.450583936172393,,False,,,
True,GD-4-250-9_REVISED_DERIVED,250,heldout,new_formal_run,ECP-RCG-ED,CERTIFIED_OPTIMAL,0,False,3.4680292999983067,3.231796600011876,True,True,43197.799999999996,43197.799999999996,0.0,True,53,186,64,True,3.198811400012346,0.0,0.0,0.0,0.0,False,4,62,True,True,9da5335254a02d028f7fcceae40f2eedc3456618742c1301b3775e89a3a2f44d,c2f25f96c853b553c576fad7624bed18f9ad4e168c3e9fb88189db2216c831d2,,,b3cd52f857007311cf3a75ba65a9fe3b8a1c74735cb9f73af1f1816abd2c3cb2,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-9_REVISED_DERIVED\ECP_RCG_ED\repeat_01\result.json,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-250-9_REVISED_DERIVED\ECP_RCG_ED\repeat_01,2026-07-20T20:40:32+08:00,Compact-Gurobi,43197.8,True,CERTIFIED_OPTIMAL,True,43197.8,16.941718000000037,True,5.242198101185508,True,CERTIFIED_OPTIMAL,True,43197.8,16.999394200000097,True,5.260044583232011,,False,,,
True,GD-4-500-1_REVISED_DERIVED,500,heldout,new_formal_run,ECP-RCG-ED,CERTIFIED_OPTIMAL,0,False,53.10937849999755,52.69623720001255,True,True,84422.5,84422.50000000001,0.0,True,86,354,146,True,52.45848740001384,0.0,0.0,0.0,0.0,False,4,111,True,True,ec50bd24b05971ee721608945febd09ddfca0d67bdcffdfc39a78637d01b881c,c2f25f96c853b553c576fad7624bed18f9ad4e168c3e9fb88189db2216c831d2,,,ae4ffb27909e7448c3d059e6996a97f18b33e0b8020ba637f65bb53b6fbaaee6,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-500-1_REVISED_DERIVED\ECP_RCG_ED\repeat_01\result.json,<LOCAL_PATH_REDACTED>\Desktop\RCG-ED\01_STAGE_D_FULL\runs\GD-4-500-1_REVISED_DERIVED\ECP_RCG_ED\repeat_01,2026-07-20T20:41:25+08:00,Compact-Gurobi,84422.5,True,CERTIFIED_OPTIMAL,True,84422.5,137.48857420000013,True,2.6090776401766953,True,CERTIFIED_OPTIMAL,True,84422.49999999999,501.2233355999997,True,9.51155836227108,CERTIFIED_OPTIMAL,True,84422.5,481.98391300000003,True
