group,N,instance_count,ecp_success_count,ecp_certificate_count,ecp_validation_pass_count,ecp_non_all_outsource_count,objective_match_reference_count,ecp_runtime_median_s,ecp_runtime_geomean_s,ecp_PAR2_mean_s,compact_certificate_count,compact_memory_failure_count,compact_PAR2_mean_s,common_certified_comparison_count,compact_over_ecp_geomean,ecp_faster_common_count,original_rcg_certificate_count,original_rcg_over_ecp_geomean
heldout,250,8,8,8,8,8,8,3.6295287999964785,4.127297359606016,4.245154324997202,8,0,19.534618887500073,8,4.699993062665045,8,8,4.9028204617460185
heldout,500,8,8,8,8,8,8,40.00838020000083,40.752375371043,41.51255011250396,8,0,330.9749222125001,8,7.238219497635958,8,8,15.262439727713039
heldout,750,7,7,7,7,7,4,387.5835203000024,406.2345265800693,429.6212756571414,0,7,7200.0,0,,0,4,9.353866766678115
heldout,ALL,23,23,23,23,23,20,36.60081750000245,36.9975837511736,146.6700245695652,16,7,2313.220709947826,16,5.832630746493033,16,20,8.786708455444433
development,250,1,1,1,1,1,1,4.203825900010997,4.203825900010997,4.203825900010997,1,0,23.772372700000233,1,5.654937493947608,1,1,5.063226286308379
development,500,1,1,1,1,1,1,78.33828860000358,78.33828860000358,78.33828860000358,1,0,185.23626700000023,1,2.3645687225287655,1,1,10.733876555479931
development,750,2,2,2,2,2,1,618.3882815999968,484.58342087329737,618.3882815999968,0,2,7200.0,0,,0,1,13.613953754959566
development,ALL,4,4,4,4,4,3,156.28063685000234,93.77541095052275,329.82966942500207,2,2,3652.2521599250003,2,3.6567045718848705,2,3,9.044600765736494
all,250,9,9,9,9,9,9,3.72975569999835,4.135731264183072,4.240562277776513,9,0,20.005480422222313,9,4.797586770322111,9,9,4.92038938597344
all,500,9,9,9,9,9,9,43.41594289999921,43.821638456089396,45.60429883333725,9,0,314.7817383000001,9,6.392122709180495,9,9,14.677047476547704
all,750,9,9,9,9,9,5,387.5835203000024,422.47130298868154,471.5694991999982,0,9,7200.0,0,,0,5,10.083000713999532
all,ALL,27,27,27,27,27,23,43.41594289999921,42.46319931306727,173.80478677037064,18,9,2511.595739574074,18,5.537757970861482,18,23,8.819925016856056
