complete,stage,case_id,block,generation_order,instance_id,N,admission,compatibility,dag_density,outsource_multiplier,instance_seed,method,repeat,status,returncode,process_timed_out,success,certificate,objective,UB,LB,gap,runtime_s,external_wall_s,validation_passed,root_seconds,network_filter_seconds,filtered_compact_build_seconds,filtered_compact_mip_seconds,pricing_profile_count,pricing_cache_hit_count,profile_equivalence_verified,full_vehicle_exact_pricing,true_dual_verified,negative_candidate_count,route_count,used_vehicle_count,self_task_count,outsource_task_count,self_task_share,outsource_task_share,self_loaded_distance_km,outsource_loaded_distance_km,assignment_complete,unassigned_task_count,duplicated_assignment_count,instance_sha256,configuration_sha256,completed_at,reference_method,reference_objective,objective_matches_certified_reference,compact_status,compact_certificate,compact_objective,compact_LB,compact_gap,compact_runtime_s,objective_matches_compact,compact_speedup_comparable,compact_over_ecp_time,frozen_rcg_status,frozen_rcg_certificate,frozen_rcg_objective,frozen_rcg_runtime_s,ECP_result_origin,compact_result_origin,frozen_rcg_result_origin
True,C,STR_001,main_factorial,1,stress_N0100_A050_C050_DL_O090_S20268001,100,0.5,0.5,L,0.9,20268001,ECP-RCF,1,CERTIFIED_OPTIMAL,0,False,True,True,831646.2227715607,831646.2227715607,831646.2227715607,0.0,0.2141455999953905,0.43895250000059605,True,0.21342469999217428,0.0,0.0,0.0,25,0,True,True,True,0,25,25,39,61,0.39,0.61,35138.0,40298.0,True,0,0,2dc55d655bd06efbd78f1d6519eb395f68ce78cb2112fee4f8b32b6323d93b9e,0b78893f38ce3579c70d954bfe0beecf0ff705e5b253d162381f1ba040447ba0,2026-07-21T06:29:44+08:00,frozen RCG-ED,831646.2227715605,True,OPTIMAL,True,831646.222771561,831646.2227715609,1.3998178388758475e-16,0.6994236000000456,True,True,3.2661124020997896,OPTIMAL,True,831646.2227715605,0.38520150000022113,new_ecp_formal_run,reused_frozen_baseline,historical_algorithm_result
True,C,STR_002,main_factorial,2,stress_N0100_A050_C050_DL_O110_S20268002,100,0.5,0.5,L,1.1,20268002,ECP-RCF,1,CERTIFIED_OPTIMAL,0,False,True,True,816112.5361579937,816112.5361579937,816112.5361579937,0.0,0.19211220000579488,0.37904230000276584,True,0.1913442000077339,0.0,0.0,0.0,25,0,True,True,True,0,25,25,45,55,0.45,0.55,31841.0,33355.0,True,0,0,2840470b41d88f02e19cbf5958d3be1052d762d77362207782776bda2536c9d5,ab1ad7e318f72d7e8bd48ac167571e22bba361cd18b261d27901d62ff1704135,2026-07-21T06:29:45+08:00,frozen RCG-ED,816112.5361579937,True,OPTIMAL,True,816112.536157993,816112.536157993,0.0,0.6091747000000396,True,True,3.170931882419047,OPTIMAL,True,816112.5361579937,0.3647750999998607,new_ecp_formal_run,reused_frozen_baseline,historical_algorithm_result
True,C,STR_003,main_factorial,3,stress_N0100_A050_C050_DM_O090_S20268003,100,0.5,0.5,M,0.9,20268003,ECP-RCF,1,CERTIFIED_OPTIMAL,0,False,True,True,760947.2441775727,760947.2441775727,760947.2441775727,0.0,0.2594224999920698,0.44466180000745226,True,0.25842939999711234,0.0,0.0,0.0,25,0,True,True,True,0,25,25,45,55,0.45,0.55,36288.0,33634.0,True,0,0,3c6ca0e17ab49aaba54e4d2c4f4c3e58ed4531512399c8c26ce1f3ee1fec9240,7667f71e405a6412264836751fdbbf392e553f3d68971e46e23c4ab9daeb8152,2026-07-21T06:29:45+08:00,frozen RCG-ED,760947.2441775724,True,OPTIMAL,True,760947.2441775728,760947.2441775727,1.529873755607799e-16,0.7699533999998494,True,True,2.9679515077658487,OPTIMAL,True,760947.2441775724,0.39828469999974914,new_ecp_formal_run,reused_frozen_baseline,historical_algorithm_result
True,C,STR_004,main_factorial,4,stress_N0100_A050_C050_DM_O110_S20268004,100,0.5,0.5,M,1.1,20268004,ECP-RCF,1,CERTIFIED_OPTIMAL,0,False,True,True,905394.944853639,905394.944853639,905394.944853639,0.0,0.3520674999890616,0.5417181999946479,True,0.35087119998934213,0.0,0.0,0.0,25,0,True,True,True,0,25,25,63,37,0.63,0.37,52805.0,22052.0,True,0,0,fa52862b68eb88c829d879296aa80cb87349e9e874dd6f180c61e20c06258d3a,c47e6d50461559427801f861fd37dd22b8d026af770afa5a15bb1dac1c7da0e3,2026-07-21T06:29:46+08:00,frozen RCG-ED,905394.944853639,True,OPTIMAL,True,905394.944853639,905394.944853639,0.0,0.8643502999998418,True,True,2.4550698375359734,OPTIMAL,True,905394.944853639,0.4604983000003813,new_ecp_formal_run,reused_frozen_baseline,historical_algorithm_result
True,C,STR_005,main_factorial,5,stress_N0100_A050_C050_DH_O090_S20268005,100,0.5,0.5,H,0.9,20268005,ECP-RCF,1,CERTIFIED_OPTIMAL,0,False,True,True,744823.0457423101,744823.0457423101,744823.0457423101,0.0,0.2658588000049349,0.46300170000176877,True,0.26471449999371544,0.0,0.0,0.0,25,0,True,True,True,0,25,25,40,60,0.4,0.6,31712.0,36315.0,True,0,0,1593d4a7c646d204f909d43583f0517bc04a191ba3bbf71c545bd6245208f019,4af32bfed29ad0d063795b94a7c4d0d0f3ea3d5c02f751e7fd7f113ea214a6e9,2026-07-21T06:29:46+08:00,frozen RCG-ED,744823.0457423101,True,OPTIMAL,True,744823.0457423102,744823.0457423098,6.251972061949949e-16,0.9244949000003544,True,True,3.477390629850108,OPTIMAL,True,744823.0457423101,0.43761350000022503,new_ecp_formal_run,reused_frozen_baseline,historical_algorithm_result
True,C,STR_006,main_factorial,6,stress_N0100_A050_C050_DH_O110_S20268006,100,0.5,0.5,H,1.1,20268006,ECP-RCF,1,CERTIFIED_OPTIMAL,0,False,True,True,787461.3459625388,787461.3459625388,787460.9283578157,5.303177422885454e-07,5.193689799998538,5.408134299999801,True,1.9795861000020523,0.008523500000592321,0.1299358999967808,3.066293800002313,25,0,True,True,True,0,25,25,84,16,0.84,0.16,55481.0,10217.0,True,0,0,e35a5028ff72165bfb37b2dadeacafff0fa3f4c0a5e2f945610faafb47fba23d,c2b1c3b407a7b88166429d589a094a61a05492712c359905fc37e75500fef9d5,2026-07-21T06:29:52+08:00,frozen RCG-ED,787461.3459625391,True,OPTIMAL,True,787461.529116261,787461.0369679104,6.249808181026224e-07,3.3703448000001117,True,True,0.6489307081838158,OPTIMAL,True,787461.3459625391,2.429780600000413,new_ecp_formal_run,reused_frozen_baseline,historical_algorithm_result
True,C,STR_007,main_factorial,7,stress_N0100_A050_C080_DL_O090_S20268007,100,0.5,0.8,L,0.9,20268007,ECP-RCF,1,CERTIFIED_OPTIMAL,0,False,True,True,784107.0515891742,784107.0515891742,784107.0515891742,0.0,0.2748488999932306,0.5042548000055831,True,0.27350019999721553,0.0,0.0,0.0,25,0,True,True,True,0,25,25,38,62,0.38,0.62,35367.0,35622.0,True,0,0,e33039d5369d681a3858dbba53513327bd73ab257d474d82843f7fad1a3a7dcc,4e30990d66ae34d6e6f2b234df9901d5dece58372d6d57b8be6e235c247a8003,2026-07-21T06:29:52+08:00,frozen RCG-ED,784107.0515891743,True,OPTIMAL,True,784107.0515891743,784107.0515891742,1.4846865819022062e-16,0.7146600999999464,True,True,2.600192687755156,OPTIMAL,True,784107.0515891743,0.44317759999967166,new_ecp_formal_run,reused_frozen_baseline,historical_algorithm_result
True,C,STR_008,main_factorial,8,stress_N0100_A050_C080_DL_O110_S20268008,100,0.5,0.8,L,1.1,20268008,ECP-RCF,1,CERTIFIED_OPTIMAL,0,False,True,True,839463.0828376863,839463.0828376863,839463.0828376863,0.0,0.22789320000447333,0.45360700000310317,True,0.22685200000705663,0.0,0.0,0.0,25,0,True,True,True,0,25,25,41,59,0.41,0.59,32597.0,34660.0,True,0,0,84487443ca2ccca1f249bbc227af7a58dc3ad1f9fdb0a366b2cc89c3f3c0695b,351f439b3beb4fa28844d5f263a4f9148ffb3e8d564b7a81241d91bcf239f3fd,2026-07-21T06:29:53+08:00,frozen RCG-ED,839463.0828376862,True,OPTIMAL,True,839463.0828376861,839463.082837686,1.386783102282584e-16,0.768349500000113,True,True,3.3715332444541173,OPTIMAL,True,839463.0828376862,0.7699413000000277,new_ecp_formal_run,reused_frozen_baseline,historical_algorithm_result
True,C,STR_009,main_factorial,9,stress_N0100_A050_C080_DM_O090_S20268009,100,0.5,0.8,M,0.9,20268009,ECP-RCF,1,CERTIFIED_OPTIMAL,0,False,True,True,738792.1955015962,738792.1955015962,738792.1955015962,0.0,0.41005560000485275,0.5956855999975232,True,0.40848470000491943,0.0,0.0,0.0,25,0,True,True,True,0,25,25,44,56,0.44,0.56,33008.0,34283.0,True,0,0,11f228eb5cddc2cff4c472ccf6d5b23a86ff4a6677125d45374417ea431d3257,a2486e144812b445632fe01794eafc108e56f48a0487044738a6ed8a0bf4438c,2026-07-21T06:29:54+08:00,frozen RCG-ED,738792.1955015962,True,OPTIMAL,True,738792.1955015959,738792.1955015957,1.5757519169229414e-16,1.4472894000000451,True,True,3.5294955122742317,OPTIMAL,True,738792.1955015962,0.6131175999998959,new_ecp_formal_run,reused_frozen_baseline,historical_algorithm_result
True,C,STR_010,main_factorial,10,stress_N0100_A050_C080_DM_O110_S20268010,100,0.5,0.8,M,1.1,20268010,ECP-RCF,1,CERTIFIED_OPTIMAL,0,False,True,True,829142.0027743122,829142.0027743122,829142.0027743122,0.0,0.6897746000031475,0.8826185000070836,True,0.687515000012354,0.0,0.0,0.0,25,0,True,True,True,0,25,25,65,35,0.65,0.35,46843.0,20576.0,True,0,0,6e31a25479b2806c537a0ae77dc6fdda07e0b33c70a7a85e8360bf356be97978,228304557969567fda2394a316674bad5ff763c3e89b91d894114912e75cfbae,2026-07-21T06:29:55+08:00,frozen RCG-ED,829142.0027743122,True,OPTIMAL,True,829142.0027743122,829142.0027743116,7.02022822613067e-16,1.8501321999997344,True,True,2.6822272087016428,OPTIMAL,True,829142.0027743122,0.8029262000000017,new_ecp_formal_run,reused_frozen_baseline,historical_algorithm_result
