case_id,block,generation_order,instance_id,N,admission,compatibility,dag_density,outsource_multiplier,seed,instance_path,expected_sha256,actual_sha256,hash_match,data_files_complete,missing_or_mismatched_files,reused_existing_instance,generation_process
STR_001,main_factorial,1,stress_N0100_A050_C050_DL_O090_S20268001,100,0.5,0.5,L,0.9,20268001,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_001\instances\stress_N0100_A050_C050_DL_O090_S20268001,2dc55d655bd06efbd78f1d6519eb395f68ce78cb2112fee4f8b32b6323d93b9e,2dc55d655bd06efbd78f1d6519eb395f68ce78cb2112fee4f8b32b6323d93b9e,True,True,,True,reused
STR_002,main_factorial,2,stress_N0100_A050_C050_DL_O110_S20268002,100,0.5,0.5,L,1.1,20268002,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_002\instances\stress_N0100_A050_C050_DL_O110_S20268002,2840470b41d88f02e19cbf5958d3be1052d762d77362207782776bda2536c9d5,2840470b41d88f02e19cbf5958d3be1052d762d77362207782776bda2536c9d5,True,True,,True,reused
STR_003,main_factorial,3,stress_N0100_A050_C050_DM_O090_S20268003,100,0.5,0.5,M,0.9,20268003,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_003\instances\stress_N0100_A050_C050_DM_O090_S20268003,3c6ca0e17ab49aaba54e4d2c4f4c3e58ed4531512399c8c26ce1f3ee1fec9240,3c6ca0e17ab49aaba54e4d2c4f4c3e58ed4531512399c8c26ce1f3ee1fec9240,True,True,,True,reused
STR_004,main_factorial,4,stress_N0100_A050_C050_DM_O110_S20268004,100,0.5,0.5,M,1.1,20268004,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_004\instances\stress_N0100_A050_C050_DM_O110_S20268004,fa52862b68eb88c829d879296aa80cb87349e9e874dd6f180c61e20c06258d3a,fa52862b68eb88c829d879296aa80cb87349e9e874dd6f180c61e20c06258d3a,True,True,,True,reused
STR_005,main_factorial,5,stress_N0100_A050_C050_DH_O090_S20268005,100,0.5,0.5,H,0.9,20268005,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_005\instances\stress_N0100_A050_C050_DH_O090_S20268005,1593d4a7c646d204f909d43583f0517bc04a191ba3bbf71c545bd6245208f019,1593d4a7c646d204f909d43583f0517bc04a191ba3bbf71c545bd6245208f019,True,True,,True,reused
STR_006,main_factorial,6,stress_N0100_A050_C050_DH_O110_S20268006,100,0.5,0.5,H,1.1,20268006,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_006\instances\stress_N0100_A050_C050_DH_O110_S20268006,e35a5028ff72165bfb37b2dadeacafff0fa3f4c0a5e2f945610faafb47fba23d,e35a5028ff72165bfb37b2dadeacafff0fa3f4c0a5e2f945610faafb47fba23d,True,True,,True,reused
STR_007,main_factorial,7,stress_N0100_A050_C080_DL_O090_S20268007,100,0.5,0.8,L,0.9,20268007,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_007\instances\stress_N0100_A050_C080_DL_O090_S20268007,e33039d5369d681a3858dbba53513327bd73ab257d474d82843f7fad1a3a7dcc,e33039d5369d681a3858dbba53513327bd73ab257d474d82843f7fad1a3a7dcc,True,True,,True,reused
STR_008,main_factorial,8,stress_N0100_A050_C080_DL_O110_S20268008,100,0.5,0.8,L,1.1,20268008,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_008\instances\stress_N0100_A050_C080_DL_O110_S20268008,84487443ca2ccca1f249bbc227af7a58dc3ad1f9fdb0a366b2cc89c3f3c0695b,84487443ca2ccca1f249bbc227af7a58dc3ad1f9fdb0a366b2cc89c3f3c0695b,True,True,,True,reused
STR_009,main_factorial,9,stress_N0100_A050_C080_DM_O090_S20268009,100,0.5,0.8,M,0.9,20268009,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_009\instances\stress_N0100_A050_C080_DM_O090_S20268009,11f228eb5cddc2cff4c472ccf6d5b23a86ff4a6677125d45374417ea431d3257,11f228eb5cddc2cff4c472ccf6d5b23a86ff4a6677125d45374417ea431d3257,True,True,,True,reused
STR_010,main_factorial,10,stress_N0100_A050_C080_DM_O110_S20268010,100,0.5,0.8,M,1.1,20268010,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_010\instances\stress_N0100_A050_C080_DM_O110_S20268010,6e31a25479b2806c537a0ae77dc6fdda07e0b33c70a7a85e8360bf356be97978,6e31a25479b2806c537a0ae77dc6fdda07e0b33c70a7a85e8360bf356be97978,True,True,,True,reused
